qnum,ok,wall_s,engine_s,error
1,True,0.213,0.169,
2,True,0.693,0.646,
3,True,0.281,0.229,
4,True,2.971,2.847,
5,True,0.745,0.674,
6,True,0.387,0.341,
7,True,0.651,0.574,
8,True,1.039,0.992,
9,True,1.975,1.923,
10,True,0.417,0.368,
11,True,1.77,1.682,
12,True,0.208,0.167,
13,True,1.035,0.952,
14,True,4.325,4.217,
15,True,0.21,0.174,
16,True,0.107,0.071,
17,True,0.585,0.521,
18,True,0.511,0.462,
19,True,0.402,0.342,
20,True,0.138,0.096,
21,True,0.169,0.117,
22,True,0.888,0.819,
23,True,6.435,6.246,
24,True,0.476,0.419,
25,True,0.182,0.135,
26,True,0.304,0.256,
27,True,0.542,0.459,
28,True,1.817,1.76,
29,True,0.691,0.625,
30,True,0.157,0.119,
31,True,0.967,0.904,
32,True,0.055,0.021,
33,True,0.447,0.384,
34,True,0.429,0.379,
35,True,0.804,0.749,
36,True,0.816,0.744,
37,True,0.163,0.113,
38,True,0.953,0.9,
39,True,0.75,0.669,
40,True,0.139,0.099,
41,True,0.085,0.052,
42,True,0.284,0.232,
43,True,0.494,0.443,
44,True,0.427,0.373,
45,True,0.219,0.177,
46,True,0.746,0.665,
47,True,1.85,1.765,
48,True,0.763,0.696,
49,True,0.704,0.614,
50,True,0.567,0.509,
51,True,4.671,4.585,
52,True,0.28,0.228,
53,True,0.558,0.5,
54,True,0.431,0.376,
55,True,0.296,0.247,
56,True,0.449,0.387,
57,True,0.609,0.565,
58,True,0.491,0.429,
59,True,1.614,1.563,
60,True,0.473,0.409,
61,True,0.46,0.39,
62,True,0.22,0.18,
63,True,0.603,0.55,
64,True,1.635,1.53,
65,True,1.154,1.082,
66,True,0.343,0.296,
67,True,12.879,12.534,
68,True,0.701,0.624,
69,True,0.342,0.296,
70,True,0.653,0.591,
71,True,0.427,0.361,
72,True,0.908,0.839,
73,True,0.385,0.332,
74,True,1.599,1.52,
75,True,1.584,1.475,
76,True,0.676,0.597,
77,True,0.498,0.433,
78,True,3.518,3.373,
79,True,0.812,0.748,
80,True,0.869,0.781,
81,True,0.236,0.192,
82,True,0.222,0.177,
83,True,0.119,0.081,
84,True,0.092,0.058,
85,True,0.277,0.233,
86,True,0.233,0.189,
87,True,1.117,1.061,
88,True,0.3,0.255,
89,True,0.603,0.545,
90,True,0.099,0.063,
91,True,0.076,0.042,
92,True,0.127,0.09,
93,True,0.535,0.476,
94,True,0.177,0.134,
95,True,1.635,1.575,
96,True,0.275,0.23,
97,True,1.09,1.021,
98,True,0.577,0.521,
99,True,0.25,0.212,
