qnum,ok,wall_s,engine_s,error
1,True,0.221,0.171,
2,True,0.791,0.745,
3,True,0.996,0.946,
4,True,4.128,4.015,
5,True,0.853,0.786,
6,True,0.369,0.323,
7,True,1.347,1.282,
8,True,0.78,0.729,
9,True,1.836,1.78,
10,True,0.276,0.23,
11,True,2.458,2.355,
12,True,0.225,0.184,
13,True,1.015,0.934,
14,True,4.139,4.04,
15,True,0.251,0.212,
16,True,0.119,0.075,
17,True,0.573,0.51,
18,True,0.438,0.389,
19,True,0.366,0.312,
20,True,0.149,0.11,
21,True,0.162,0.119,
22,True,8.193,7.967,
23,True,6.707,6.501,
24,True,0.488,0.433,
25,True,0.165,0.122,
26,True,0.305,0.254,
27,True,0.538,0.462,
28,True,1.73,1.676,
29,True,0.672,0.608,
30,True,0.171,0.13,
31,True,0.803,0.735,
32,True,0.055,0.02,
33,True,0.451,0.388,
34,True,0.416,0.364,
35,True,0.802,0.739,
36,True,0.806,0.742,
37,True,0.198,0.152,
38,True,0.922,0.866,
39,True,0.813,0.738,
40,True,0.146,0.104,
41,True,0.086,0.052,
42,True,0.28,0.225,
43,True,0.469,0.419,
44,True,0.429,0.373,
45,True,0.219,0.18,
46,True,0.657,0.588,
47,True,1.753,1.659,
48,True,0.816,0.754,
49,True,0.664,0.593,
50,True,0.584,0.529,
51,True,4.567,4.479,
52,True,0.269,0.215,
53,True,0.517,0.464,
54,True,0.356,0.3,
55,True,0.277,0.225,
56,True,0.438,0.372,
57,True,0.589,0.544,
58,True,0.425,0.365,
59,True,1.608,1.559,
60,True,0.465,0.403,
61,True,0.457,0.395,
62,True,0.232,0.192,
63,True,0.521,0.467,
64,True,1.564,1.467,
65,True,1.187,1.115,
66,True,0.461,0.412,
67,True,13.428,12.998,
68,True,0.769,0.686,
69,True,0.31,0.263,
70,True,0.638,0.578,
71,True,0.567,0.488,
72,True,0.91,0.837,
73,True,0.37,0.317,
74,True,1.621,1.545,
75,True,1.6,1.489,
76,True,0.68,0.596,
77,True,0.543,0.474,
78,True,3.635,3.477,
79,True,0.73,0.667,
80,True,0.933,0.84,
81,True,0.267,0.222,
82,True,0.238,0.193,
83,True,0.119,0.081,
84,True,0.097,0.062,
85,True,0.27,0.226,
86,True,0.228,0.186,
87,True,1.086,1.026,
88,True,0.64,0.576,
89,True,0.695,0.634,
90,True,0.121,0.073,
91,True,0.078,0.042,
92,True,0.152,0.113,
93,True,0.488,0.43,
94,True,0.187,0.144,
95,True,1.821,1.757,
96,True,0.221,0.17,
97,True,1.061,0.992,
98,True,0.567,0.506,
99,True,0.269,0.227,
