intCol,tinyIntCol,smallIntCol,bigIntCol,doubleCol,doubleCol,decimalCol,,stringCol!@#$%^&*(),timeStampCol,binaryCol,arrayCol,mapCol,structCol,varCharCol,charCol,dateCol,Right_RowID,INT_with_scientific_notation,singlechar,singlechar_with_singlequotes,singlechar_with_doublequotes,emojis,arabic_column,french_chars,
,null,-15906,5035218741361664,1292.412231445,5799.643102009,5292.029,false,!@#$%^&*(),1990-08-05 15:20:03,ukuclnqrqmzfoawrawqyrxhucmiskw==,"[3697,4006,8856,2643,8157,3966,3652,9256,6544,218,6844]","{""key1"":""NMkbDREYfH"",""key2"":""hd7X3zO3Pk"",""key3"":""Z9ZIyZs59c"",""key4"":""SZzGskMufb""}","{""id"":""sjrod"",""val1"":""qdlhr"",""val2"":""dvegw""}",iumixtiqivrwyrw,kycsmrupwf,1986-11-25 00:00:00,19,,q,'q',"""q""",✅,لبى,MÈRE ,רחלים
-955939840,13,28595,4458733335951872,8748.717773438,1547.018290286,2994.118,false,ommetzkgoe,1970-04-26 07:48:00,ayrbgvzejhwqfsczxcrygqcedbqetw==,,"{""key1"":""ze4uTLJCIS"",""key2"":""KJvGWmVD4k"",""key3"":""EAj5tjtJIY"",""key4"":""sGZyLdFZTL""}","{""id"":""zavzf"",""val1"":""cvpte"",""val2"":""wpihw""}",waoexcjeezmxrsi,scnzxnuxan,1985-04-11 00:00:00,4,-4123000000000,r,'r',"""r""",🎊,منزله,MÈRE ,מגדלים
-946041088,20,4028,6488644051956704,2068.969238281,6867.608431199,2096.338,false,aftxkrhbse,1995-07-21 00:19:48,okvcbxnhykbxgmodzdwgybzwioikng==,[606],"{""key1"":""lh6d4g6AdX"",""key2"":""m7NXz1Drky"",""key3"":""PE0h2QSxpA"",""key4"":""6R2Esbvp9X""}","{""id"":""uegms"",""val1"":""grjhb"",""val2"":""wzptz""}",ukampuhnwymbxok,pwumbaiqhj,1980-08-31 00:00:00,5,-4123000000000,s,'s',"""s""",⬇️,ماتجيني,MÈRE ,חומש
190064639,85,-16861,745854179121920,3006.978027344,5300.161841,590.341,false,pwpphjeqey,1971-11-03 14:46:40,csdhfkmtpzkznemtvmumlbcetlgfqg==,"[4828,2281]","{""key1"":""381OAMa9cm"",""key2"":""kVqFCSMW5N"",""key3"":""SORmXvLRX2"",""key4"":""yjMtCtXnrM""}","{""id"":""bqodb"",""val1"":""mnxzv"",""val2"":""uebln""}",qumqyheavhhvwkc,lbidykbvuz,1977-12-01 00:00:00,10,-7.4423e-12,s,'s',"""s""",⚠️,ووقف,DE NOËL ,ענב
-1355749376,28,-6594,6217661610739712,1575.131469727,4710.247816849,719.935,false,wkrxvnrrmw,1977-04-11 02:09:53,qiutbarcseuaqboaojdlihgwvwiqwQ==,"[7066,6223,9555,9906,8967,4096,2286,9385,4793,2865,57,7801,1261,5671,8650,8967,7999,7792,2867]","{""key1"":""HlwjPoYNOZ"",""key2"":""hnbly8aGKW"",""key3"":""2nSgdIRftI"",""key4"":""8sxcVvxtbj""}","{""id"":""hwuon"",""val1"":""wuuon"",""val2"":""icggg""}",gmmgstuttnbjxpy,vhdgledyvc,1994-10-13 00:00:00,2,-1.2345678e+22,m,'m',"""m""",❤️,دعوته,EN DÉCEMBRE,נגוהות
623428607,52,-12058,1099140924791552,1668.521118164,7082.408967932,3390.096,false,dyspcsmwhq,1979-11-10 12:56:35,eydynjfcrsmjwwcjyqtcwskjmaulyg==,"[1826,8833,371,2946,1848,661,3918,7866,3517,9457,3681]","{""key1"":""BahZ52XrL1"",""key2"":""ZP6eRPsIEd"",""key3"":""VBMjjPITQw"",""key4"":""1rSnwpb9sq""}","{""id"":""bfggr"",""val1"":""nxflc"",""val2"":""elsjm""}",gqouiupeqligvhn,ykwavphlbv,2002-01-11 00:00:00,13,4.94065e-32,d,'d',"""d""",🟨, خاصة,MÈRE ,הר ברכה ברכה
340231167,-103,32314,6727076822845952,490.876434326,521.782040839,689.131,false,ynbspwxszn,2006-09-11 04:44:46,yybegwugseeyfyyzzxssndxpceskbg==,"[7387,5827,3530,5417,2764,3977,7112,6065,2894,6651,9171,6785,5125]","{""key1"":""SL6KOlo6yS"",""key2"":""6hwmQ2uKSH"",""key3"":""ECjxaAa7Su"",""key4"":""OY8xWw8ut0""}","{""id"":""avewu"",""val1"":""rttto"",""val2"":""mndbq""}",gmknpbmxtkuyfvw,rzxfoedloj,1999-07-03 00:00:00,12,-7.4423e-12,a,'a',"""a""",📝,الطلاق ,EN DÉCEMBRE,חרמש
59571531,-120,2726,499568922236435,5693.273925781,831.917259298,5970.561,false,srcyitzady,1976-01-17 22:33:07,uomxckzjwvhrhuqvxvjmntzosoyudQ==,"[1663,9022,6558]","{""key1"":""GqtZfwU56W"",""key2"":""hjDJcwofzW"",""key3"":""wAS2lqzSh0"",""key4"":""ieeRmIe0pZ""}","{""id"":""jmsyp"",""val1"":""tjrjc"",""val2"":""fwuue""}",ekatpkqdtbrdopr,vsusznjtum,2002-01-30 00:00:00,9,-0.00445124654,g,'g',"""g""",🔷,صديقه,FRANÇAISE ,קדים
955388927,36,-14711,234259271632640,5292.765136719,821.385383988,8358.519,true,krzqufbilr,2012-10-22 05:07:34,owkzlgegaqgzpbomgtgdmmqaigfmog==,"[4974,9911,5595,6472,7765,1797,1908,1014,5229]","{""key1"":""xydc0YQBBL"",""key2"":""8tW4c8Gm4M"",""key3"":""aGblhlIIrx"",""key4"":""v30H3CJPMy""}","{""id"":""eqoya"",""val1"":""ypims"",""val2"":""blsod""}",sumfztrbmpwkjon,bypzxafltm,2013-06-15 00:00:00,14,7.4423e-12,j,'j',"""j""",🆗, علي ,DE NOËL ,שבי שומרון
1838367743,-76,7387,2747089955464832,8975.13671875,704.915821881,272.055,true,ouxvftfobi,1971-06-30 18:49:15,acidfzuquvceiuuzqqvnljpljdcnzg==,"[9936,6185,781,912,2509,4330]","{""key1"":""94j6CTgyit"",""key2"":""smHeSsm3fX"",""key3"":""PD7ADcq9JW"",""key4"":""eqjA1uBW3e""}","{""id"":""gmimc"",""val1"":""oyksy"",""val2"":""bavue""}",aowrnboisicvkex,rucsmrzxvu,2011-09-01 00:00:00,18,1.79769e+308,w,'w',"""w""",❌,صديقه,FRANÇAISE ,סנסנה
