linenr|mixed_string|mixed_double
1|1|1
2|2|2
3|3|3
4|1|1
5|2|2
6|3|3
7|1|1
8|2|2
9|3|3
10|1|1
11|2|2
12|3|3
13|1|1
14|2|2
15|3|3
16|1|1
17|2|2
18|3|3
19|1|1
20|2|2
21|3|3
22|1|1
23|2|2
24|3|3
25|1|1
26|2|2
27|3|3
28|1|1
29|2|2
30|3|3
31|1|1
32|2|2
33|3|3
34|1|1
35|2|2
36|3|3
37|1|1
38|2|2
39|3|3
40|1|1
41|2|2
42|3|3
43|1|1
44|2|2
45|3|3
46|1|1
47|2|2
48|3|3
49|1|1
50|2|2
51|3|3
52|1|1
53|2|2
54|3|3
55|1|1
56|2|2
57|3|3
58|1|1
59|2|2
60|3|3
61|1|1
62|2|2
63|3|3
64|1|1
65|2|2
66|3|3
67|1|1
68|2|2
69|3|3
70|1|1
71|2|2
72|3|3
73|1|1
74|2|2
75|3|3
76|1|1
77|2|2
78|3|3
79|1|1
80|2|2
81|3|3
82|1|1
83|2|2
84|3|3
85|1|1
86|2|2
87|3|3
88|1|1
89|2|2
90|3|3
91|1|1
92|2|2
93|3|3
94|1|1
95|2|2
96|3|3
97|1|1
98|2|2
99|3|3
100|1|1
101|2|2
102|3|3
103|1|1
104|2|2
105|3|3
106|1|1
107|2|2
108|3|3
109|1|1
110|2|2
111|3|3
112|1|1
113|2|2
114|3|3
115|1|1
116|2|2
117|3|3
118|1|1
119|2|2
120|3|3
121|1|1
122|2|2
123|3|3
124|1|1
125|2|2
126|3|3
127|1|1
128|2|2
129|3|3
130|1|1
131|2|2
132|3|3
133|1|1
134|2|2
135|3|3
136|1|1
137|2|2
138|3|3
139|1|1
140|2|2
141|3|3
142|1|1
143|2|2
144|3|3
145|1|1
146|2|2
147|3|3
148|1|1
149|2|2
150|3|3
151|1|1
152|2|2
153|3|3
154|1|1
155|2|2
156|3|3
157|1|1
158|2|2
159|3|3
160|1|1
161|2|2
162|3|3
163|1|1
164|2|2
165|3|3
166|1|1
167|2|2
168|3|3
169|1|1
170|2|2
171|3|3
172|1|1
173|2|2
174|3|3
175|1|1
176|2|2
177|3|3
178|1|1
179|2|2
180|3|3
181|1|1
182|2|2
183|3|3
184|1|1
185|2|2
186|3|3
187|1|1
188|2|2
189|3|3
190|1|1
191|2|2
192|3|3
193|1|1
194|2|2
195|3|3
196|1|1
197|2|2
198|3|3
199|1|1
200|2|2
201|3|3
202|1|1
203|2|2
204|3|3
205|1|1
206|2|2
207|3|3
208|1|1
209|2|2
210|3|3
211|1|1
212|2|2
213|3|3
214|1|1
215|2|2
216|3|3
217|1|1
218|2|2
219|3|3
220|1|1
221|2|2
222|3|3
223|1|1
224|2|2
225|3|3
226|1|1
227|2|2
228|3|3
229|1|1
230|2|2
231|3|3
232|1|1
233|2|2
234|3|3
235|1|1
236|2|2
237|3|3
238|1|1
239|2|2
240|3|3
241|1|1
242|2|2
243|3|3
244|1|1
245|2|2
246|3|3
247|1|1
248|2|2
249|3|3
250|1|1
251|2|2
252|3|3
253|1|1
254|2|2
255|3|3
256|1|1
257|2|2
258|3|3
259|1|1
260|2|2
261|3|3
262|1|1
263|2|2
264|3|3
265|1|1
266|2|2
267|3|3
268|1|1
269|2|2
270|3|3
271|1|1
272|2|2
273|3|3
274|1|1
275|2|2
276|3|3
277|1|1
278|2|2
279|3|3
280|1|1
281|2|2
282|3|3
283|1|1
284|2|2
285|3|3
286|1|1
287|2|2
288|3|3
289|1|1
290|2|2
291|3|3
292|1|1
293|2|2
294|3|3
295|1|1
296|2|2
297|3|3
298|1|1
299|2|2
300|3|3
301|1|1
302|2|2
303|3|3
304|1|1
305|2|2
306|3|3
307|1|1
308|2|2
309|3|3
310|1|1
311|2|2
312|3|3
313|1|1
314|2|2
315|3|3
316|1|1
317|2|2
318|3|3
319|1|1
320|2|2
321|3|3
322|1|1
323|2|2
324|3|3
325|1|1
326|2|2
327|3|3
328|1|1
329|2|2
330|3|3
331|1|1
332|2|2
333|3|3
334|1|1
335|2|2
336|3|3
337|1|1
338|2|2
339|3|3
340|1|1
341|2|2
342|3|3
343|1|1
344|2|2
345|3|3
346|1|1
347|2|2
348|3|3
349|1|1
350|2|2
351|3|3
352|1|1
353|2|2
354|3|3
355|1|1
356|2|2
357|3|3
358|1|1
359|2|2
360|3|3
361|1|1
362|2|2
363|3|3
364|1|1
365|2|2
366|3|3
367|1|1
368|2|2
369|3|3
370|1|1
371|2|2
372|3|3
373|1|1
374|2|2
375|3|3
376|1|1
377|2|2
378|3|3
379|1|1
380|2|2
381|3|3
382|1|1
383|2|2
384|3|3
385|1|1
386|2|2
387|3|3
388|1|1
389|2|2
390|3|3
391|1|1
392|2|2
393|3|3
394|1|1
395|2|2
396|3|3
397|1|1
398|2|2
399|3|3
400|1|1
401|2|2
402|3|3
403|1|1
404|2|2
405|3|3
406|1|1
407|2|2
408|3|3
409|1|1
410|2|2
411|3|3
412|1|1
413|2|2
414|3|3
415|1|1
416|2|2
417|3|3
418|1|1
419|2|2
