tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0030540	movie	Outside of Paradise	Outside of Paradise	0	1938	\N	68	Comedy,Musical,Romance
tt0030541	movie	The Strange Case of Dr. Meade	The Strange Case of Dr. Meade	0	1938	\N	60	Adventure,Drama,Romance
tt0030542	movie	Over She Goes	Over She Goes	0	1937	\N	78	Musical
tt0030543	movie	Over the Wall	Over the Wall	0	1938	\N	67	Drama,Romance
tt0030544	movie	The Overland Express	The Overland Express	0	1938	\N	55	Western
tt0030545	movie	Overland Stage Raiders	Overland Stage Raiders	0	1938	\N	55	Western
tt0030546	movie	To the Victor	Owd Bob	0	1938	\N	78	Comedy,Drama,Family
tt0030547	movie	Father of More Than Four	Padre de más de cuatro	0	1938	\N	110	Comedy
tt0030548	movie	Painted Desert	Painted Desert	0	1938	\N	58	Western
tt0030549	movie	The Painted Trail	The Painted Trail	0	1938	\N	51	Western
tt0030550	movie	Pals of the Saddle	Pals of the Saddle	0	1938	\N	55	Action,Adventure,Drama
tt0030551	movie	Panamint's Bad Man	Panamint's Bad Man	0	1938	\N	60	Western
tt0030552	movie	The Hen-Pecked Husband	A papucshös	0	1938	\N	76	Comedy
tt0030553	movie	Paquete, el fotógrafo público número uno	Paquete, el fotógrafo público número uno	0	1938	\N	50	Comedy
tt0030554	movie	Paradise for Three	Paradise for Three	0	1938	\N	78	Comedy,Romance
tt0030555	short	Pardon My Accident	Pardon My Accident	0	1938	\N	17	Comedy,Short
tt0030556	movie	Paroled - To Die	Paroled - To Die	0	1938	\N	55	Western
tt0030557	movie	Departure	Partire	0	1938	\N	91	\N
tt0030558	movie	Partners of the Plains	Partners of the Plains	0	1938	\N	70	Western
tt0030559	short	Party Fever	Party Fever	0	1938	\N	10	Comedy,Family,Short
tt0030560	short	El paso del Ebro	El paso del Ebro	0	1938	\N	12	Documentary,Short,War
tt0030561	short	Passing Parade	Passing Parade	0	1938	\N	10	Drama,Short
tt0030562	movie	Passport Husband	Passport Husband	0	1938	\N	72	Comedy
tt0030563	movie	The Patient in Room 18	The Patient in Room 18	0	1938	\N	59	Comedy,Crime,Mystery
tt0030564	movie	Le patriote	Le patriote	0	1938	\N	97	Drama
tt0030565	movie	Peck's Bad Boy with the Circus	Peck's Bad Boy with the Circus	0	1938	\N	78	Drama
tt0030566	short	The Penguin Parade	The Penguin Parade	0	1938	\N	7	Animation,Comedy,Family
tt0030567	movie	Penitentiary	Penitentiary	0	1938	\N	74	Drama
tt0030569	movie	Penny Paradise	Penny Paradise	0	1938	\N	72	Comedy,Musical
tt0030570	short	Penny's Picnic	Penny's Picnic	0	1938	\N	10	Short
tt0030571	movie	Penrod and His Twin Brother	Penrod and His Twin Brother	0	1938	\N	63	Comedy
tt0030572	movie	Penrod's Double Trouble	Penrod's Double Trouble	0	1938	\N	60	Comedy
tt0030573	movie	For Men Only	Per uomini soli	0	1938	\N	80	Comedy,Music,Romance
tt0030574	movie	Personal Secretary	Personal Secretary	0	1938	\N	71	Comedy
tt0030575	movie	Peter spielt mit dem Feuer	Peter spielt mit dem Feuer	0	1938	\N	\N	\N
tt0030576	movie	Peter's Pence	Peter's Pence	0	1938	\N	\N	\N
tt0030577	movie	Petermann ist dagegen	Petermann ist dagegen	0	1938	\N	\N	\N
tt0030578	movie	The Little Thing	Le petit chose	0	1938	\N	85	Drama
tt0030579	movie	Die Pfingstorgel	Die Pfingstorgel	0	1938	\N	87	Comedy
tt0030580	movie	Phantom Gold	Phantom Gold	0	1938	\N	56	Western
tt0030581	movie	Phantom Ranger	Phantom Ranger	0	1938	\N	53	Western
tt0030583	movie	The Little Adventurers	Piccoli naufraghi	0	1939	\N	80	Adventure
tt0030584	short	Pie a la Maid	Pie a la Maid	0	1938	\N	20	Comedy,Short
tt0030585	movie	Pietro Micca	Pietro Micca	0	1938	\N	90	History,War
tt0030586	movie	Pietro wyzej	Pietro wyzej	0	1937	\N	90	Comedy,Music,Romance
tt0030587	movie	Temporarily Broke	Pillanatnyi pénzzavar	0	1938	\N	81	Comedy
tt0030588	movie	Pioneer Trail	Pioneer Trail	0	1938	\N	59	Western
tt0030589	short	Pipe Dreams	Pipe Dreams	0	1938	\N	8	Animation,Comedy,Short
tt0030590	movie	Piros bugyelláris	Piros bugyelláris	0	1938	\N	98	Drama
tt0030591	short	The Playful Polar Bears	The Playful Polar Bears	0	1938	\N	8	Animation,Short
tt0030592	short	Plumbing Is a 'Pipe'	Plumbing Is a 'Pipe'	0	1938	\N	7	Animation,Comedy,Family
tt0030593	movie	By Pike	Po shchuchemu veleniyu	0	1938	\N	60	Family,Fantasy
tt0030594	movie	Mother and Sons	Pobeda	0	1938	\N	85	Drama
tt0030595	short	Polar Trappers	Polar Trappers	0	1938	\N	8	Animation,Comedy,Family
tt0030596	movie	Policy Man	Policy Man	0	1938	\N	61	Action,Crime
tt0030597	short	Popular Science	Popular Science	0	1938	\N	10	Documentary,Short
tt0030598	short	Popular Science	Popular Science	0	1938	\N	11	Documentary,Short
tt0030599	short	Popular Science	Popular Science	0	1938	\N	11	Documentary,Short
tt0030600	movie	Por la independencia de España	Por la independencia de España	0	1938	\N	90	Documentary,War
tt0030601	short	Porky & Daffy	Porky & Daffy	0	1938	\N	7	Animation,Comedy,Family
tt0030602	short	Porky at the Crocadero	Porky at the Crocadero	0	1938	\N	8	Animation,Comedy,Family
tt0030603	short	Porky in Egypt	Porky in Egypt	0	1938	\N	7	Animation,Comedy,Family
tt0030604	short	Porky in Wackyland	Porky in Wackyland	0	1938	\N	7	Animation,Comedy,Family
tt0030605	short	Porky the Fireman	Porky the Fireman	0	1938	\N	6	Animation,Comedy,Family
tt0030606	short	Porky the Gob	Porky the Gob	0	1938	\N	8	Adventure,Animation,Comedy
tt0030607	short	Porky's Five & Ten	Porky's Five & Ten	0	1938	\N	7	Animation,Comedy,Family
tt0030608	short	Porky's Hare Hunt	Porky's Hare Hunt	0	1938	\N	8	Animation,Comedy,Family
tt0030609	short	Porky's Naughty Nephew	Porky's Naughty Nephew	0	1938	\N	8	Animation,Comedy,Family
tt0030610	short	Porky's Party	Porky's Party	0	1938	\N	7	Animation,Comedy,Family
tt0030611	short	Porky's Phoney Express	Porky's Phoney Express	0	1938	\N	7	Animation,Comedy,Family
tt0030612	short	Porky's Poppa	Porky's Poppa	0	1938	\N	7	Animation,Comedy,Family
tt0030613	short	Porky's Spring Planting	Porky's Spring Planting	0	1938	\N	7	Animation,Comedy,Family
tt0030614	movie	Port of Missing Girls	The Port of Missing Girls	0	1938	\N	65	Drama
tt0030615	movie	Port of Seven Seas	Port of Seven Seas	0	1938	\N	81	Drama,Romance
tt0030616	short	Poultry Pirates	Poultry Pirates	0	1938	\N	9	Animation,Comedy,Family
tt0030617	movie	The Power of Life	The Power of Life	0	1938	\N	92	Drama
tt0030618	short	Practical Jokers	Practical Jokers	0	1938	\N	10	Comedy,Family,Short
tt0030619	movie	Prairie Justice	Prairie Justice	0	1938	\N	58	Western
tt0030620	movie	Prairie Moon	Prairie Moon	0	1938	\N	58	Western
tt0030621	movie	Pride of the West	Pride of the West	0	1938	\N	56	Western
tt0030622	movie	Betrayal	La principessa Tarakanova	0	1938	\N	95	Drama
tt0030623	movie	Prinzessin Sissy	Prinzessin Sissy	0	1939	\N	84	\N
tt0030624	short	Prisioneros de guerra	Prisioneros de guerra	0	1938	\N	14	Documentary,Short,War
tt0030625	movie	Prison Break	Prison Break	0	1938	\N	72	Crime,Drama,Thriller
tt0030626	movie	Prison Farm	Prison Farm	0	1938	\N	67	Adventure,Crime,Drama
