C,NEMP.WORLD,DAILY,AEMO,PUBLIC,2023/11/18,04:05:04,0000000402799132,,0000000402799132
I,DISPATCH,CASESOLUTION,1,SETTLEMENTDATE,RUNNO,INTERVENTION,CASESUBTYPE,SOLUTIONSTATUS,SPDVERSION,NONPHYSICALLOSSES,TOTALOBJECTIVE,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,TOTALENERGYOFFERVIOLATION,LASTCHANGED
D,DISPATCH,CASESOLUTION,1,"2023/11/17 04:05:00",1,0,,0,,0,-18891916.3260,0,0,0,0,0,,,,,0,0,0,"2023/11/17 04:00:03"
D,DISPATCH,CASESOLUTION,1,"2023/11/17 04:10:00",1,0,,0,,0,-18991572.1050,0,0,0,0,0,,,,,0,0,0,"2023/11/17 04:05:03"
D,DISPATCH,CASESOLUTION,1,"2023/11/17 04:15:00",1,0,,0,,0,-18873654.0430,0,0,0,0,0,,,,,0,0,0,"2023/11/17 04:10:03"
D,DISPATCH,CASESOLUTION,1,"2023/11/17 04:20:00",1,0,,0,,0,-18814533.9560,0,0,0,0,0,,,,,0,0,0,"2023/11/17 04:15:03"
D,DISPATCH,CASESOLUTION,1,"2023/11/17 04:25:00",1,0,,0,,0,-18955411.5810,0,0,0,0,0,,,,,0,0,0,"2023/11/17 04:20:02"
D,DISPATCH,CASESOLUTION,1,"2023/11/17 04:30:00",1,0,,1,,0,-16453600.9790,0,0,0,0,0.1,,,,,0,0,0,"2023/11/17 04:25:03"
D,DISPATCH,CASESOLUTION,1,"2023/11/17 04:35:00",1,0,,0,,0,-18918229.6050,0,0,0,0,0,,,,,0,0,0,"2023/11/17 04:30:03"
D,DISPATCH,CASESOLUTION,1,"2023/11/17 04:40:00",1,0,,0,,0,-18903552.1320,0,0,0,0,0,,,,,0,0,0,"2023/11/17 04:35:03"
D,DISPATCH,CASESOLUTION,1,"2023/11/17 04:45:00",1,0,,0,,0,-18956195.7840,0,0,0,0,0,,,,,0,0,0,"2023/11/17 04:40:02"
D,DISPATCH,CASESOLUTION,1,"2023/11/17 04:50:00",1,0,,0,,0,-19068752.4310,0,0,0,0,0,,,,,0,0,0,"2023/11/17 04:45:03"
