# A few comments
# I'm a csv file
a;b
# This is also a baddy
1;3
6;7
# You better skip me
1;3
6;7
1;3
6;7
1;3
6;7
1;3
1;3
6;7
1;3
6;7
1;3
6;7
1;3
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
1;3
6;7
