a,b
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
25-09-2001, bla
