i,'world'
0,world
1,world
2,world
3,world
4,world
5,world
6,world
7,world
8,world
9,world
10,world
11,world
12,world
13,world
14,world
15,world
16,world
17,world
18,world
19,world
20,world
21,world
22,world
23,world
24,world
25,world
26,world
27,world
28,world
29,world
30,world
31,world
32,world
33,world
34,world
35,world
36,world
37,world
38,world
39,world
40,world
41,world
42,world
43,world
44,world
45,world
46,world
47,world
48,world
49,world
50,world
51,world
52,world
53,world
54,world
55,world
56,world
57,world
58,world
59,world
60,world
61,world
62,world
63,world
64,world
65,world
66,world
67,world
68,world
69,world
70,world
71,world
72,world
73,world
74,world
75,world
76,world
77,world
78,world
79,world
80,world
81,world
82,world
83,world
84,world
85,world
86,world
87,world
88,world
89,world
90,world
91,world
92,world
93,world
94,world
95,world
96,world
97,world
98,world
99,world
100,world
101,world
102,world
103,world
104,world
105,world
106,world
107,world
108,world
109,world
110,world
111,world
112,world
113,world
114,world
115,world
116,world
117,world
118,world
119,world
120,world
121,world
122,world
123,world
124,world
125,world
126,world
127,world
128,world
129,world
130,world
131,world
132,world
133,world
134,world
135,world
136,world
137,world
138,world
139,world
140,world
141,world
142,world
143,world
144,world
145,world
146,world
147,world
148,world
149,world
150,world
151,world
152,world
153,world
154,world
155,world
156,world
157,world
158,world
159,world
160,world
161,world
162,world
163,world
164,world
165,world
166,world
167,world
168,world
169,world
170,world
171,world
172,world
173,world
174,world
175,world
176,world
177,world
178,world
179,world
180,world
181,world
182,world
183,world
184,world
185,world
186,world
187,world
188,world
189,world
190,world
191,world
192,world
193,world
194,world
195,world
196,world
197,world
198,world
199,world
200,world
201,world
202,world
203,world
204,world
205,world
206,world
207,world
208,world
209,world
210,world
211,world
212,world
213,world
214,world
215,world
216,world
217,world
218,world
219,world
220,world
221,world
222,world
223,world
224,world
225,world
226,world
227,world
228,world
229,world
230,world
231,world
232,world
233,world
234,world
235,world
236,world
237,world
238,world
239,world
240,world
241,world
242,world
243,world
244,world
245,world
246,world
247,world
248,world
249,world
250,world
251,world
252,world
253,world
254,world
255,world
256,world
257,world
258,world
259,world
260,world
261,world
262,world
263,world
264,world
265,world
266,world
267,world
268,world
269,world
270,world
271,world
272,world
273,world
274,world
275,world
276,world
277,world
278,world
279,world
280,world
281,world
282,world
283,world
284,world
285,world
286,world
287,world
288,world
289,world
290,world
291,world
292,world
293,world
294,world
295,world
296,world
297,world
298,world
299,world
300,world
301,world
302,world
303,world
304,world
305,world
306,world
307,world
308,world
309,world
310,world
311,world
312,world
313,world
314,world
315,world
316,world
317,world
318,world
319,world
320,world
321,world
322,world
323,world
324,world
325,world
326,world
327,world
328,world
329,world
330,world
331,world
332,world
333,world
334,world
335,world
336,world
337,world
338,world
339,world
340,world
341,world
342,world
343,world
344,world
345,world
346,world
347,world
348,world
349,world
350,world
351,world
352,world
353,world
354,world
355,world
356,world
357,world
358,world
359,world
360,world
361,world
362,world
363,world
364,world
365,world
366,world
367,world
368,world
369,world
370,world
371,world
372,world
373,world
374,world
375,world
376,world
377,world
378,world
379,world
380,world
381,world
382,world
383,world
384,world
385,world
386,world
387,world
388,world
389,world
390,world
391,world
392,world
393,world
394,world
395,world
396,world
397,world
398,world
399,world
400,world
401,world
402,world
403,world
404,world
405,world
406,world
407,world
408,world
409,world
410,world
411,world
412,world
413,world
414,world
415,world
416,world
417,world
418,world
419,world
420,world
421,world
422,world
423,world
424,world
425,world
426,world
427,world
428,world
429,world
430,world
431,world
432,world
433,world
434,world
435,world
436,world
437,world
438,world
439,world
440,world
441,world
442,world
443,world
444,world
445,world
446,world
447,world
448,world
449,world
450,world
451,world
452,world
453,world
454,world
455,world
456,world
457,world
458,world
459,world
460,world
461,world
462,world
463,world
464,world
465,world
466,world
467,world
468,world
469,world
470,world
471,world
472,world
473,world
474,world
475,world
476,world
477,world
478,world
479,world
480,world
481,world
482,world
483,world
484,world
485,world
486,world
487,world
488,world
489,world
490,world
491,world
492,world
493,world
494,world
495,world
496,world
497,world
498,world
499,world
500,world
501,world
502,world
503,world
504,world
505,world
506,world
507,world
508,world
509,world
510,world
511,world
512,world
513,world
514,world
515,world
516,world
517,world
518,world
519,world
520,world
521,world
522,world
523,world
524,world
525,world
526,world
527,world
528,world
529,world
530,world
531,world
532,world
533,world
534,world
535,world
536,world
537,world
538,world
539,world
540,world
541,world
542,world
543,world
544,world
545,world
546,world
547,world
548,world
549,world
550,world
551,world
552,world
553,world
554,world
555,world
556,world
557,world
558,world
559,world
560,world
561,world
562,world
563,world
564,world
565,world
566,world
567,world
568,world
569,world
570,world
571,world
572,world
573,world
574,world
575,world
576,world
577,world
578,world
579,world
580,world
581,world
582,world
583,world
584,world
585,world
586,world
587,world
588,world
589,world
590,world
591,world
592,world
593,world
594,world
595,world
596,world
597,world
598,world
599,world
600,world
601,world
602,world
603,world
604,world
605,world
606,world
607,world
608,world
609,world
610,world
611,world
612,world
613,world
614,world
615,world
616,world
617,world
618,world
619,world
620,world
621,world
622,world
623,world
624,world
625,world
626,world
627,world
628,world
629,world
630,world
631,world
632,world
633,world
634,world
635,world
636,world
637,world
638,world
639,world
640,world
641,world
642,world
643,world
644,world
645,world
646,world
647,world
648,world
649,world
650,world
651,world
652,world
653,world
654,world
655,world
656,world
657,world
658,world
659,world
660,world
661,world
662,world
663,world
664,world
665,world
666,world
667,world
668,world
669,world
670,world
671,world
672,world
673,world
674,world
675,world
676,world
677,world
678,world
679,world
680,world
681,world
682,world
683,world
684,world
685,world
686,world
687,world
688,world
689,world
690,world
691,world
692,world
693,world
694,world
695,world
696,world
697,world
698,world
699,world
700,world
701,world
702,world
703,world
704,world
705,world
706,world
707,world
708,world
709,world
710,world
711,world
712,world
713,world
714,world
715,world
716,world
717,world
718,world
719,world
720,world
721,world
722,world
723,world
724,world
725,world
726,world
727,world
728,world
729,world
730,world
731,world
732,world
733,world
734,world
735,world
736,world
737,world
738,world
739,world
740,world
741,world
742,world
743,world
744,world
745,world
746,world
747,world
748,world
749,world
750,world
751,world
752,world
753,world
754,world
755,world
756,world
757,world
758,world
759,world
760,world
761,world
762,world
763,world
764,world
765,world
766,world
767,world
768,world
769,world
770,world
771,world
772,world
773,world
774,world
775,world
776,world
777,world
778,world
779,world
780,world
781,world
782,world
783,world
784,world
785,world
786,world
787,world
788,world
789,world
790,world
791,world
792,world
793,world
794,world
795,world
796,world
797,world
798,world
799,world
800,world
801,world
802,world
803,world
804,world
805,world
806,world
807,world
808,world
809,world
810,world
811,world
812,world
813,world
814,world
815,world
816,world
817,world
818,world
819,world
820,world
821,world
822,world
823,world
824,world
825,world
826,world
827,world
828,world
829,world
830,world
831,world
832,world
833,world
834,world
835,world
836,world
837,world
838,world
839,world
840,world
841,world
842,world
843,world
844,world
845,world
846,world
847,world
848,world
849,world
850,world
851,world
852,world
853,world
854,world
855,world
856,world
857,world
858,world
859,world
860,world
861,world
862,world
863,world
864,world
865,world
866,world
867,world
868,world
869,world
870,world
871,world
872,world
873,world
874,world
875,world
876,world
877,world
878,world
879,world
880,world
881,world
882,world
883,world
884,world
885,world
886,world
887,world
888,world
889,world
890,world
891,world
892,world
893,world
894,world
895,world
896,world
897,world
898,world
899,world
900,world
901,world
902,world
903,world
904,world
905,world
906,world
907,world
908,world
909,world
910,world
911,world
912,world
913,world
914,world
915,world
916,world
917,world
918,world
919,world
920,world
921,world
922,world
923,world
924,world
925,world
926,world
927,world
928,world
929,world
930,world
931,world
932,world
933,world
934,world
935,world
936,world
937,world
938,world
939,world
940,world
941,world
942,world
943,world
944,world
945,world
946,world
947,world
948,world
949,world
950,world
951,world
952,world
953,world
954,world
955,world
956,world
957,world
958,world
959,world
960,world
961,world
962,world
963,world
964,world
965,world
966,world
967,world
968,world
969,world
970,world
971,world
972,world
973,world
974,world
975,world
976,world
977,world
978,world
979,world
980,world
981,world
982,world
983,world
984,world
985,world
986,world
987,world
988,world
989,world
990,world
991,world
992,world
993,world
994,world
995,world
996,world
997,world
998,world
999,world
1000,world
1001,world
1002,world
1003,world
1004,world
1005,world
1006,world
1007,world
1008,world
1009,world
1010,world
1011,world
1012,world
1013,world
1014,world
1015,world
1016,world
1017,world
1018,world
1019,world
1020,world
1021,world
1022,world
1023,world
1024,world
1025,world
1026,world
1027,world
1028,world
1029,world
1030,world
1031,world
1032,world
1033,world
1034,world
1035,world
1036,world
1037,world
1038,world
1039,world
1040,world
1041,world
1042,world
1043,world
1044,world
1045,world
1046,world
1047,world
1048,world
1049,world
1050,world
1051,world
1052,world
1053,world
1054,world
1055,world
1056,world
1057,world
1058,world
1059,world
1060,world
1061,world
1062,world
1063,world
1064,world
1065,world
1066,world
1067,world
1068,world
1069,world
1070,world
1071,world
1072,world
1073,world
1074,world
1075,world
1076,world
1077,world
1078,world
1079,world
1080,world
1081,world
1082,world
1083,world
1084,world
1085,world
1086,world
1087,world
1088,world
1089,world
1090,world
1091,world
1092,world
1093,world
1094,world
1095,world
1096,world
1097,world
1098,world
1099,world
1100,world
1101,world
1102,world
1103,world
1104,world
1105,world
1106,world
1107,world
1108,world
1109,world
1110,world
1111,world
1112,world
1113,world
1114,world
1115,world
1116,world
1117,world
1118,world
1119,world
1120,world
1121,world
1122,world
1123,world
1124,world
1125,world
1126,world
1127,world
1128,world
1129,world
1130,world
1131,world
1132,world
1133,world
1134,world
1135,world
1136,world
1137,world
1138,world
1139,world
1140,world
1141,world
1142,world
1143,world
1144,world
1145,world
1146,world
1147,world
1148,world
1149,world
1150,world
1151,world
1152,world
1153,world
1154,world
1155,world
1156,world
1157,world
1158,world
1159,world
1160,world
1161,world
1162,world
1163,world
1164,world
1165,world
1166,world
1167,world
1168,world
1169,world
1170,world
1171,world
1172,world
1173,world
1174,world
1175,world
1176,world
1177,world
1178,world
1179,world
1180,world
1181,world
1182,world
1183,world
1184,world
1185,world
1186,world
1187,world
1188,world
1189,world
1190,world
1191,world
1192,world
1193,world
1194,world
1195,world
1196,world
1197,world
1198,world
1199,world
1200,world
