year,month,time,name,count
2016,jan,'2016-01-01 06:00:01+00',Ted,45
2016,apr,'2016-04-07 06:00:01+00',Ted,17
2016,jul,'2016-07-14 06:00:01+00',Marshall,37
2016,okt,'2016-10-21 06:00:01+00',Robin,31
2017,jan,'2017-01-01 06:00:01+00',Ted,67
2017,apr,'2017-04-07 06:00:01+00',Robin,53
2017,jul,'2017-07-14 06:00:01+00',Robin,23
2017,okt,'2017-10-21 06:00:01+00',Lily,17
2018,jan,'2018-01-01 14:00:01+00',Ted,7
2018,apr,'2018-04-07 14:00:01+00',Robin,79
2018,jul,'2018-07-14 14:00:01+00',Marshall,11
2018,okt,'2018-10-21 14:00:01+00',Marshall,13
2019,jan,'2019-01-01 14:00:01+00',Lily,11
2019,apr,'2019-04-07 14:00:01+00',Ted,29
2019,jul,'2019-07-14 22:00:01+00',Robin,31
2019,okt,'2019-10-21 22:00:01+00',Lily,37
2020,jan,'2020-01-01 22:00:01+00',Barney,43
2020,apr,'2020-04-07 22:00:01+00',Ted,53
2020,jul,'2020-07-14 22:00:01+00',Lily,5
2020,okt,'2020-10-21 22:00:01+00',Marshall,3
