season,overall,episode,title,director,writer,aired,code,viewers,seen
1,1,1,"Pilot",Pamela Fryman,Carter Bays & Craig Thomas,2005-09-19,1ALH79,10.94,true
1,2,2,"Purple Giraffe",Pamela Fryman,Carter Bays & Craig Thomas,2005-09-26,1ALH01,10.40,true
1,3,3,"Sweet Taste of Liberty",Pamela Fryman,Phil Lord & Chris Miller,2005-10-3,1ALH02,10.44,true
1,4,4,"Return of the Shirt",Pamela Fryman,Kourtney Kang,2005-10-10,1ALH03,9.84,true
1,5,5,"Okay Awesome",Pamela Fryman,Chris Harris,2005-10-17,1ALH04,10.14,true
1,6,6,"Slutty Pumpkin",Pamela Fryman,Brenda Hsueh,2005-10-24,1ALH05,10.89,true
1,7,7,"Matchmaker",Pamela Fryman,Chris Marcil & Sam Johnson,2005-11-7,1ALH07,10.55,true
1,8,8,"The Duel",Pamela Fryman,Gloria Calderon Kellett,2005-11-14,1ALH06,10.35,true
1,9,9,"Belly Full of Turkey",Pamela Fryman,Phil Lord & Chris Miller,2005-11-21,1ALH09,10.29,true
1,10,10,"The Pineapple Incident",Pamela Fryman,Carter Bays & Craig Thomas,2005-11-28,1ALH08,12.27,true
1,11,11,"The Limo",Pamela Fryman,Sam Johnson & Chris Marcil,2005-12-19,1ALH10,10.36,true
1,12,12,"The Wedding",Pamela Fryman,Kourtney Kang,2006-01-9,1ALH11,11.49,true
1,13,13,"Drumroll, Please",Pamela Fryman,Gloria Calderon Kellett,2006-01-23,1ALH12,10.82,true
1,14,14,"Zip, Zip, Zip",Pamela Fryman,Brenda Hsueh,2006-02-6,1ALH13,10.94,true
1,15,15,"Game Night",Pamela Fryman,Chris Harris,2006-02-27,1ALH14,9.82,true
1,16,16,"Cupcake",Pamela Fryman,Maria Ferrari,2006-03-6,1ALH15,10.15,true
1,17,17,"Life Among the Gorillas",Pamela Fryman,Carter Bays & Craig Thomas,2006-03-20,1ALH16,9.80,true
1,18,18,"Nothing Good Happens After 2 A.M.",Pamela Fryman,Carter Bays & Craig Thomas,2006-04-10,1ALH17,7.65,true
