isin,value
XXXXXS0676294696,1
XXXXXS1767931121,1
XXXXXS2262065233,1
XXXXUS68217JAA25,1
XXXXUS665772CP21,1
XXXXSI0002104196,1
XXXXUSY52758AD47,1
XXXXUS127055AH48,1
XXXXXS1799641045,1
XXXXXS0097777253,1
XXXXXS1379171140,1
XXXXUS45174XAA00,1
XXXXXS2282210231,1
XXXXUS63743HEU23,1
XXXXUS84762LAV71,1
XXXXXS1487495316,1
XXXXUS87612EBE59,1
XXXXFR0013524410,1
XXXXUS06406RAD98,1
XXXXUS478375AS78,1
XXXXUS26444HAE18,1
XXXXXS1565064273,1
XXXXXS1558078496,1
XXXXXS1721386834,1
XXXXUS14913Q2P38,1
XXXXXS1207683522,1
XXXXFR0124665995,1
XXXXUS89236THM09,1
XXXXUS6325C0DQ11,1
XXXXUSG07402DP58,1
XXXXXS0308427581,1
XXXXXS1599128680,1
XXXXUS83001AAC62,1
XXXXXS2073593274,1
XXXXES0305523005,1
XXXXUS606822BS23,1
XXXXUS427096AF94,1
XXXXES0000012F84,1
XXXXUS03762UAD72,1
XXXXXS1405770907,1
XXXXUS15135UAF66,1
XXXXUS69784DAB47,1
XXXXXS1577950311,1
XXXXUSP6040KAB37,1
XXXXXS1711550290,1
XXXXUS778296AA10,1
XXXXXS2049419398,1
XXXXUS606822AD62,1
XXXXXS1871087133,1
XXXXEU000A19XC51,1
XXXXXS1766775628,1
XXXXXS2001732010,1
XXXXUS50540RAY80,1
XXXXUSY7140WAC20,1
XXXXUS231021AT37,1
XXXXDE000LB2CHW4,1
XXXXUSU81522AC57,1
XXXXPTCMGTOM0029,1
XXXXXS1558083652,1
XXXXUS037833DT41,1
XXXXUS349553AM97,1
XXXXDE0001030278,1
XXXXUS084664BV29,1
XXXXUS06406FAD50,1
XXXXXS2178043530,1
XXXXUS931427AC23,1
XXXXXS2028846363,1
XXXXFR0013420023,1
XXXXUS59284BAB45,1
XXXXXS2360598630,1
XXXXUSP1850NAA92,1
XXXXXS1975716595,1
XXXXUS760759AN05,1
XXXXXS1410482282,1
XXXXXS2114852721,1
XXXXXS1575992596,1
XXXXXS1239401216,1
XXXXUS669827DP92,1
XXXXUS171340AH58,1
XXXXXS1611857795,1
XXXXDE000A2LQPF4,1
XXXXXS0938722666,1
XXXXUS02156LAA98,1
XXXXUS03027XBC39,1
XXXXXS2203824789,1
XXXXUS06738EBN40,1
XXXXUS059895AN23,1
XXXXDE000A2YNR08,1
XXXXUS12189LAT89,1
XXXXXS1757394322,1
XXXXXS1578203462,1
XXXXUS07330MAC10,1
XXXXUS15137TAA88,1
XXXXXS1496345684,1
XXXXXS2077601610,1
XXXXXS2071735687,1
XXXXXS2055646835,1
XXXXXS1489814340,1
XXXXXS2189766970,1
XXXXXS1382791975,1
XXXXXS1835946564,1
XXXXXS2238947126,1
XXXXUS531229AB89,1
XXXXUS12674TAB26,1
XXXXXS2228373671,1
XXXXXS1751004232,1
XXXXUS58733RAE27,1
XXXXUS98105FAF18,1
XXXXUS404280CC17,1
XXXXXS1730863260,1
XXXXXS2330932620,1
XXXXUS772739AL23,1
XXXXUS460690BQ26,1
XXXXIT0005142952,1
XXXXXS0775914277,1
XXXXUS843646AM23,1
XXXXUSU05632AL52,1
XXXXUS471048BM91,1
XXXXXS2278994681,1
XXXXUS202795JM30,1
XXXXUS984121CJ06,1
XXXXXS1788516679,1
XXXXXS1590823859,1
XXXXUS872287AF41,1
XXXXUS529043AD36,1
XXXXXS2056490423,1
XXXXUS04522KAA43,1
XXXXXS1639849204,1
XXXXEU000A1G0EM3,1
XXXXUS98313RAD89,1
XXXXDE000NWB2MC1,1
XXXXUS756109AX24,1
XXXXXS1308289146,1
XXXXUS23636BAS88,1
XXXXXS2282094494,1
XXXXUS120568BC39,1
XXXXUS471048BQ06,1
XXXXUS22822VAR24,1
XXXXXS0177600920,1
XXXXUS98310WAN83,1
XXXXUS718286CP01,1
XXXXUS084423AV48,1
XXXXUSG82016AN96,1
XXXXES0457089003,1
XXXXDE000A287179,1
XXXXUS459058JA24,1
XXXXXS2352309681,1
XXXXUS46647PCC86,1
XXXXXS1629363109,1
XXXXXS2312738599,1
XXXXUS09659X2G64,1
XXXXXS2291336167,1
XXXXUSG08820BX29,1
XXXXUS68389XBY04,1
XXXXUSG2585XAA75,1
XXXXUS931142DU48,1
XXXXXS1377237869,1
XXXXXS1641457277,1
XXXXUS06367WJM64,1
XXXXXS2194913443,1
XXXXXS1827041721,1
XXXXXS1318709497,1
XXXXUS247361ZT81,1
XXXXUS485134BQ27,1
XXXXUS12591DAC56,1
XXXXEU000A1G0BN7,1
XXXXDE000DB7XJB9,1
XXXXFR0013359197,1
XXXXXS1551932046,1
XXXXXS2315827209,1
XXXXUS45631XAA72,1
XXXXXS2113151059,1
XXXXUSG42045AC15,1
XXXXFR0013066743,1
XXXXUS05553LAA17,1
XXXXXS1596778008,1
XXXXXS2110832040,1
XXXXUS226775AF15,1
XXXXUS00213MAS35,1
XXXXXS2055089960,1
XXXXUS22547AAD37,1
XXXXUS91913YAS90,1
XXXXFR0013396512,1
XXXXUS084670BJ68,1
XXXXUS14042RBT77,1
XXXXXS0826634874,1
XXXXXS2156583259,1
XXXXUS92553PAU66,1
XXXXUS172967MA69,1
XXXXXS1167204699,1
XXXXFR0010096826,1
XXXXIT0005422032,1
XXXXUS369550BD98,1
XXXXPTSDRAOM0012,1
XXXXUS65158NAB82,1
XXXXXS1514149159,1
XXXXUS52603BAC19,1
XXXXUS500630DJ45,1
XXXXXS2070055095,1
XXXXUSF2R125CF03,1
XXXXXS1843443356,1
XXXXXS1698906259,1
XXXXUS254687DZ66,1
XXXXXS0848436365,1
XXXXXS2353018141,1
XXXXXS0541453147,1
XXXXUS717265AJ16,1
XXXXUS12429TAD63,1
XXXXXS2002491517,1
XXXXUS00774MAK18,1
XXXXXS1508782098,1
XXXXUS126650DJ69,1
XXXXUS20826FAQ90,1
XXXXUS63946BAF76,1
XXXXXS2055786763,1
XXXXUSG8200TAH35,1
XXXXDE000A19UNN9,1
XXXXXS1171593293,1
XXXXXS2192430572,1
XXXXUSY708CHAA88,1
XXXXXS2051106073,1
XXXXXS2286299016,1
XXXXXS0148889420,1
XXXXXS1881014374,1
XXXXUS900123CP36,1
XXXXUS87973PAB04,1
XXXXXS2090281580,1
XXXXUS86787EAT47,1
XXXXXS1701884204,1
XXXXXS1634368507,1
XXXXUS37045XDL73,1
XXXXDE0001102481,1
XXXXXS1637124741,1
XXXXUS74762EAF97,1
XXXXFR0013332988,1
XXXXUS29736RAQ39,1
XXXXDE000NWB0AF3,1
XXXXXS0932307100,1
XXXXUS50067PAA75,1
XXXXUS98212BAL71,1
XXXXUS36321PAA84,1
XXXXUS459058JC89,1
XXXXUS882508BH65,1
XXXXXS1150695192,1
XXXXXS1717011982,1
XXXXUS63938CAE84,1
XXXXXS1893631769,1
XXXXUS046353AD01,1
XXXXUS33939HAA77,1
XXXXUS25746UDB26,1
XXXXXS1859258383,1
XXXXUS74432QBT13,1
XXXXUS58933YAY14,1
XXXXXS2090807293,1
XXXXFR0013144003,1
XXXXUS58013MFM10,1
XXXXXS1506604088,1
XXXXUS911312BL96,1
XXXXFR0013479102,1
XXXXXS1903442744,1
XXXXUS89153VAG41,1
XXXXUS225310AN19,1
XXXXXS2207648937,1
XXXXUS05947KAZ30,1
XXXXXS2113121904,1
XXXXXS2231715322,1
XXXXXS2020670779,1
XXXXUS72650RAR30,1
XXXXUS98978VAM54,1
XXXXXS1953778807,1
XXXXUS92343VFE92,1
XXXXUS166756AR79,1
XXXXUS46592BAA08,1
XXXXXS2228387465,1
XXXXXS1979287437,1
XXXXXS2064648525,1
XXXXUS50220PAA12,1
XXXXXS2024715794,1
XXXXFR0014003RL9,1
XXXXUS29413XAD93,1
XXXXUS882508BD51,1
XXXXUS46650CAA71,1
XXXXXS1631415400,1
XXXXUS67078AAC71,1
XXXXXS1048428442,1
XXXXUS83368JKG49,1
XXXXUS05958AAJ79,1
XXXXUS92340LAE92,1
XXXXUS320517AD78,1
XXXXXS1056232322,1
XXXXUSY4836TBT70,1
XXXXUS17308CC539,1
XXXXXS1649890891,1
XXXXPTOTEXOE0024,1
XXXXXS2016010881,1
XXXXUS38143U8H71,1
XXXXUS45866FAN42,1
XXXXXS1888230254,1
XXXXUS26442CBC73,1
XXXXUSH42097CL90,1
XXXXUS69375MAA18,1
XXXXUS85172FAN96,1
XXXXFR00140049N1,1
XXXXUS92340LAF67,1
XXXXUS845743BL61,1
XXXXUS63254ABC18,1
XXXXUS25468PCT12,1
XXXXXS0926785808,1
XXXXXS2276735326,1
XXXXUS71654QCD25,1
XXXXXS1979259220,1
XXXXUS38141GXK56,1
XXXXUS713448FB91,1
XXXXUS136440AL88,1
XXXXXS0496975110,1
XXXXXS1548444816,1
XXXXUS161175BY99,1
XXXXUS36962G6S82,1
XXXXUS50076QAZ90,1
XXXXXS1877512258,1
XXXXXS2068241400,1
XXXXFR0013254273,1
XXXXXS1190974011,1
XXXXUS575767AK42,1
XXXXXS2227050379,1
XXXXXS2278566299,1
