upper_ch1,ascii_upper_ch1,upper_ch2,ascii_upper_ch2,upper_ch1_ch2,count_ch1_ch2
 ,32,A,65, A,494173
.,46, ,32,. ,488739
 ,32,T,84, T,469956
E,69, ,32,E ,466648
",",44, ,32,", ",440542
I,73,N,78,IN,407722
 ,32,O,79, O,377633
T,84,H,72,TH,359274
H,72,E,69,HE,312128
E,69,R,82,ER,309523
.,46,"
",10,".
",285190
 ,32,S,83, S,277259
O,79,R,82,OR,273285
A,65,N,78,AN,265455
O,79,N,78,ON,244793
R,82,E,69,RE,224757
S,83, ,32,S ,223965
D,68,E,69,DE,216602
T,84,O,79,TO,212007
E,69,N,78,EN,208670
R,82, ,32,R ,208468
N,78, ,32,N ,204925
D,68, ,32,D ,200413
;,59, ,32,; ,195304
T,84,E,69,TE,194993
 ,32,P,80, P,193992
O,79,F,70,OF,191519
 ,32,C,67, C,190473
N,78,G,71,NG,187840
A,65,T,84,AT,184474
 ,32,I,73, I,182271
T,84,I,73,TI,181450
O,79, ,32,O ,177321
E,69,S,83,ES,176792
A,65,R,82,AR,173206
A,65,L,76,AL,171852
F,70, ,32,F ,167710
S,83,E,69,SE,167170
A,65, ,32,A ,166835
:,58, ,32,: ,165256
 ,32,F,70, F,158266
E,69,D,68,ED,157858
T,84, ,32,T ,156159
 ,32,B,66, B,154270
L,76,E,69,LE,153089
S,83,T,84,ST,153042
N,78,D,68,ND,152324
I,73,T,84,IT,150842
 ,32,E,69, E,142236
 ,32,W,87, W,142128
I,73,S,83,IS,140685
N,78,T,84,NT,135262
R,82,O,79,RO,130831
R,82,I,73,RI,130542
A,65,S,83,AS,129528
N,78,.,46,N.,128527
E,69,T,84,ET,126241
"
",10,D,68,"
D",125930
N,78,E,69,NE,125592
E,69,F,70,EF,124747
R,82,A,65,RA,124311
C,67,O,79,CO,123836
 ,32,N,78, N,121519
I,73,C,67,IC,120873
Y,89, ,32,Y ,117302
 ,32,M,77, M,113822
M,77,E,69,ME,111982
L,76,I,73,LI,107910
C,67,E,69,CE,107168
H,72,A,65,HA,106814
L,76,A,65,LA,104777
C,67,H,72,CH,104531
 ,32,D,68, D,104424
N,78,:,58,N:,103098
O,79,U,85,OU,103041
F,70,N,78,FN,102864
V,86,E,69,VE,101879
L,76,L,76,LL,100827
U,85,S,83,US,100268
I,73,O,79,IO,99781
G,71, ,32,G ,98390
T,84,A,65,TA,96419
E,69,A,65,EA,96158
 ,32,H,72, H,95625
P,80,E,69,PE,95221
 ,32,[,91, [,92626
H,72,I,73,HI,88959
M,77,A,65,MA,88732
T,84,Y,89,TY,86828
 ,32,L,76, L,86825
.,46,],93,.],86821
C,67,A,65,CA,85189
D,68,I,73,DI,83906
E,69,.,46,E.,83465
E,69,L,76,EL,83003
 ,32,R,82, R,82545
O,79,M,77,OM,82334
S,83,.,46,S.,82306
S,83,",",44,"S,",81987
A,65,C,67,AC,81372
S,83,I,73,SI,79340
E,69,E,69,EE,78940
P,80,R,82,PR,78585
R,82,.,46,R.,76488
U,85,R,82,UR,76246
H,72, ,32,H ,76061
L,76,O,79,LO,73530
T,84,R,82,TR,73299
E,69,",",44,"E,",72400
 ,32,G,71, G,71885
 ,32,(,40, (,70288
