ranking,upper_ch,ascii_upper_ch,count_all,num_chars,base_frequency,actual_frequency,relative_frequency
1,¿,191,27669429,115,0.008695652173913044,3.6140969876899156e-08,4.156211535843403e-06
2,‘,8216,27669429,115,0.008695652173913044,3.6140969876899156e-08,4.156211535843403e-06
3,@,64,27669429,115,0.008695652173913044,3.6140969876899156e-08,4.156211535843403e-06
4,¾,190,27669429,115,0.008695652173913044,3.6140969876899156e-08,4.156211535843403e-06
5,Ã,195,27669429,115,0.008695652173913044,7.228193975379831e-08,8.312423071686805e-06
6,—,8212,27669429,115,0.008695652173913044,7.228193975379831e-08,8.312423071686805e-06
7,<,60,27669429,115,0.008695652173913044,7.228193975379831e-08,8.312423071686805e-06
8,%,37,27669429,115,0.008695652173913044,1.0842290963069747e-07,1.2468634607530208e-05
9,¼,188,27669429,115,0.008695652173913044,1.4456387950759662e-07,1.662484614337361e-05
10,•,8226,27669429,115,0.008695652173913044,1.4456387950759662e-07,1.662484614337361e-05
11,>,62,27669429,115,0.008695652173913044,1.4456387950759662e-07,1.662484614337361e-05
12,Ð,208,27669429,115,0.008695652173913044,1.807048493844958e-07,2.0781057679217017e-05
13,×,215,27669429,115,0.008695652173913044,1.807048493844958e-07,2.0781057679217017e-05
14,’,8217,27669429,115,0.008695652173913044,2.1684581926139494e-07,2.4937269215060416e-05
15,_,95,27669429,115,0.008695652173913044,2.1684581926139494e-07,2.4937269215060416e-05
16,	,9,27669429,115,0.008695652173913044,2.8912775901519325e-07,3.324969228674722e-05
17,÷,247,27669429,115,0.008695652173913044,2.8912775901519325e-07,3.324969228674722e-05
18,Ì,204,27669429,115,0.008695652173913044,2.8912775901519325e-07,3.324969228674722e-05
19,Ù,217,27669429,115,0.008695652173913044,2.8912775901519325e-07,3.324969228674722e-05
20,½,189,27669429,115,0.008695652173913044,3.614096987689916e-07,4.1562115358434034e-05
21,Ò,210,27669429,115,0.008695652173913044,3.614096987689916e-07,4.1562115358434034e-05
22,“,8220,27669429,115,0.008695652173913044,3.9755066864589073e-07,4.571832689427743e-05
23,”,8221,27669429,115,0.008695652173913044,3.9755066864589073e-07,4.571832689427743e-05
24,£,163,27669429,115,0.008695652173913044,4.336916385227899e-07,4.987453843012083e-05
25,},125,27669429,115,0.008695652173913044,4.336916385227899e-07,4.987453843012083e-05
26,{,123,27669429,115,0.008695652173913044,7.228193975379832e-07,8.312423071686807e-05
27,~,126,27669429,115,0.008695652173913044,7.228193975379832e-07,8.312423071686807e-05
28,°,176,27669429,115,0.008695652173913044,8.673832770455797e-07,9.974907686024166e-05
29,Ý,221,27669429,115,0.008695652173913044,1.4456387950759664e-06,0.00016624846143373614
30,$,36,27669429,115,0.008695652173913044,1.5179207348297646e-06,0.00017456088450542293
31,Û,219,27669429,115,0.008695652173913044,1.9516123733525546e-06,0.00022443542293554378
32,Í,205,27669429,115,0.008695652173913044,1.9877533432294537e-06,0.00022859163447138718
33,Ú,218,27669429,115,0.008695652173913044,2.023894313106353e-06,0.00023274784600723058
34,™,8482,27669429,115,0.008695652173913044,2.060035282983252e-06,0.00023690405754307398
35,/,47,27669429,115,0.008695652173913044,2.746713710644336e-06,0.0003158720767240987
36,Å,197,27669429,115,0.008695652173913044,2.8189956503981344e-06,0.00032418449979578547
37,À,192,27669429,115,0.008695652173913044,2.8912775901519327e-06,0.00033249692286747227
38,Ñ,209,27669429,115,0.008695652173913044,2.8912775901519327e-06,0.00033249692286747227
39,§,167,27669429,115,0.008695652173913044,3.3249692286747224e-06,0.00038237146129759306
40,Î,206,27669429,115,0.008695652173913044,3.614096987689916e-06,0.0004156211535843403
41,|,124,27669429,115,0.008695652173913044,3.614096987689916e-06,0.0004156211535843403
42,^,94,27669429,115,0.008695652173913044,3.939365716582008e-06,0.0004530270574069309
43,Ç,199,27669429,115,0.008695652173913044,4.192352505720302e-06,0.00048212053815783475
44,Ô,212,27669429,115,0.008695652173913044,4.192352505720302e-06,0.00048212053815783475
45,\,92,27669429,115,0.008695652173913044,4.373057355104798e-06,0.0005029015958370518
46,Â,194,27669429,115,0.008695652173913044,5.1681586923965796e-06,0.0005943382496256067
47,º,186,27669429,115,0.008695652173913044,5.99940099956526e-06,0.0006899311149500049
48,Ê,202,27669429,115,0.008695652173913044,6.360810698334252e-06,0.0007314932303084389
49,=,61,27669429,115,0.008695652173913044,7.192053005502932e-06,0.0008270860956328372
50,Þ,222,27669429,115,0.008695652173913044,7.228193975379832e-06,0.0008312423071686806
51,Ü,220,27669429,115,0.008695652173913044,8.673832770455798e-06,0.0009974907686024167
52,Ï,207,27669429,115,0.008695652173913044,8.709973740332697e-06,0.0010016469801382602
53,Á,193,27669429,115,0.008695652173913044,9.43279313787068e-06,0.0010847712108551283
54,Ó,211,27669429,115,0.008695652173913044,9.90262574627037e-06,0.0011388019608210924
55,#,35,27669429,115,0.008695652173913044,1.416726019174447e-05,0.001629234922050614
56,Ä,196,27669429,115,0.008695652173913044,1.5215348318174546e-05,0.0017497650565900728
57,È,200,27669429,115,0.008695652173913044,2.0022097311802133e-05,0.0023025411908572453
58,Ë,203,27669429,115,0.008695652173913044,2.7358714196812663e-05,0.0031462521326334563
59,!,33,27669429,115,0.008695652173913044,3.3900229744531414e-05,0.0038985264206211124
