C,NEMP.WORLD,DAILY,AEMO,PUBLIC,2023/12/15,04:05:05,0000000405621952,,0000000405621952
I,DISPATCH,CASESOLUTION,1,SETTLEMENTDATE,RUNNO,INTERVENTION,CASESUBTYPE,SOLUTIONSTATUS,SPDVERSION,NONPHYSICALLOSSES,TOTALOBJECTIVE,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALASPROFILEVIOLATION,TOTALFASTSTARTVIOLATION,TOTALENERGYOFFERVIOLATION,LASTCHANGED
D,DISPATCH,CASESOLUTION,1,"2023/12/14 04:05:00",1,0,,1,,0,2168940741.3630,0,0,0,0.416,89,,,,,0,0,0,"2023/12/14 04:00:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 04:10:00",1,0,,1,,0,940853207.18,0,0,0,0.416,39,,,,,0,0,0,"2023/12/14 04:05:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 04:15:00",1,0,,1,,0,-16984351.7420,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 04:10:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 04:20:00",1,0,,1,,0,-17245829.4290,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 04:15:04"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 04:25:00",1,0,,1,,0,-17341244.9120,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 04:20:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 04:30:00",1,0,,1,,0,-17604866.14,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 04:25:04"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 04:35:00",1,0,,1,,0,-17758936.7620,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 04:30:04"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 04:40:00",1,0,,1,,0,2169199669.0510,0,0,0,0.416,89,,,,,0,0,0,"2023/12/14 04:35:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 04:45:00",1,0,,1,,0,793565641.5720,0,0,0,0.416,33,,,,,0,0,0,"2023/12/14 04:40:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 04:50:00",1,0,,1,,0,-16812065.5260,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 04:45:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 04:55:00",1,0,,1,,0,-16961074.1980,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 04:50:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 05:00:00",1,0,,1,,0,-17153467.0240,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 04:55:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 05:05:00",1,0,,1,,0,-16050490.9420,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 05:00:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 05:10:00",1,0,,1,,0,2195491625.5180,0,0,0,0.416,90,,,,,0,0,0,"2023/12/14 05:05:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 05:15:00",1,0,,1,,0,868576407.9410,0,0,0,0.416,36,,,,,0,0,0,"2023/12/14 05:10:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 05:20:00",1,0,,1,,0,-15790375.9370,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 05:15:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 05:25:00",1,0,,1,,0,-16064854.1450,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 05:20:04"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 05:30:00",1,0,,1,,0,81358090.9280,0,0,0,0.416,3.972,,,,,0,0,0,"2023/12/14 05:25:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 05:35:00",1,0,,1,,0,-16033976.8810,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 05:30:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 05:40:00",1,0,,1,,0,2170708641.8570,0,0,0,0.416,89,,,,,0,0,0,"2023/12/14 05:35:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 05:45:00",1,0,,1,,0,819369473.87,0,0,0,0.416,34,,,,,0,0,0,"2023/12/14 05:40:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 05:50:00",1,0,,1,,0,-16136805.7480,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 05:45:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 05:55:00",1,0,,1,,0,-16927183.0130,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 05:50:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 06:00:00",1,0,,1,,0,-17532074.4790,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 05:55:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 06:05:00",1,0,,1,,0,-17049357.1450,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 06:00:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 06:10:00",1,0,,1,,0,-18833662.4440,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 06:05:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 06:15:00",1,0,,1,,0,-18987970.1550,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 06:10:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 06:20:00",1,0,,1,,0,-19363609.90,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 06:15:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 06:25:00",1,0,,1,,0,100982692.6220,0,0,0,0.416,4.9,,,,,0,0,0,"2023/12/14 06:20:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 06:30:00",1,0,,1,,0,95242101.7240,0,0,0,0.416,4.7,,,,,0,0,0,"2023/12/14 06:25:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 06:35:00",1,0,,1,,0,-17965660.5510,0,0,0,0.416,0.1,,,,,0,0,0,"2023/12/14 06:30:04"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 06:40:00",1,0,,1,,0,-20865510.6950,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 06:35:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 06:45:00",1,0,,1,,0,-21456314.6380,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 06:40:04"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 06:50:00",1,0,,1,,0,-7308069.64,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 06:45:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 06:55:00",1,0,,1,,0,-11855744.8020,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 06:50:07"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 07:00:00",1,0,,1,,0,-16048721.6170,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 06:55:05"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 07:05:00",1,0,,1,,0,-19901734.0840,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 07:00:04"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 07:10:00",1,0,,1,,0,-21593430.9780,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 07:05:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 07:15:00",1,0,,1,,0,-21051260.6070,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 07:10:04"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 07:20:00",1,0,,1,,0,-21325487.17,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 07:15:04"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 07:25:00",1,0,,1,,0,-22205664.1380,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 07:20:04"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 07:30:00",1,0,,1,,0,-22600208.7170,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 07:25:04"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 07:35:00",1,0,,1,,0,3113417796.5860,0,0,0,0.416,126.539,,,,,0,0,0,"2023/12/14 07:30:05"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 07:40:00",1,0,,1,,0,2037279397.1530,0,0,0,0.416,82.917,,,,,0,0,0,"2023/12/14 07:35:09"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 07:45:00",1,0,,1,,0,941903175.2470,0,0,0,0.416,38.635,,,,,0,0,0,"2023/12/14 07:40:09"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 07:50:00",1,0,,1,,0,-10175218.0460,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 07:45:09"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 07:55:00",1,0,,1,,0,-15545682.1790,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 07:50:05"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 08:00:00",1,0,,1,,0,-18125278.9580,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 07:55:09"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 08:05:00",1,0,,1,,0,2985011416.1390,0,0,0,0.416,122.201,,,,,0,0,0,"2023/12/14 08:00:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 08:10:00",1,0,,1,,0,26495745.2680,0,0,0,0.416,1.873,,,,,0,0,0,"2023/12/14 08:05:07"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 08:15:00",1,0,,1,,0,-20616215.3260,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 08:10:03"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 08:20:00",1,0,,1,,0,-21252273.5130,0,0,0,0.416,0,,,,,0,0,0,"2023/12/14 08:15:09"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 08:25:00",1,0,,1,,0,4545932174.3610,0,0,27.6,0.416,157.607,,,,,0,0,0,"2023/12/14 08:20:08"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 08:30:00",1,0,,1,,0,3877631288.4650,0,0,27.6,0.416,130.449,,,,,0,0,0,"2023/12/14 08:25:09"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 08:35:00",1,0,,1,,0,3240708988.7340,0,0,29.726,0.416,104.482,,,,,0,0,0,"2023/12/14 08:30:09"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 08:40:00",1,0,,1,,0,2531799765.9680,0,0,28.179,0.416,77.307,,,,,0,0,0,"2023/12/14 08:35:08"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 08:45:00",1,0,,1,,0,1599426997.2990,0,0,22.362,0.416,44.743,,,,,0,0,0,"2023/12/14 08:40:07"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 08:50:00",1,0,,1,,0,725095983.2140,0,0,20.967,0.416,9.108,,,,,0,0,0,"2023/12/14 08:45:05"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 08:55:00",1,0,,1,,0,500029659.4730,0,0,20.8,0.416,0,,,,,0,0,0,"2023/12/14 08:50:05"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 09:00:00",1,0,,1,,0,414799082.1420,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 08:55:09"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 09:05:00",1,0,,1,,0,414841710.5830,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 09:00:08"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 09:10:00",1,0,,1,,0,1497186151.1480,0,0,17.4,0.416,0,,,,,0,28.823,0,"2023/12/14 09:05:08"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 09:15:00",1,0,,1,,0,415112619.7580,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 09:10:10"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 09:20:00",1,0,,1,,0,415467475.6790,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 09:15:10"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 09:25:00",1,0,,1,,0,415459755.4320,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 09:20:10"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 09:30:00",1,0,,1,,0,415178248.9560,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 09:25:08"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 09:35:00",1,0,,1,,0,415849554.6870,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 09:30:09"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 09:40:00",1,0,,1,,0,415995236.6670,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 09:35:09"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 09:45:00",1,0,,1,,0,415756372.5260,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 09:40:09"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 09:50:00",1,0,,1,,0,415922498.4740,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 09:45:10"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 09:55:00",1,0,,1,,0,416341487.9290,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 09:50:10"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 10:00:00",1,0,,1,,0,416797796.8330,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 09:55:09"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 10:05:00",1,0,,1,,0,416704417.5670,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 10:00:05"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 10:10:00",1,0,,1,,0,416112127.49,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 10:05:10"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 10:15:00",1,0,,1,,0,416091670.5490,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 10:10:09"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 10:20:00",1,0,,1,,0,416415157.8950,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 10:15:07"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 10:25:00",1,0,,1,,0,416227903.4970,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 10:20:05"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 10:30:00",1,0,,1,,0,416030089.5530,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 10:25:09"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 10:35:00",1,0,,1,,0,416579705.75,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 10:30:09"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 10:40:00",1,0,,1,,0,416494706.90,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 10:35:05"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 10:45:00",1,0,,1,,0,417023504.0330,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 10:40:05"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 10:50:00",1,0,,1,,0,415833026.8950,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 10:45:09"
D,DISPATCH,CASESOLUTION,1,"2023/12/14 10:55:00",1,0,,1,,0,416191273.9680,0,0,17.4,0.416,0,,,,,0,0,0,"2023/12/14 10:50:08"
