a,b,c
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro",5
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,bla,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"bla
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro thiago timbo holanda"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedroÿÿ"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
1,2,"pedro"
