Contient la liste des mutations vers de la forêt entre les millésimes 2010 et 2021 pour le territoire choisi.
n_admin,id_admin,ocs_cod_10,ocs_cod_21,ocs_ha_chg
commune,08008,5 - Surfaces en eau,31 - Forêts,0.10522
commune,08008,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.10765
commune,08008,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.29654
commune,08010,5 - Surfaces en eau,31 - Forêts,0.01322
commune,08010,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.44156
commune,08010,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.09930
commune,08024,5 - Surfaces en eau,31 - Forêts,0.23217
commune,08024,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.06661
commune,08024,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.09843
commune,08025,5 - Surfaces en eau,31 - Forêts,0.20271
commune,08025,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.11747
commune,08025,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.05697
commune,08026,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.07196
commune,08039,5 - Surfaces en eau,31 - Forêts,0.10443
commune,08048,5 - Surfaces en eau,31 - Forêts,0.07911
commune,08048,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.08718
commune,08001,1 - Emprises urbaines,32 - Formations naturelles herbacées ou arbustives,0.26051
commune,08082,5 - Surfaces en eau,31 - Forêts,0.19507
commune,08082,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.06201
commune,08097,5 - Surfaces en eau,31 - Forêts,0.11770
commune,08097,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,1.07617
commune,08097,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.36933
commune,08107,5 - Surfaces en eau,31 - Forêts,0.09428
commune,08107,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.09375
commune,08110,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,2.80914
commune,08120,5 - Surfaces en eau,31 - Forêts,0.02505
commune,08145,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.03877
commune,08146,5 - Surfaces en eau,31 - Forêts,0.06568
commune,08148,5 - Surfaces en eau,31 - Forêts,0.17146
commune,08148,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.10680
commune,08116,1 - Emprises urbaines,31 - Forêts,0.22433
commune,08164,5 - Surfaces en eau,31 - Forêts,0.20275
commune,08190,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.01039
commune,08193,5 - Surfaces en eau,31 - Forêts,0.06998
commune,08193,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.41733
commune,08193,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.26501
commune,08198,5 - Surfaces en eau,31 - Forêts,0.30805
commune,08198,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.30980
commune,08203,5 - Surfaces en eau,31 - Forêts,0.02179
commune,08218,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,1.15659
commune,08249,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,2.82991
commune,08274,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.05259
commune,08310,5 - Surfaces en eau,31 - Forêts,0.52322
commune,08310,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.60481
commune,08311,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.12962
commune,08313,5 - Surfaces en eau,31 - Forêts,0.16242
commune,08319,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.06266
commune,08333,5 - Surfaces en eau,31 - Forêts,0.14728
commune,08333,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.04962
commune,08364,5 - Surfaces en eau,31 - Forêts,0.00654
commune,08364,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.16539
commune,08364,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.04275
commune,08378,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.03939
commune,08381,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.15393
commune,08383,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.05540
commune,08384,5 - Surfaces en eau,31 - Forêts,0.04799
commune,08384,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.02966
commune,08405,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.19769
commune,08406,5 - Surfaces en eau,31 - Forêts,0.12188
commune,08412,5 - Surfaces en eau,31 - Forêts,0.35866
commune,08412,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.10566
commune,08416,5 - Surfaces en eau,31 - Forêts,0.49510
commune,08416,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.49653
commune,08416,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.45191
commune,08438,5 - Surfaces en eau,31 - Forêts,0.12075
commune,08448,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.36815
commune,08452,5 - Surfaces en eau,31 - Forêts,0.18623
commune,08452,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.08130
commune,08452,5 - Surfaces en eau,"33 - Espaces ouverts, sans ou avec peu de végétation",0.52482
commune,08456,5 - Surfaces en eau,31 - Forêts,0.05631
commune,08461,5 - Surfaces en eau,31 - Forêts,0.17877
commune,08463,5 - Surfaces en eau,31 - Forêts,0.05161
commune,08469,5 - Surfaces en eau,31 - Forêts,0.07864
commune,08473,5 - Surfaces en eau,31 - Forêts,0.13960
commune,08473,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.04405
commune,08489,5 - Surfaces en eau,31 - Forêts,0.12474
commune,08489,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.20525
commune,08490,5 - Surfaces en eau,31 - Forêts,0.07306
commune,10030,5 - Surfaces en eau,31 - Forêts,0.20029
commune,10063,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.10406
commune,10054,1 - Emprises urbaines,31 - Forêts,0.06323
commune,10131,5 - Surfaces en eau,32 - Formations naturelles herbacées ou arbustives,0.06177
