tool|sf|day|batch_type|q|parameters|time
Umbra|100|2012-11-29|power|q4precomputation||1.6661677360534668
Umbra|100|2012-11-29|power|q6precomputation||1.0260441303253174
Umbra|100|2012-11-29|power|q19precomputation||7.383813858032227
Umbra|100|2012-11-29|power|q20precomputation||1.7466752529144287
Umbra|100|2012-11-29|power|writes||14.66388201713562
Umbra|100|2012-11-29|power|1|{"datetime": "2010-08-01T12:12:48.000+00:00"}|0.05486106872558594
Umbra|100|2012-11-29|power|1|{"datetime": "2010-06-11T09:21:46.000+00:00"}|0.05437922477722168
Umbra|100|2012-11-29|power|1|{"datetime": "2010-02-26T03:51:21.000+00:00"}|0.05473947525024414
Umbra|100|2012-11-29|power|1|{"datetime": "2010-08-04T10:58:09.000+00:00"}|0.0544126033782959
Umbra|100|2012-11-29|power|1|{"datetime": "2010-07-21T06:06:50.000+00:00"}|0.05519294738769531
Umbra|100|2012-11-29|power|1|{"datetime": "2010-07-02T14:38:15.000+00:00"}|0.05507397651672363
Umbra|100|2012-11-29|power|1|{"datetime": "2010-06-07T04:40:58.000+00:00"}|0.0542600154876709
Umbra|100|2012-11-29|power|1|{"datetime": "2010-06-24T05:17:38.000+00:00"}|0.054059743881225586
Umbra|100|2012-11-29|power|1|{"datetime": "2010-06-19T18:42:23.000+00:00"}|0.05461430549621582
Umbra|100|2012-11-29|power|1|{"datetime": "2010-07-03T22:34:42.000+00:00"}|0.0544588565826416
Umbra|100|2012-11-29|power|1|{"datetime": "2010-08-08T14:38:58.000+00:00"}|0.05538368225097656
Umbra|100|2012-11-29|power|1|{"datetime": "2010-05-21T03:03:17.000+00:00"}|0.05382847785949707
Umbra|100|2012-11-29|power|1|{"datetime": "2010-07-04T05:29:09.000+00:00"}|0.05422568321228027
Umbra|100|2012-11-29|power|1|{"datetime": "2010-04-06T18:42:58.000+00:00"}|0.05379152297973633
Umbra|100|2012-11-29|power|1|{"datetime": "2010-07-11T07:55:19.000+00:00"}|0.0552668571472168
Umbra|100|2012-11-29|power|1|{"datetime": "2010-07-19T16:16:56.000+00:00"}|0.05458831787109375
Umbra|100|2012-11-29|power|1|{"datetime": "2010-06-01T09:09:15.000+00:00"}|0.05640769004821777
Umbra|100|2012-11-29|power|1|{"datetime": "2010-05-31T02:14:48.000+00:00"}|0.05490612983703613
Umbra|100|2012-11-29|power|1|{"datetime": "2010-04-28T07:55:54.000+00:00"}|0.053754329681396484
Umbra|100|2012-11-29|power|1|{"datetime": "2010-06-18T11:47:56.000+00:00"}|0.05511975288391113
Umbra|100|2012-11-29|power|1|{"datetime": "2010-08-09T22:34:25.000+00:00"}|0.05575156211853027
Umbra|100|2012-11-29|power|1|{"datetime": "2010-06-06T21:45:30.000+00:00"}|0.05472111701965332
Umbra|100|2012-11-29|power|1|{"datetime": "2010-06-05T14:50:03.000+00:00"}|0.055161476135253906
Umbra|100|2012-11-29|power|1|{"datetime": "2010-04-18T07:43:23.000+00:00"}|0.05398225784301758
Umbra|100|2012-11-29|power|1|{"datetime": "2010-06-12T16:16:13.000+00:00"}|0.055385589599609375
Umbra|100|2012-11-29|power|1|{"datetime": "2010-08-16T00:00:34.000+00:00"}|0.05484771728515625
Umbra|100|2012-11-29|power|1|{"datetime": "2010-08-07T07:43:30.000+00:00"}|0.05618715286254883
Umbra|100|2012-11-29|power|1|{"datetime": "2010-07-17T01:25:01.000+00:00"}|0.05601620674133301
Umbra|100|2012-11-29|power|1|{"datetime": "2010-05-29T12:24:54.000+00:00"}|0.05434107780456543
Umbra|100|2012-11-29|power|1|{"datetime": "2010-05-26T14:38:32.000+00:00"}|0.05460762977600098
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-08", "tagClass": "ChristianBishop"}|0.05144762992858887
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "OfficeHolder"}|0.17173385620117188
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-06", "tagClass": "Album"}|0.20615720748901367
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-18", "tagClass": "Song"}|0.07800769805908203
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "Person"}|0.2044835090637207
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-22", "tagClass": "MilitaryPerson"}|0.04892253875732422
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-23", "tagClass": "ChristianBishop"}|0.04807567596435547
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-07", "tagClass": "Thing"}|0.05856180191040039
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-16", "tagClass": "Song"}|0.0776522159576416
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-05", "tagClass": "President"}|0.0688636302947998
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-20", "tagClass": "ChristianBishop"}|0.050917863845825195
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-16", "tagClass": "TennisPlayer"}|0.08922028541564941
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-10", "tagClass": "Philosopher"}|0.07817411422729492
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-24", "tagClass": "Philosopher"}|0.0783078670501709
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-10", "tagClass": "OfficeHolder"}|0.17238974571228027
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-15", "tagClass": "Philosopher"}|0.07959246635437012
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-13", "tagClass": "Artist"}|0.05978798866271973
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-19", "tagClass": "TennisPlayer"}|0.07889986038208008
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-21", "tagClass": "Song"}|0.0777750015258789
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-07", "tagClass": "SoccerPlayer"}|0.03196597099304199
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-06", "tagClass": "MusicalArtist"}|0.19579172134399414
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-23", "tagClass": "TennisPlayer"}|0.08102297782897949
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-16", "tagClass": "Person"}|0.20352959632873535
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-08", "tagClass": "Thing"}|0.05951046943664551
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-15", "tagClass": "MusicalArtist"}|0.18851184844970703
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-08", "tagClass": "Person"}|0.20758676528930664
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-11", "tagClass": "Artist"}|0.05505943298339844
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-23", "tagClass": "BritishRoyalty"}|0.12690019607543945
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-18", "tagClass": "SoccerPlayer"}|0.032733917236328125
Umbra|100|2012-11-29|power|2a|{"date": "2010-06-23", "tagClass": "MilitaryPerson"}|0.04978513717651367
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-08", "tagClass": "ChristianBishop"}|0.05180525779724121
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-06", "tagClass": "Senator"}|0.037996530532836914
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-07", "tagClass": "ComicsCharacter"}|0.03731274604797363
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-22", "tagClass": "IceHockeyPlayer"}|0.028812170028686523
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-20", "tagClass": "Comedian"}|0.04572629928588867
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-10", "tagClass": "EurovisionSongContestEntry"}|0.03287935256958008
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-22", "tagClass": "MilitaryPerson"}|0.05068016052246094
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-17", "tagClass": "PrimeMinister"}|0.04036259651184082
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-23", "tagClass": "ChristianBishop"}|0.048662662506103516
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-20", "tagClass": "ChristianBishop"}|0.05007624626159668
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-22", "tagClass": "GolfPlayer"}|0.02983999252319336
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-23", "tagClass": "IceHockeyPlayer"}|0.03107142448425293
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-16", "tagClass": "Chancellor"}|0.030387163162231445
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-13", "tagClass": "Artist"}|0.05457639694213867
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-07", "tagClass": "ComicsCreator"}|0.03524637222290039
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-24", "tagClass": "Chancellor"}|0.029285669326782227
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-23", "tagClass": "ComicsCharacter"}|0.037711381912231445
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-23", "tagClass": "Governor"}|0.03232741355895996
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-07", "tagClass": "Comedian"}|0.04650259017944336
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-05", "tagClass": "Architect"}|0.03366494178771973
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-22", "tagClass": "ComicsCreator"}|0.03576493263244629
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-18", "tagClass": "BasketballPlayer"}|0.029526472091674805
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-15", "tagClass": "ComicsCreator"}|0.03588128089904785
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-11", "tagClass": "Artist"}|0.05710577964782715
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-23", "tagClass": "MilitaryPerson"}|0.0492558479309082
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-05", "tagClass": "EurovisionSongContestEntry"}|0.03216361999511719
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-19", "tagClass": "Senator"}|0.03587651252746582
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-10", "tagClass": "PrimeMinister"}|0.03995347023010254
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-14", "tagClass": "ComicsCharacter"}|0.03710126876831055
Umbra|100|2012-11-29|power|2b|{"date": "2010-06-19", "tagClass": "ChristianBishop"}|0.050336599349975586
Umbra|100|2012-11-29|power|3|{"tagClass": "Song", "country": "China"}|0.19637703895568848
Umbra|100|2012-11-29|power|3|{"tagClass": "President", "country": "India"}|0.183363676071167
Umbra|100|2012-11-29|power|3|{"tagClass": "Saint", "country": "India"}|0.17427802085876465
Umbra|100|2012-11-29|power|3|{"tagClass": "Philosopher", "country": "China"}|0.16712474822998047
Umbra|100|2012-11-29|power|3|{"tagClass": "Monarch", "country": "China"}|0.16509222984313965
Umbra|100|2012-11-29|power|3|{"tagClass": "TennisPlayer", "country": "India"}|0.16777420043945312
Umbra|100|2012-11-29|power|3|{"tagClass": "Thing", "country": "China"}|0.15523862838745117
Umbra|100|2012-11-29|power|3|{"tagClass": "Scientist", "country": "India"}|0.15558528900146484
Umbra|100|2012-11-29|power|3|{"tagClass": "Artist", "country": "China"}|0.15496015548706055
Umbra|100|2012-11-29|power|3|{"tagClass": "BaseballPlayer", "country": "China"}|0.14927268028259277
Umbra|100|2012-11-29|power|3|{"tagClass": "ChristianBishop", "country": "China"}|0.16272783279418945
Umbra|100|2012-11-29|power|3|{"tagClass": "MilitaryPerson", "country": "India"}|0.16923022270202637
Umbra|100|2012-11-29|power|3|{"tagClass": "Comedian", "country": "China"}|0.14933204650878906
Umbra|100|2012-11-29|power|3|{"tagClass": "FictionalCharacter", "country": "India"}|0.15170598030090332
Umbra|100|2012-11-29|power|3|{"tagClass": "PrimeMinister", "country": "China"}|0.16362571716308594
Umbra|100|2012-11-29|power|3|{"tagClass": "ComicsCreator", "country": "India"}|0.1497058868408203
Umbra|100|2012-11-29|power|3|{"tagClass": "Cricketer", "country": "China"}|0.14982938766479492
Umbra|100|2012-11-29|power|3|{"tagClass": "ComicsCharacter", "country": "China"}|0.14971089363098145
Umbra|100|2012-11-29|power|3|{"tagClass": "Actor", "country": "China"}|0.15144562721252441
Umbra|100|2012-11-29|power|3|{"tagClass": "Senator", "country": "India"}|0.15906262397766113
Umbra|100|2012-11-29|power|3|{"tagClass": "SoccerPlayer", "country": "China"}|0.1514415740966797
Umbra|100|2012-11-29|power|3|{"tagClass": "Politician", "country": "India"}|0.1698760986328125
Umbra|100|2012-11-29|power|3|{"tagClass": "IceHockeyPlayer", "country": "India"}|0.15062618255615234
Umbra|100|2012-11-29|power|3|{"tagClass": "Governor", "country": "India"}|0.15102148056030273
Umbra|100|2012-11-29|power|3|{"tagClass": "Architect", "country": "China"}|0.15354704856872559
Umbra|100|2012-11-29|power|3|{"tagClass": "Company", "country": "India"}|0.16050338745117188
Umbra|100|2012-11-29|power|3|{"tagClass": "EurovisionSongContestEntry", "country": "India"}|0.14644527435302734
Umbra|100|2012-11-29|power|3|{"tagClass": "Boxer", "country": "China"}|0.1468813419342041
Umbra|100|2012-11-29|power|3|{"tagClass": "Athlete", "country": "India"}|0.14774847030639648
Umbra|100|2012-11-29|power|3|{"tagClass": "FormulaOneRacer", "country": "India"}|0.1490786075592041
Umbra|100|2012-11-29|power|4|{"date": "2010-01-07"}|0.06547069549560547
Umbra|100|2012-11-29|power|4|{"date": "2010-01-10"}|0.06455206871032715
Umbra|100|2012-11-29|power|4|{"date": "2010-01-26"}|0.0662987232208252
Umbra|100|2012-11-29|power|4|{"date": "2010-01-11"}|0.06487584114074707
Umbra|100|2012-11-29|power|4|{"date": "2010-02-06"}|0.067596435546875
Umbra|100|2012-11-29|power|4|{"date": "2010-01-24"}|0.06644964218139648
Umbra|100|2012-11-29|power|4|{"date": "2010-01-03"}|0.06788134574890137
Umbra|100|2012-11-29|power|4|{"date": "2010-02-08"}|0.06498384475708008
Umbra|100|2012-11-29|power|4|{"date": "2010-01-15"}|0.06612205505371094
Umbra|100|2012-11-29|power|4|{"date": "2010-01-31"}|0.06449246406555176
Umbra|100|2012-11-29|power|4|{"date": "2010-02-04"}|0.07789278030395508
Umbra|100|2012-11-29|power|4|{"date": "2010-01-01"}|0.06495380401611328
Umbra|100|2012-11-29|power|4|{"date": "2010-01-05"}|0.0658257007598877
Umbra|100|2012-11-29|power|4|{"date": "2010-01-04"}|0.06613826751708984
Umbra|100|2012-11-29|power|4|{"date": "2010-01-16"}|0.06484723091125488
Umbra|100|2012-11-29|power|4|{"date": "2010-01-18"}|0.06449151039123535
Umbra|100|2012-11-29|power|4|{"date": "2010-01-25"}|0.06583547592163086
Umbra|100|2012-11-29|power|4|{"date": "2010-01-19"}|0.0648198127746582
Umbra|100|2012-11-29|power|4|{"date": "2010-01-29"}|0.0664072036743164
Umbra|100|2012-11-29|power|4|{"date": "2010-01-22"}|0.0643925666809082
Umbra|100|2012-11-29|power|4|{"date": "2010-01-14"}|0.06675148010253906
Umbra|100|2012-11-29|power|4|{"date": "2010-01-28"}|0.0647127628326416
Umbra|100|2012-11-29|power|4|{"date": "2010-01-30"}|0.0669395923614502
Umbra|100|2012-11-29|power|4|{"date": "2010-01-17"}|0.0655052661895752
Umbra|100|2012-11-29|power|4|{"date": "2010-02-09"}|0.06680512428283691
Umbra|100|2012-11-29|power|4|{"date": "2010-01-21"}|0.06589031219482422
Umbra|100|2012-11-29|power|4|{"date": "2010-02-02"}|0.06562495231628418
Umbra|100|2012-11-29|power|4|{"date": "2010-01-12"}|0.06475496292114258
Umbra|100|2012-11-29|power|4|{"date": "2010-02-01"}|0.06460070610046387
Umbra|100|2012-11-29|power|4|{"date": "2010-01-23"}|0.06549310684204102
Umbra|100|2012-11-29|power|5|{"tag": "Republic_of_New_Granada"}|0.0876626968383789
Umbra|100|2012-11-29|power|5|{"tag": "Party_in_the_U.S.A."}|0.08887124061584473
Umbra|100|2012-11-29|power|5|{"tag": "Rivers_of_Babylon"}|0.09019899368286133
Umbra|100|2012-11-29|power|5|{"tag": "Hot_n_Cold"}|0.09461212158203125
Umbra|100|2012-11-29|power|5|{"tag": "Fresh_Cream"}|0.09483933448791504
Umbra|100|2012-11-29|power|5|{"tag": "Under_Cover"}|0.09639096260070801
Umbra|100|2012-11-29|power|5|{"tag": "David_Ortiz"}|0.08587050437927246
Umbra|100|2012-11-29|power|5|{"tag": "Liao_Dynasty"}|0.08612751960754395
Umbra|100|2012-11-29|power|5|{"tag": "Seven_Nation_Army"}|0.08235883712768555
Umbra|100|2012-11-29|power|5|{"tag": "Islands_in_the_Stream"}|0.09528565406799316
Umbra|100|2012-11-29|power|5|{"tag": "Kadamba_Dynasty"}|0.08429098129272461
Umbra|100|2012-11-29|power|5|{"tag": "Trilogy:_Past_Present_Future"}|0.0880594253540039
Umbra|100|2012-11-29|power|5|{"tag": "Funkytown"}|0.09642410278320312
Umbra|100|2012-11-29|power|5|{"tag": "Their_Satanic_Majesties_Request"}|0.08055877685546875
Umbra|100|2012-11-29|power|5|{"tag": "Chattanooga_Choo_Choo"}|0.09810471534729004
Umbra|100|2012-11-29|power|5|{"tag": "Me_and_Bobby_McGee"}|0.100067138671875
Umbra|100|2012-11-29|power|5|{"tag": "Some_Enchanted_Evening"}|0.08358359336853027
Umbra|100|2012-11-29|power|5|{"tag": "West_End_Girls"}|0.08281135559082031
Umbra|100|2012-11-29|power|5|{"tag": "Sticky_Fingers"}|0.08610105514526367
Umbra|100|2012-11-29|power|5|{"tag": "Wheels_of_Fire"}|0.08260440826416016
Umbra|100|2012-11-29|power|5|{"tag": "Crocodile_Rock"}|0.08749628067016602
Umbra|100|2012-11-29|power|5|{"tag": "The_Lamb_Lies_Down_on_Broadway"}|0.08701801300048828
Umbra|100|2012-11-29|power|5|{"tag": "Kingdom_of_Westphalia"}|0.08797216415405273
Umbra|100|2012-11-29|power|5|{"tag": "Punk_in_Drublic"}|0.09466123580932617
Umbra|100|2012-11-29|power|5|{"tag": "Viva_Hate"}|0.08290672302246094
Umbra|100|2012-11-29|power|5|{"tag": "Streets_of_Philadelphia"}|0.0836334228515625
Umbra|100|2012-11-29|power|5|{"tag": "Upside_Down"}|0.09654688835144043
Umbra|100|2012-11-29|power|5|{"tag": "Illmatic"}|0.08420372009277344
Umbra|100|2012-11-29|power|5|{"tag": "Two_Tribes"}|0.10084724426269531
Umbra|100|2012-11-29|power|5|{"tag": "Emilio_Aguinaldo"}|0.08353900909423828
Umbra|100|2012-11-29|power|6|{"tag": "All_by_Myself"}|0.06312370300292969
Umbra|100|2012-11-29|power|6|{"tag": "Sikh_Empire"}|0.0694270133972168
Umbra|100|2012-11-29|power|6|{"tag": "Lee_Hyung-taik"}|0.07108521461486816
Umbra|100|2012-11-29|power|6|{"tag": "German_colonial_empire"}|0.06218695640563965
Umbra|100|2012-11-29|power|6|{"tag": "French_Union"}|0.07366704940795898
Umbra|100|2012-11-29|power|6|{"tag": "Hohenzollern-Sigmaringen"}|0.07218766212463379
Umbra|100|2012-11-29|power|6|{"tag": "Principality_of_Antioch"}|0.06207394599914551
Umbra|100|2012-11-29|power|6|{"tag": "Lady_Marmalade"}|0.07838702201843262
Umbra|100|2012-11-29|power|6|{"tag": "Sweetheart_of_the_Rodeo"}|0.06060028076171875
Umbra|100|2012-11-29|power|6|{"tag": "Seventeen_Provinces"}|0.06879663467407227
