dbsystem,tps,submission_date
SunjeSoft Goldilocks v3.1 Standard Edition,50768.0,2024-02-26
IBM DB2 11.5.8 Advanced Edition,279185.0,2023-10-02
SunjeSoft Goldilocks v3.1 Standard Edition,507802.0,2022-09-07
SunjeSoft Goldilocks v3.1 Standard Edition,190443.0,2022-06-30
SunjeSoft Goldilocks v3.1 Standard Edition,101550.0,2021-12-20
SunjeSoft Goldilocks v3.1 Standard Edition,144714.0,2021-09-29
Tencent TDSQL v10.3  Enterprise Pro Edition with  Partitioning and Physical  Replication,814854791.0,2023-03-24
Microsoft SQL Server 2000 Enterprise Edition SP3,66543.0,2006-01-12
"OceanBase v2.2 Enterprise Edition with Partitioning, Horizontal Scalability and Advanced Compression",707351007.0,2020-05-19
"OceanBase v2.2 Enterprise Edition with Partitioning, Horizontal Scalability and Advanced Compression",60880800.0,2019-10-01
IBM DB2 9.5,6085166.0,2008-06-15
IBM DB2 9.5 Enterprise Edition,629159.0,2008-06-11
IBM DB2 9.1,1616162.0,2007-12-17
Oracle Database 10g Enterprise Edition,404462.0,2007-12-17
Microsoft SQL Server 2000 Enterprise Edition 64bit,175366.24,2004-06-30
Oracle Database 9i R2 Enterprise Edition,403255.46,2002-06-03
Oracle Database 9i Enterprise Edition v.9i.0.1,105025.02,2001-09-26
Oracle Database 9i Enterprise Edition v.9i.0.1,57346.93,2001-07-03
Oracle 8i Enterprise Edition v. 8.1.7,66750.27,2001-05-28
Oracle 8i Enterprise Edition v. 8.1.7,220807.27,2001-05-28
Oracle Database 11g Standard Edition One,1609186.39,2012-09-26
Oracle Database 11g Release 2 Standard Ed One,1053100.32,2011-12-08
Oracle Database 11g Standard Edition One,239392.0,2009-11-18
Oracle Database 11g Standard Edition One,104492.0,2009-02-20
Oracle Database 11g Standard Edition One,97083.0,2008-06-16
Microsoft SQL Server 2005 Enterprise Edition x64 SP2,126371.0,2007-06-08
Microsoft SQL Server 2005 Standard Edition,69564.0,2007-03-09
Microsoft SQL Server 2005 Standard Edition,65833.0,2006-06-30
Microsoft SQL Server 2005 Workgroup Edition,28244.0,2006-02-09
Microsoft SQL Server 2005 Standard Edition x64,38622.0,2005-09-26
Microsoft SQL Server 2000 Enterprise Edition SP3,63646.0,2005-05-10
Microsoft SQL Server 2000 Workgroup Edition,28122.0,2005-02-24
Microsoft SQL Server 2000 Enterprise Edition,26410.0,2004-12-10
Microsoft SQL Server 2000 Enterprise Edition SP3,94172.0,2004-05-27
Microsoft SQL Server 2000 Enterprise Edition,32185.33,2004-02-23
Microsoft SQL Server 2000 Standard Edition,22052.0,2004-02-18
Microsoft SQL Server 2000 Standard Edition,22052.81,2004-02-18
Microsoft SQL Server 2000 Standard Edition,20108.79,2003-07-14
Microsoft SQL Server 2000 Enterprise Edition SP3,84595.22,2003-06-30
Microsoft SQL Server 2000 Enterprise Edition SP3,78116.87,2003-04-21
Microsoft SQL Server 2000 Enterprise Edition SP3,71313.19,2003-01-06
Microsoft SQL Server 2000 Enterprise Edition SP3,71586.49,2003-01-06
Microsoft SQL Server 2000 Enterprise Edition,51069.87,2002-10-30
Microsoft SQL Server 2000 Enterprise Edition,16756.52,2002-09-11
Microsoft SQL Server 2000 Standard Edition,12579.04,2002-06-26
Microsoft SQL Server 2000 Enterprise Edition,34819.03,2002-06-01
Microsoft SQL Server 2000 Enterprise Edition,34914.92,2002-06-01
Microsoft SQL Server 2000 Standard Edition,11537.02,2002-03-12
Microsoft SQL Server 2000 Standard Edition,11537.02,2002-03-12
Microsoft SQL Server 2000 Enterprise Edition,29860.12,2002-02-08
Microsoft SQL Server 2000 Standard Edition,11314.11,2001-12-14
Microsoft SQL Server 2000 Standard Edition,11320.02,2001-10-31
Microsoft SQL Server 2000 Enterprise Edition,69901.74,2001-08-22
Microsoft SQL Server 2000,57014.93,2001-04-02
Microsoft SQL Server 2000,16262.9,2001-03-30
Microsoft SQL Server 2000,30231.37,2001-03-19
Microsoft SQL Server 2000,20320.7,2001-03-19
Microsoft SQL Server 2000,24925.43,2001-03-19
Microsoft SQL Server 2000,24925.43,2001-03-19
Microsoft SQL Server 2000,20331.91,2001-03-19
Microsoft SQL Server 2000,30231.37,2001-03-19
Oracle Database 10g R2 Enterprise Edition w/Partitioning,2382032.0,2008-12-04
Oracle Database 10g R2 Enterprise Edition,1354086.0,2008-11-22
Oracle Database 10g R2 Enterprise Edition w/Partitioning,2196268.0,2007-10-30
Oracle Database 10g Enterprise Edition,1238579.0,2006-11-30
Oracle Database 10g Enterprise Edition,792101.96,2006-04-26
Oracle Database 10g Enterprise Edition,595702.31,2003-10-31
Microsoft SQL Server 2000 Enterprise Edition SP3,68264.47,2003-01-22
Microsoft SQL Server 2000 Enterprise Edition SP3,84598.42,2003-01-22
Microsoft SQL Server 2000 Enterprise Edition SP2,33768.41,2002-07-26
Microsoft SQL Server 2000 Enterprise Edition,48906.18,2002-05-24
Fujitsu SymfoWARE Server Enterp. Ed. VLM 3.0,455818.2,2001-08-28
Fujitsu SymfoWARE Server Enterp. Ed. VLM 3.0,222772.33,2001-04-13
Microsoft SQL Server 2000 Enterprise Edition SP4,188761.0,2005-10-28
Microsoft SQL Server 2000 Enterprise Edition SP3,53691.33,2003-08-11
