channel|i_brand_id|i_class_id|i_category_id|sum_sales|number_sales
store|4001001|13|6|52.09|6
store|9013010|4|9|61.84|3
store|5002001|1|9|82.77|6
store|6003008|12|6|120.73|7
store|9004003|11|7|124.95|10
store|7009005|9|1|137.12|5
store|7003007|3|8|140.73|6
store|7013003|13|5|144.21|8
store|10007014|2|5|152.08|8
store|8002009|16|10|152.29|9
store|6010007|10|1|152.31|7
store|6008008|10|6|152.53|6
store|10003015|3|8|156.77|5
store|2004002|8|2|156.97|8
store|9009003|9|5|159.02|3
store|2004001|2|2|159.38|8
store|5001001|4|5|160.30|8
store|10013010|5|6|161.05|6
store|10005008|5|10|166.90|5
store|2002001|4|1|168.44|6
store|6008004|2|6|173.99|9
store|7009005|9|3|175.78|4
store|7011006|1|7|180.27|4
store|9015009|12|10|182.60|7
store|8014009|3|4|182.73|7
store|10016001|16|10|184.04|9
store|6011004|1|6|184.07|6
store|8010009|5|9|186.79|7
store|10007011|7|10|186.83|8
store|4002001|9|9|187.33|8
store|10008017|8|1|187.76|7
store|10007014|7|5|190.49|8
store|6012003|10|9|192.40|6
store|6003001|14|6|193.56|9
store|8013007|13|6|195.09|10
store|10005012|15|9|197.07|6
store|5002001|16|7|198.03|6
store|6007008|2|6|203.17|9
store|10015013|15|6|205.81|7
store|10012005|1|10|205.95|9
store|6016005|4|2|207.67|8
store|9006012|5|9|209.48|8
store|3003002|7|3|211.41|7
store|2004001|2|5|212.43|10
store|9003010|2|9|213.20|10
store|4004001|2|2|213.51|8
store|9009003|1|5|213.84|9
store|7014001|8|9|214.70|8
store|10009008|9|3|215.21|6
store|3002001|8|10|215.70|6
store|10014015|10|10|219.36|12
store|7010005|10|3|225.85|8
store|9009006|8|9|226.58|9
store|10005007|4|10|226.77|6
store|6001001|6|7|227.11|10
store|7008010|1|7|227.91|10
store|7002001|2|3|229.53|6
store|6011003|14|7|231.52|11
store|8004003|4|2|232.36|9
store|5004001|7|6|232.65|10
store|7001001|6|9|236.86|8
store|10001002|1|7|237.42|7
store|8016001|16|2|238.87|6
store|3002002|7|3|239.07|8
store|10010006|10|10|239.94|7
store|4003001|9|9|243.84|9
store|2003001|2|8|244.52|10
store|8003003|8|7|247.64|5
store|6009001|9|3|248.66|9
store|5002001|4|3|249.35|8
store|10014011|15|6|249.68|7
store|3002001|12|8|251.48|7
store|6011003|7|6|252.75|6
store|8005009|5|7|253.11|14
store|2004001|15|10|254.66|10
store|9002009|2|4|255.17|8
store|8003007|3|1|256.66|9
store|7006005|6|10|257.83|6
store|10007017|4|4|259.11|7
store|7011005|1|1|261.04|5
store|6015006|14|6|262.87|9
store|1004001|3|5|262.93|8
store|6001006|3|6|263.81|10
store|9010005|1|6|264.01|11
store|10008014|2|5|264.31|8
store|5001001|3|7|269.34|9
store|7008001|3|3|270.42|9
store|6012001|2|4|271.52|10
store|7013001|13|9|272.41|11
store|10008014|6|10|272.82|10
store|7004007|4|10|272.92|6
store|1003001|7|10|273.97|6
store|9005009|8|7|274.22|10
store|7004007|6|6|274.80|9
store|8001010|3|8|275.17|13
store|7009008|7|7|275.56|11
store|8001006|8|8|275.88|8
store|1003001|12|8|276.34|10
store|8010009|1|4|278.85|11
store|7013004|11|7|281.96|9
store|9004003|4|3|281.96|11
store|10015005|6|8|282.54|9
store|7012001|12|6|283.30|6
store|8003009|4|1|283.59|6
store|9006006|1|9|283.80|10
store|3003001|11|8|288.18|10
store|6009008|11|6|288.69|13
store|10011008|11|10|289.25|10
store|7011010|1|7|290.56|8
store|6006008|12|6|290.81|11
store|10004013|8|10|291.29|10
store|9013012|4|9|292.28|6
store|3001002|7|3|293.26|7
store|7005007|5|1|295.15|8
store|9009009|5|10|297.05|8
store|9006012|6|9|297.08|10
store|8007010|8|8|300.15|10
store|10012014|3|10|302.08|13
store|3001001|3|9|305.17|10
store|7010001|4|5|305.46|11
store|7004005|1|2|305.55|10
store|9013012|13|9|305.84|7
store|10007013|7|4|306.43|15
store|7004009|1|3|306.98|10
store|6014001|2|10|307.45|9
store|9010004|3|9|308.54|9
store|8003003|1|1|310.77|11
store|7013009|13|2|312.91|8
store|6007005|2|4|314.44|12
store|1003002|13|1|315.14|8
store|7002005|2|1|317.86|10
store|7004003|3|5|318.33|13
store|9008003|14|6|320.45|10
store|8006002|1|8|321.02|14
store|10013006|4|10|323.36|6
store|2003002|10|2|325.14|9
store|6008001|8|7|327.09|7
store|10006004|2|8|327.14|10
store|6005001|5|9|331.56|13
store|6007006|3|6|331.84|8
store|7013010|3|7|332.37|10
store|8001008|2|8|332.80|9
store|5001002|13|5|335.60|11
store|7006001|1|4|337.36|11
store|8015006|3|8|337.51|9
store|8005001|5|4|337.56|12
store|2004001|8|7|337.75|13
store|8007008|8|8|337.97|9
store|4002001|1|9|338.29|8
store|8005003|3|5|338.74|10
store|1001001|8|10|339.18|14
store|8003006|1|8|339.26|9
store|10006003|6|10|340.45|9
store|10015007|3|10|340.77|9
store|8011005|2|4|341.70|8
store|10009017|9|6|341.91|12
store|2004001|2|9|342.22|10
store|5002001|13|7|342.57|12
store|6016007|16|6|343.72|8
store|6014007|3|1|344.39|9
store|2004002|10|2|346.60|10
store|1003002|12|1|349.69|13
store|9016003|16|2|351.47|11
store|6002001|8|10|351.50|11
store|2002001|4|3|351.73|8
store|10013010|2|10|353.54|11
store|10012011|12|3|353.72|12
store|3001002|6|3|353.98|14
store|7016006|4|7|355.48|12
store|7009007|15|6|357.52|10
store|9004011|4|2|358.65|9
store|9004010|12|9|359.45|10
store|10005003|5|10|359.95|7
store|6005003|9|10|362.67|11
store|1003001|4|8|362.70|9
store|10005008|2|4|362.90|10
store|7007005|7|8|364.46|11
store|6009001|2|5|364.85|9
store|9008006|5|9|365.38|10
store|8001002|4|8|366.50|11
store|10016012|7|10|367.66|11
store|10007006|2|10|368.96|10
store|10012015|4|9|369.17|7
store|8015003|3|3|369.46|11
store|9013012|7|9|370.28|12
store|8002007|2|5|371.15|11
store|5004001|10|6|371.87|12
store|8002001|13|9|372.07|6
store|3001001|15|9|374.34|11
store|7004003|2|3|376.66|8
store|3001001|3|10|376.89|8
store|9011005|3|3|377.19|13
store|9001005|1|2|378.02|13
store|10011017|1|10|379.14|11
store|1004002|14|1|380.75|9
store|8006001|6|5|380.86|12
store|5003001|1|1|381.45|11
store|10015013|1|4|381.69|10
store|8004010|3|8|382.69|10
store|10008016|8|10|383.29|10
store|4002001|14|10|384.90|9
store|8008009|8|3|386.52|5
store|6012003|9|8|387.86|9
store|9013004|2|9|388.88|8
store|7015008|3|7|389.06|12
store|8012007|12|8|390.57|11
store|1004001|14|9|392.87|11
store|8010006|9|8|396.77|7
store|6005006|4|6|397.69|16
store|2002001|9|7|399.29|10
store|6014003|2|6|400.15|15
store|10013017|11|10|400.30|7
store|3002002|11|3|400.47|15
store|5003001|14|10|401.20|9
store|4001001|3|10|403.58|9
store|8010003|4|5|403.74|13
store|7003010|13|7|404.86|10
store|6008005|1|2|407.50|8
store|9008010|2|9|410.45|13
store|10013010|13|10|411.55|11
store|1001001|9|6|413.15|12
store|6007007|11|7|413.18|11
store|1004001|1|4|414.02|11
store|6008004|1|6|414.12|9
store|4002001|5|7|415.80|8
store|9016012|2|9|415.86|8
store|8014006|3|8|416.15|13
store|6005007|7|9|416.36|12
store|10013007|13|9|417.24|7
store|6002001|2|1|417.42|12
store|8007009|1|3|417.62|11
store|3002001|4|1|418.41|8
store|6006005|3|4|420.81|6
store|7014009|14|1|420.97|10
store|6005001|5|2|422.11|14
store|8003008|6|8|422.19|9
store|1001001|3|4|423.00|16
store|8016001|10|7|423.04|15
store|8003005|3|3|425.68|13
store|7012009|12|1|428.12|7
store|2004001|1|3|428.87|10
store|9006010|3|9|430.33|12
store|10015015|15|4|430.36|12
store|2001001|3|10|432.46|12
store|9010009|3|2|433.16|14
store|4002002|16|4|435.41|9
store|2001001|6|10|436.24|15
store|10011011|15|10|437.24|15
store|10005007|5|10|437.26|11
store|4004002|16|4|438.24|9
store|6012006|2|6|439.47|12
store|8010007|3|4|440.90|15
store|10009002|9|10|445.64|15
store|6002004|8|6|445.87|13
store|10011001|1|3|449.62|11
store|10002004|2|10|449.92|11
store|10012012|14|7|450.79|11
store|6010005|13|6|451.11|15
store|7016010|3|7|451.34|9
store|9005003|15|9|451.91|11
store|9010003|10|9|452.68|12
store|10006015|4|10|455.60|12
store|7007004|3|7|455.84|8
store|2003001|4|4|458.74|15
store|8014002|2|8|459.35|13
store|9002005|3|10|463.53|15
store|7010007|10|2|463.58|13
store|10013001|13|10|464.45|10
store|10014006|14|1|466.64|13
store|9006006|3|9|466.93|12
store|7005006|3|7|467.80|13
store|10013001|2|5|468.02|14
store|6012002|7|6|468.40|9
store|8005004|4|8|470.07|13
store|9007006|14|9|471.90|11
store|6009001|9|7|472.86|12
store|6010005|8|10|473.04|12
store|7012005|11|8|473.30|14
store|10011014|12|10|474.19|10
store|4004001|3|1|477.72|7
store|10012015|12|10|478.33|12
store|10005010|1|10|479.86|11
store|2003001|3|9|480.69|13
store|10014004|14|9|480.69|11
store|10008011|8|2|483.29|12
store|7014010|2|7|484.23|17
store|9012011|2|4|486.16|9
store|2002001|4|2|486.75|15
store|7014004|7|7|488.74|11
store|6012006|16|6|488.82|11
store|9007011|2|4|489.30|10
store|6009001|9|6|490.66|11
store|3003001|2|9|493.02|11
store|1003002|9|1|493.14|21
store|9014006|10|9|495.21|13
store|8010003|11|7|496.67|12
store|10001014|1|10|497.66|12
store|10015006|15|10|497.66|12
store|2001001|3|2|500.82|11
store|2001001|1|1|501.39|13
store|10002017|3|10|501.55|16
store|6006008|2|6|502.27|11
store|10014010|1|10|502.76|12
store|6006007|1|2|505.39|12
store|10001017|3|10|511.53|8
store|9001011|5|7|512.22|12
store|8011009|11|5|512.58|15
store|10001005|3|1|512.60|10
store|10011006|3|8|517.67|11
store|6009007|9|5|522.43|14
store|10008006|1|1|526.04|15
store|6007004|10|6|526.85|10
store|8011007|3|1|526.92|11
store|7008005|8|6|535.22|12
store|6006007|6|9|535.54|14
store|7005003|4|3|535.87|15
store|6012007|12|7|536.87|15
store|5001001|6|9|537.77|13
store|4003001|1|4|538.31|15
store|10001004|4|10|542.05|16
store|8005005|3|8|542.17|13
store|7016009|16|4|544.14|7
store|8004007|4|10|546.36|13
store|3003001|1|3|548.35|9
store|2004001|2|3|550.51|12
store|1002002|10|1|552.11|14
store|7008010|14|7|555.70|11
store|1001001|6|9|559.71|12
store|7014005|3|9|562.10|12
store|6016003|16|4|562.66|12
store|6005001|3|5|563.20|14
store|5002001|3|1|563.78|13
store|7015002|9|7|567.38|15
store|5004001|1|3|567.70|13
store|10012007|12|6|570.55|10
store|10008007|9|10|570.74|15
store|10011005|6|9|574.08|13
store|10011005|1|4|575.77|12
store|7008005|8|2|576.12|10
store|10016009|16|10|577.48|18
store|10003017|3|10|578.19|15
store|10005012|5|10|578.76|14
store|7001005|1|2|579.45|13
store|10013015|3|6|579.95|18
store|1001001|4|2|581.02|17
store|6011002|4|6|581.16|10
store|7016007|16|5|583.29|12
store|6008008|3|6|583.86|13
store|6002003|4|4|585.26|13
store|2004001|6|9|585.84|14
store|8014003|14|6|586.89|15
store|10013013|13|10|587.80|14
store|4001002|11|4|588.50|20
store|7014007|6|6|588.89|15
store|9012012|15|9|591.02|17
store|6009008|4|6|592.56|19
store|7015003|15|9|592.79|20
store|7004005|3|1|594.73|15
store|2003001|5|9|596.27|13
store|6006003|6|5|599.61|11
store|9005009|5|3|600.59|13
store|9001005|1|10|602.16|21
store|7005005|5|8|602.21|11
store|10015012|15|1|606.58|12
store|7014007|2|2|611.39|14
store|10001008|1|10|612.72|13
store|3004002|11|3|613.51|15
store|8012005|15|10|613.71|13
store|5002001|3|3|614.01|12
store|8015006|15|8|615.09|21
store|6015003|15|9|620.85|14
store|1003001|4|4|621.91|17
store|6013005|13|3|622.11|14
store|9001003|1|2|623.25|15
store|6002004|11|6|625.22|14
store|10012007|12|3|626.11|15
store|5003001|9|7|626.28|15
store|6011004|7|6|627.39|15
store|8002001|2|1|629.98|14
store|8015005|11|9|632.37|15
store|9007011|4|2|634.46|14
store|8007006|11|8|639.05|14
store|8002010|9|8|639.93|21
store|6012004|3|6|640.03|23
store|10010009|10|10|646.90|16
store|10004017|4|6|647.86|14
store|6004005|4|5|649.01|15
store|10007001|1|9|660.07|13
store|1001002|12|1|661.49|15
store|8009007|2|4|662.23|16
store|3001001|3|4|662.24|18
store|9014003|14|5|668.41|20
store|9007003|14|9|668.72|16
store|5003001|1|5|670.44|22
store|1002001|4|3|673.14|19
store|2002002|13|2|676.46|27
store|10012002|12|10|676.56|19
store|3001002|13|3|686.50|14
store|3001001|2|3|687.24|22
store|1001001|3|3|687.56|15
store|8012002|1|8|688.99|16
store|6012007|14|6|690.76|17
store|8002009|10|7|690.95|17
store|7013004|3|7|691.72|17
store|8003001|4|5|693.82|12
store|8012005|9|6|703.06|10
store|10003014|4|10|704.99|14
store|8015003|15|10|705.25|18
store|8002005|2|1|706.84|21
store|8001009|2|1|707.71|20
store|4001001|4|1|709.30|20
store|1001001|11|9|713.38|25
store|10012011|2|6|715.41|15
store|10015013|13|10|716.72|16
store|7005003|5|1|717.47|21
store|5001001|2|1|730.99|22
store|8002004|7|8|731.25|18
store|3004001|1|9|732.76|22
store|10007013|7|10|738.80|20
store|9016012|16|9|739.89|28
store|6010002|3|6|746.40|15
store|9014009|2|2|752.70|15
store|9002009|15|8|766.41|18
store|1001001|15|10|769.29|25
store|6003002|16|6|769.79|14
store|8006002|2|8|771.95|23
store|9001011|1|6|774.67|13
store|6003001|3|1|776.41|21
store|6005004|2|6|790.03|22
store|8005009|16|7|792.55|19
store|7016003|13|6|793.88|22
store|1002001|1|1|798.26|24
store|9013005|13|7|799.38|18
store|5003001|4|1|799.40|20
store|2003001|1|4|801.71|15
store|7011007|1|3|801.77|18
store|6001002|2|6|808.43|25
store|4002001|5|6|814.19|22
store|10012007|12|10|817.60|17
store|1002001|4|1|820.41|27
store|3002001|8|9|823.32|15
store|8011002|2|8|830.14|25
store|3002001|11|10|835.02|21
store|1003002|14|1|840.23|19
store|10006002|6|10|851.51|21
store|8014006|14|8|853.23|28
store|10002016|2|10|855.46|25
store|9003003|13|7|858.70|18
store|10009001|9|10|858.74|17
store|2004001|1|1|859.95|26
store|10007002|7|10|881.02|29
store|5003001|3|10|894.96|27
store|2004001|1|5|900.03|24
store|10004007|4|10|900.82|19
store|10005010|5|10|910.73|13
store|4004001|2|4|929.48|26
store|10002014|2|10|944.47|27
store|7003008|15|7|949.98|29
store|4002001|3|4|952.84|31
store|5001001|2|2|954.94|36
store|1004001|4|2|955.94|29
store|9013005|9|8|982.55|18
store|3003001|2|3|992.94|23
store|10005004|5|10|1000.47|22
store|10011002|11|10|1001.48|29
store|10016010|16|10|1008.99|36
store|3001001|13|10|1019.44|26
store|10008013|8|10|1022.70|25
store|10005016|5|10|1024.32|23
store|10009008|9|10|1027.32|30
store|10011012|11|10|1028.78|27
store|8007006|7|8|1034.99|28
store|5001001|1|9|1049.63|22
store|6010005|10|5|1056.72|27
store|9006004|9|9|1064.93|27
store|4001001|2|1|1070.46|26
store|2003001|2|1|1072.64|19
store|10011016|11|10|1073.80|33
store|9009004|9|9|1092.40|28
store|3001001|3|2|1116.72|29
store|10005001|5|10|1119.48|31
store|10015004|15|10|1122.18|25
store|1001001|1|1|1124.04|26
store|4002001|2|4|1137.64|27
store|2004002|16|2|1154.12|28
store|2002001|2|3|1166.26|29
store|6010008|10|6|1174.72|26
store|10013008|13|10|1196.39|33
store|6005004|5|6|1199.84|28
store|10011001|11|10|1210.49|36
store|4001002|3|4|1222.82|29
store|5004002|6|5|1236.06|34
store|10003015|3|10|1237.26|28
store|2001001|1|8|1241.41|45
store|10006011|6|10|1248.53|38
store|5004002|10|5|1256.11|40
store|2003001|2|4|1260.22|16
store|10011010|11|10|1271.63|32
store|10003001|3|10|1290.02|32
store|10014017|14|10|1299.85|34
store|10005017|5|10|1325.97|32
store|5001001|1|3|1328.76|44
store|10015001|15|10|1329.22|28
store|8001009|1|3|1329.34|28
store|7010010|10|7|1331.14|34
store|9016006|16|9|1343.82|37
store|10006008|6|10|1350.57|34
store|1002002|4|1|1359.14|43
store|1001002|4|1|1363.64|40
store|8011004|11|8|1370.86|30
store|10003014|3|10|1377.88|35
store|3004002|16|3|1378.52|33
store|5003001|2|4|1383.24|25
store|6001006|1|6|1388.32|45
store|5004001|4|7|1388.35|44
store|5001002|2|5|1397.33|40
store|6006004|6|6|1398.15|39
store|10012016|12|10|1402.94|36
store|5004002|12|5|1406.10|34
store|8002002|2|8|1413.50|38
store|5004001|4|3|1423.59|48
store|9004010|4|9|1429.83|41
store|10002003|2|10|1438.70|47
store|5001001|1|4|1452.94|39
store|5002001|2|7|1454.36|35
store|4003001|3|7|1465.58|39
store|6016008|16|6|1468.61|42
store|5003002|13|5|1473.02|39
store|5003001|3|2|1479.79|32
store|7006007|6|1|1497.45|40
store|2003002|6|2|1498.53|31
store|1002002|13|1|1517.90|48
store|10012008|12|10|1520.64|37
store|2003002|9|2|1522.14|41
store|2003001|3|2|1540.76|45
store|3002001|2|8|1540.96|44
store|5001001|4|1|1564.62|42
store|10004004|4|10|1574.76|41
store|7009008|9|7|1577.33|39
store|9015006|15|9|1581.05|33
store|10003016|3|10|1588.97|31
store|10001011|1|10|1596.86|40
store|7001002|1|7|1598.54|38
store|7004002|4|7|1604.64|42
store|8010010|10|8|1611.17|37
store|1004001|4|10|1631.85|52
store|5004001|8|8|1643.55|48
store|4002002|1|4|1651.65|36
store|8010008|10|8|1654.12|44
store|9008006|8|9|1654.30|42
store|7008008|8|7|1658.16|40
store|10006006|6|10|1664.37|36
store|8004010|4|8|1667.56|51
store|7012008|12|7|1682.83|38
store|2004001|4|4|1720.40|51
store|10003005|3|10|1726.20|42
store|8002010|2|8|1727.26|51
store|8009004|9|8|1731.14|43
store|7002004|2|7|1740.64|49
store|3001001|1|1|1741.12|47
store|8012010|12|8|1741.16|44
store|6007008|7|6|1747.58|74
store|5001001|1|10|1758.42|42
store|8015004|15|8|1774.57|54
