venueid|venuename|venuecity|venuestate|venueseats
1|Toyota Park|Bridgeview|IL|0
2|Columbus Crew Stadium|Columbus|OH|0
3|RFK Stadium|Washington|DC|0
4|CommunityAmerica Ballpark|Kansas City|KS|0
5|Gillette Stadium|Foxborough|MA|68756
6|New York Giants Stadium|East Rutherford|NJ|80242
7|BMO Field|Toronto|ON|0
8|The Home Depot Center|Carson|CA|0
9|Dick's Sporting Goods Park|Commerce City|CO|0
10|Pizza Hut Park|Frisco|TX|0
11|Robertson Stadium|Houston|TX|0
13|Rice-Eccles Stadium|Salt Lake City|UT|0
14|Buck Shaw Stadium|Santa Clara|CA|0
15|McAfee Coliseum|Oakland|CA|63026
16|TD Banknorth Garden|Boston|MA|0
17|Izod Center|East Rutherford|NJ|0
18|Madison Square Garden|New York City|NY|20000
19|Wachovia Center|Philadelphia|PA|0
20|Air Canada Centre|Toronto|ON|0
21|United Center|Chicago|IL|0
22|Quicken Loans Arena|Cleveland|OH|0
23|The Palace of Auburn Hills|Auburn Hills|MI|0
24|Conseco Fieldhouse|Indianapolis|IN|0
25|Bradley Center|Milwaukee|WI|0
26|Philips Arena|Atlanta|GA|0
27|Time Warner Cable Arena|Charlotte|NC|0
28|American Airlines Arena|Miami|FL|0
29|Amway Arena|Orlando|FL|0
30|Verizon Center|Washington|DC|0
31|Pepsi Center|Denver|CO|0
32|Target Center|Minneapolis|MN|0
33|Ford Center|Oklahoma City|OK|0
34|Rose Garden|Portland|OR|0
35|EnergySolutions Arena|Salt Lake City|UT|0
36|Oracle Arena|Oakland|CA|0
37|Staples Center|Los Angeles|CA|0
38|US Airways Center|Phoenix|AZ|0
39|ARCO Arena|Sacramento|CA|0
40|American Airlines Center|Dallas|TX|0
41|Toyota Center|Houston|TX|0
42|FedExForum|Memphis|TN|0
43|New Orleans Arena|New Orleans|LA|0
44|AT&T Center|San Antonio|TX|0
45|Prudential Center|Newark|NJ|0
46|Nassau Veterans Memorial Coliseum|Uniondale|NY|0
47|Mellon Arena|Pittsburgh|PA|0
48|HSBC Arena|Buffalo|NY|0
49|Bell Centre|Montreal|QC|0
50|Scotiabank Place|Ottawa|ON|0
52|RBC Center|Raleigh|NC|0
53|BankAtlantic Center|Sunrise|FL|0
54|St. Pete Times Forum|Tampa|FL|0
55|Nationwide Arena|Columbus|OH|0
56|Joe Louis Arena|Detroit|MI|0
57|Sommet Center|Nashville|TN|0
58|Scottrade Center|St. Louis|MO|0
59|Pengrowth Saddledome|Calgary|AB|0
60|Rexall Place|Edmonton|AB|0
