date,maximum_temperature,minimum_temperature,average_temperature,precipitation,snow_fall,snow_depth
1-1-2016,42,34,38.0,0.00,0.0,0
2-1-2016,40,32,36.0,0.00,0.0,0
3-1-2016,45,35,40.0,0.00,0.0,0
4-1-2016,36,14,25.0,0.00,0.0,0
5-1-2016,29,11,20.0,0.00,0.0,0
6-1-2016,41,25,33.0,0.00,0.0,0
7-1-2016,46,31,38.5,0.00,0.0,0
8-1-2016,46,31,38.5,0.00,0.0,0
9-1-2016,47,40,43.5,T,0.0,0
10-1-2016,59,40,49.5,1.80,0.0,0
11-1-2016,40,26,33.0,0.00,0.0,0
12-1-2016,44,25,34.5,0.00,T,0
13-1-2016,30,22,26.0,0.00,0.0,0
14-1-2016,38,22,30.0,0.00,T,0
15-1-2016,51,34,42.5,T,0.0,0
16-1-2016,52,42,47.0,0.24,0.0,0
17-1-2016,42,30,36.0,0.05,0.4,0
18-1-2016,31,18,24.5,T,T,T
19-1-2016,28,16,22.0,0.00,0.0,T
20-1-2016,37,27,32.0,0.00,0.0,T
21-1-2016,36,26,31.0,0.00,0.0,0
22-1-2016,30,21,25.5,0.01,0.2,0
23-1-2016,27,24,25.5,2.31,27.3,6
24-1-2016,35,20,27.5,T,T,22
25-1-2016,39,28,33.5,0.00,0.0,19
26-1-2016,48,38,43.0,0.00,0.0,17
27-1-2016,47,34,40.5,T,0.0,9
28-1-2016,42,32,37.0,0.00,0.0,6
29-1-2016,41,30,35.5,0.00,0.0,6
30-1-2016,39,28,33.5,0.00,0.0,6
31-1-2016,56,36,46.0,0.00,0.0,4
1-2-2016,59,44,51.5,0.01,0.0,2
2-2-2016,50,38,44.0,0.00,0.0,T
3-2-2016,59,42,50.5,0.73,0.0,0
4-2-2016,59,44,51.5,T,0.0,0
5-2-2016,44,31,37.5,0.53,2.5,1
6-2-2016,40,30,35.0,0.00,0.0,0
7-2-2016,47,33,40.0,0.00,0.0,0
8-2-2016,39,28,33.5,0.05,0.1,0
9-2-2016,36,27,31.5,0.00,T,T
10-2-2016,39,31,35.0,0.01,T,0
11-2-2016,31,18,24.5,T,T,0
12-2-2016,27,15,21.0,0.00,0.0,0
13-2-2016,22,6,14.0,0.00,0.0,0
14-2-2016,15,-1,7.0,0.00,0.0,0
15-2-2016,35,13,24.0,0.44,1.4,0
16-2-2016,54,35,44.5,1.01,0.0,0
17-2-2016,39,35,37.0,0.00,0.0,0
18-2-2016,36,27,31.5,0.00,0.0,0
19-2-2016,39,24,31.5,0.00,0.0,0
20-2-2016,61,39,50.0,0.00,0.0,0
21-2-2016,55,44,49.5,0.03,0.0,0
22-2-2016,52,38,45.0,0.00,0.0,0
23-2-2016,40,35,37.5,0.30,T,0
24-2-2016,60,36,48.0,1.22,0.0,0
25-2-2016,61,37,49.0,0.02,0.0,0
26-2-2016,39,27,33.0,0.00,0.0,0
27-2-2016,41,26,33.5,0.00,0.0,0
28-2-2016,60,38,49.0,0.00,0.0,0
29-2-2016,61,47,54.0,0.05,0.0,0
1-3-2016,52,39,45.5,0.00,0.0,0
2-3-2016,55,29,42.0,0.14,0.0,0
3-3-2016,36,26,31.0,0.00,0.0,0
4-3-2016,39,30,34.5,0.11,0.4,T
5-3-2016,41,28,34.5,0.00,0.0,0
6-3-2016,44,32,38.0,0.00,0.0,0
7-3-2016,60,36,48.0,0.00,0.0,0
8-3-2016,67,47,57.0,0.00,0.0,0
9-3-2016,77,44,60.5,0.00,0.0,0
10-3-2016,79,63,71.0,0.00,0.0,0
11-3-2016,68,48,58.0,0.06,0.0,0
12-3-2016,59,40,49.5,0.00,0.0,0
13-3-2016,62,50,56.0,T,0.0,0
14-3-2016,51,40,45.5,0.29,0.0,0
15-3-2016,57,44,50.5,0.00,0.0,0
16-3-2016,65,48,56.5,0.02,0.0,0
17-3-2016,63,45,54.0,T,0.0,0
18-3-2016,57,42,49.5,0.00,0.0,0
19-3-2016,46,36,41.0,0.00,0.0,0
20-3-2016,43,32,37.5,0.07,T,0
21-3-2016,50,32,41.0,0.06,0.5,T
22-3-2016,56,35,45.5,0.00,0.0,0
23-3-2016,71,48,59.5,0.00,0.0,0
24-3-2016,55,44,49.5,0.00,0.0,0
25-3-2016,72,44,58.0,0.04,0.0,0
26-3-2016,55,38,46.5,0.00,0.0,0
27-3-2016,55,43,49.0,0.00,0.0,0
28-3-2016,62,42,52.0,0.38,0.0,0
29-3-2016,53,40,46.5,0.00,0.0,0
30-3-2016,56,37,46.5,0.00,0.0,0
31-3-2016,73,49,61.0,0.00,0.0,0
1-4-2016,79,61,70.0,0.02,0.0,0
2-4-2016,61,49,55.0,0.16,0.0,0
3-4-2016,50,34,42.0,0.09,T,0
4-4-2016,45,29,37.0,0.47,T,0
5-4-2016,43,26,34.5,0.00,0.0,0
6-4-2016,48,30,39.0,0.00,0.0,0
7-4-2016,58,48,53.0,0.09,0.0,0
