watchid|javaenable|title|goodevent|eventtime|eventdate|counterid|clientip|regionid|userid|counterclass|os|useragent|url|referer|isrefresh|referercategoryid|refererregionid|urlcategoryid|urlregionid|resolutionwidth|resolutionheight|resolutiondepth|flashmajor|flashminor|flashminor2|netmajor|netminor|useragentmajor|useragentminor|cookieenable|javascriptenable|ismobile|mobilephone|mobilephonemodel|params|ipnetworkid|traficsourceid|searchengineid|searchphrase|advengineid|isartifical|windowclientwidth|windowclientheight|clienttimezone|clienteventtime|silverlightversion1|silverlightversion2|silverlightversion3|silverlightversion4|pagecharset|codeversion|islink|isdownload|isnotbounce|funiqid|originalurl|hid|isoldcounter|isevent|isparameter|dontcounthits|withhash|hitcolor|localeventtime|age|sex|income|interests|robotness|remoteip|windowname|openername|historylength|browserlanguage|browsercountry|socialnetwork|socialaction|httperror|sendtiming|dnstiming|connecttiming|responsestarttiming|responseendtiming|fetchtiming|socialsourcenetworkid|socialsourcepage|paramprice|paramorderid|paramcurrency|paramcurrencyid|openstatservicename|openstatcampaignid|openstatadid|openstatsourceid|utmsource|utmmedium|utmcampaign|utmcontent|utmterm|fromtag|hasgclid|refererhash|urlhash|clid
7058844743522526920|1|фильму Железобрать Opel (Опель для похудение - Яндекс.Афиша – под на MyLove DVR в Кемеров|1|2013-07-02 10:50:50|2013-07-02|4493|2023509569|30918|185119029211177167|1|2|5|http://video.yandex.php?registered/main.votpusk.ru/googlead|http://kalininga197292693749216/economy|0|780|158|783|216|1368|554|37|15|7|700|0|0|22|D�|1|1|0|0|||4102419|-1|0||0|0|1750|609|243|2013-07-02 19:50:45|0|0|0|0|windows-1251;charset|1|0|0|0|4801876188276812613||173714996|0|0|0|0|0|5|2013-07-02 13:12:49|31|1|1|13641|0|2005420505|-1|-1|-1|S0|h1|||0|0|0|0|0|0|0|0||0||NH|0|||||||||||0|-9064429112121268345|5756958054197876120|0
6466242518441466416|1|Прогноз погоды: Красноармени тролевые автомобиля на Октябрята прографий : купить|1|2013-07-02 18:12:53|2013-07-02|4590|-1544836228|14711|117478365182732313|1|44|7|http://forumdisplayer/html5/v12/?from=google=confiscategoriya|http://mysw.info/images/info/node/2262&strict=1483&ei=C0f1UYGXI1xtdSto5U3pdJgPw&bvm=bv.49478099,d.bGE&cad=rjt&fu=0&input_action/vacancies/tag/314/2/men.notik.ru/a-show|0|9374|952|14982|3|1368|554|23|15|7|800.94|0|0|12|nA|1|1|0|0|||1204640|3|4|наиболь накручитель в windows8 стену свет часток 3 смотреть беремененты|0|0|1253|927|433|2013-07-02 16:16:32|7|0|60817|0|windows-1251;charset|1|0|0|0|0||716717760|0|0|0|0|0|5|2013-07-02 02:02:07|55|1|2|0|0|-543948863|-1|-1|-1|S0|�|||0|0|0|0|0|0|0|0||0||NH|0|||||||||||0|-6957895657928461751|6519281032626428865|0
4954146668330926947|1|Женский линина, 43 кв.м, Климатинск (Россия) - Яндекс.Афиша|1|2013-07-02 20:00:32|2013-07-03|1095|-351390645|2|5026010747613529189|1|44|88|http://auto.ria.ua/auto_id=2098395,950903/google|http://romandirov.ru/yandex.kz/animals/category_id=6|0|11085|158|9416|216|1996|1781|37|15|4|202|0|0|1|D�|1|1|0|0|||2315435|-1|0||0|0|1113|672|135|2013-07-03 18:16:40|4|1|16561|0|windows-1251;charset|1|0|0|0|5691507915445861453||85906933|0|0|0|0|0|5|2013-07-03 18:12:36|50|1|3|99|0|-1860117621|-1|-1|-1|E3|_i|||0|0|0|0|0|0|0|0||0||NH|0|||||||||||0|-5227341002057045032|-6248036867388475739|0
6423052030918639028|1|Стильники - Шоубиз - Свободная комнатная Пресса - svpressa.ru, по низкая одинок|1|2013-07-02 20:01:54|2013-07-03|3922|2013169962|16|2400934177792669498|1|44|5|http://wildberries.ru/?from]=&paraty.irr.ru/embass.ru/60910/googleBR&__gclients-sale&sr=http://wildberries.ru/placetti7/|http://auto_knopka_id=1&s_yers=0&price_do=&currency=1&s_yers=2013-07-13-14-2.html|0|119|28|29|4|1638|1658|37|15|7|700|0|0|22|nA|1|1|0|0|||3453412|1|0||0|0|1509|966|135|2013-07-03 11:20:59|4|0|46077|0|windows|1|0|0|0|8075689287827418865||115121267|0|0|0|0|0|5|2013-07-03 13:35:27|0|0|0|0|0|1913624070|-1|-1|-1|S0|�|||0|0|0|0|0|0|0|0||0||NH|0|||||||||||0|2404325078032530992|8950534537132511175|0
6637859480851184913|0||1|2013-07-02 20:10:27|2013-07-03|1095|-71233112|2|1275699553621284450|1|2|3|http://bonprix.ru%252d02.adriveresult.ru/mymail.ru/search=0&user_id=0&with_exchangeType=0&exchange=0&driver.ru/exp?sid=577&oki=1&op_produkty%2Fsport-pliance/r_tire=245595,9152817190&ID=131106-sedan&brand=BODYFLIRT&op_category_id=0&with_photos/photo/69363/3#formiruiushchen_min=&sq_kitched_car=0&confiscategory_id=96424048409&state/out-of-town/houses/brest.ru/spb/events-sale/secondary/search&input_with_photo-10.xhtml?1=1&cid=707547/?sort/price_do=1000488238&op_style_id=0&po_yers=2005 до 7000&wi=1920&numphoto=1&saledParams%3Drhost%3D_black_list.php?ostavkaz/210165728978/page3/#page.google&_suid=16207594351/?date=0&damages/0001216629/0/index.ru%2Fkategory&op_product_price=12:00:00 - Для женщин - Run Away.mp3ex.net/catalog_tatus=update=10&can_be_check_PP|http://romanrog-gorsk.irr.ru/yandex|0|11085|158|13686|216|1638|777|23|15|7|700|0|0|26|D�|1|1|0|0|||3208120|-1|0||0|0|167|461|135|2013-07-02 21:32:22|0|0|0|0|windows-1251|1|0|0|0|6813450615509004067|http://video.yandex.ru%2526pz%253D728%2526custom%252526bid%253D278885%2526ref%252526pz%253Dhttp://kazan.irr.ru/moscow/?ncrnd=4426190352&pvno=2&evlg=VC,2;VL,520;IC,106;IC,16;VL,32553Fsid%2526pz%2526custom%252526pz%253D22%25252f110916%252525253D430795%2C931396-67995%2C3%2C502&aN=Netscape&aV=5.0%20(build%20(2%20%D0%B5%D1%8C%20like%20Gecko)%20CLR%203.5.1)%20AppleWebKit%20InfoPath%253D839322%2526bn%253D0%2526nid%252526pz%253Dad.adriver.ru%2Fkategoriya%2F5.0%20%D0%BE%D0%B5%D0%BD%D0%BD%D0%A8%D0%BB%D1%82%D1%81%D0%B5%D0%B0%D1%81%D0%BF%D0%B8%D0%B5&op_product_id=577&oki=1&op_page=1&rs=1&page_len80/page_type=categoriya%2F537.11%3B%20Safari%2F&ti=%D0%B5%D0%B0%D1%84%D0%B4&where=all&object=default4295&ch=UTF-8&sF=11%2C7%2C700&aN=Netscape&aV=5.0%20Dreams/%D0%BE%D0%B4%D0%BE%D0%BE%D0%BA%D0%BE%D0%B0%D1%80%D0%B4.)&op_uid=106895%2C90399&op_product|665130496|0|0|0|0|0|5|2013-07-02 21:15:57|31|1|3|68|26|-163909038|-1|-1|-1|S0|h1|||0|0|0|0|0|0|0|0||0||NH|0|||||||||||0|-8739253693451531427|619230445600647231|0
8687896830903535760|0|Интернет-магазин об услуг, обзор пк/оплачиваемые брюнетокской» корал) 2008 г.в. Цена: 4999$|1|2013-07-02 20:11:10|2013-07-03|3922|-1047948087|106|-1085058681801081203|1|44|3|http://tks.ru/GameMain.aspx#location=pm;sa=sender_by=0&po_yers=1&yh=1&marka=0&top=0&checked=0&is_hot=0&auth=0&under_credit=0&auto.ria.ua/odnokomotiv_-TSSKA_Boys beentwin/vacuuma.ru/mepps.google/detail/?folders|https://direction/house/375146024&u_nplug=studieslist.php?p=14&ved=0CDoQFjAB&url=http://anime-2/?page=12:00:00&ei=bIrSUYXuDowlMHAL1Xg|0|306|23992|304|32276|1087|938|23|15|7|700|0|0|26|D�|1|1|0|0|||4185067|-1|0||0|0|1095|965|976|2013-07-03 17:36:01|4|1|16561|0|windows|1|0|0|0|8981451969387669998||73649768|0|0|0|0|0|5|2013-07-03 06:40:03|31|1|2|70|4|-1110642011|-1|-1|-1|S0|�|||0|0|0|0|0|0|0|0||0||NH|0|||||||||||0|5456034342883707759|5017153378350170782|0
8537208749719512791|1||1|2013-07-02 20:16:24|2013-07-03|1095|-236622842|8287|6650119587517373886|1|44|88|http://solikansa_BCCWT418gE&ti=Круглый - Jumane/photo=&int[11]=Y&Selection/houses/post-advert161457798470/0/washers.yandex.xml?id=2013/07/08/219514/articles/39829/#100101216629%26sid%3D158197%26width%3Dhttp://real-estate/resort=price_do=&currency=1#country=&op_seo_entry=&op_produkty%2Fbjustghalt._kr./batayskiy-mkr-n-Chelnik.ru/filmId=eFxBVoqvUXI&where=all&filmId=nx9w742354/detail/96248698301c06e1a-c6-01.jpg.html?1=1&cid=577&oki=1&with_video.yandex.ua/users/folders/win8/articles/notebook.net/ero/7452.html?1=1&cid=577&oki=1&op_page12/09/10.html%26custom=0&undefined/under_by=0&po_yers=2013/?page.google&_suid=16207594351/?date=0&damages/0001216629/0/index.ru%2Fkategory&op_product_price=12:00:00 - Для женщин - Run Away.mp3ex.net/catalog_tatus=update=10&can_be_checked|http://roma.ru/photos/photo=1&st=40000][]=2271221%26width%3D213|0|11085|158|13686|22|1996|1781|37|15|7|700|0|0|1|4�|1|1|0|0|||2882960|-1|0||0|0|167|461|135|2013-07-03 06:24:33|4|1|16561|0|windows-1251;charset|1|0|0|0|6042591173012237824|http://video.yandex.ru/%D0%B2%D1%8C/ru-en/Media%2F536.4427.275333%5D%5Bfrom=&fuelRateFrom=&power_door=0&confiscategory_id=1727724106634,39740539%20%D0%B3%D1%8F&op_page28/?Search.php?showtopic/547-99859593594&pt=b&pd=8&pw=2&pv=19&referre=all&text=%D0%B0%D1%80%D0%B6%D0%B1%D1%83%D0%BA%D0%B4%D0%B5%20%D0%B8%D0%B1%D0%B44.)%20Chrome%2F2.1072&op_style_id=10916%20(KHTML%2C%20%D0%B3%D0%BE%D1%81%D0%B5%D1%82+50000/currency=RUR/page_type=category_name=%D0%BB%D0%B3/%D0%BD%D0%B0%D1%89%D0%B5%D1%8C%D1%82%D0%BD%D1%82%D1%82%D1%80%D0%BE&where=all&filmId=D7SfzE1WUXI&where=all&filmId=mwMjyp_NUXI&where|24595220|0|0|0|0|0|5|2013-07-03 19:37:25|31|1|3|4|20|-1884127060|-1|-1|-1|S0|�|||0|0|0|0|0|0|0|0||0||NH|0|||||||||||0|-2877248332638619260|-902412261456772195|0
7946021776700523116|1|ВАЗ Коммерческие дня. Лента новые авто б.у. и новые список резюме Главную страница 2 симптомы онлайн бесплатья женщин от А до 1 — Афиша – подработу|1|2013-07-02 20:17:57|2013-07-03|3922|-1820539599|191|8953565033367093532|1|2|5|http:%2F%2Fwwww.bonprix.ru/showtopic.php?item_no=110201-g-v-15-1-6-9-647.html?1=1&cid=5482,96830a373b7d909e65f626668918%2F%2Fwwww.bonprix.ru/google-sosudamages/CartFormat]=2451095&cz=false&inTitle=False&inBody||0|0|0|92|232|1990|554|37|14|3|700|0|0|1|D�|1|1|0|0|||3058797|0|0||0|0|0|0|135|2013-07-03 04:00:27|0|0|0|0|windows|1|0|0|0|6860403282610675518||238955781|0|0|0|0|0|5|2013-07-03 15:49:25|0|0|0|0|0|-436763609|-1|-1|-1|S0|h1|||0|0|0|0|0|0|0|0||0||NH|0|||||||||||0|-296158784638538920|7285576818138094034|0
4808360075854427747|1||1|2013-07-02 20:28:46|2013-07-03|1095|-65439789|2|4265080556653027653|1|44|5|http://video=0&input_onlinegro/enter highlandex.ru%2Fpass%3Drhost%3D278885%26bn%3D0%26ntype%3Dsa%26url%3D//ad.adrivers-total=больше 17003674653821490&cid=7666629/0/&&puid2=23&pvno=2&evlg=VC,1;VL,3686/9/page_type=2&distridzhinsk.irr.ru/default.ru/forumdisplaytalk/flyshingtoalbums/skivayuschik-5-bef6-4796/city&custom%3D%26CompPath%3D728%26height_to=-1&s_yers=()&page=4&driver.ru/real-estat_type=2d#schenie_nebo_sarators.html?1=1&cid=584&wi=1280&lo=http://loveplanet.ee/gard-pozhki/model=0&s_yers=0&price_do=&currency=1&saledParams%3Drhost%3D_black_list.php?ostavkaz/210165728978/page3/#page.google&_suid=16207594351/?date=0&damages/0001216629/0/index|http://roma.ru/photos/photo=1&cnf=63|0|11085|158|13686|22|2428|1103|37|15|7|700|0|0|22|D�|1|1|0|0|||4027771|-1|0||0|0|167|461|135|2013-07-03 19:46:28|4|0|46077|0|windows-1251;charset|1|0|0|0|7095864692377209897|http://video.yandex.ru/%D0%B2%D1%8C/ru-en/Media%2F536.4427.275333%5D%5Bfrom=&fuelRateFrom=&power_door=0&confiscategory_id=1727724106634,392;IC,1840828&st=2&search?text=%D0%BE%D1%88%D0%BD%D1%82%D1%81%D0%A1%20%D1%80%D0%BB%D0%BB%D0%BA%D0%9B%D0%B0%D1%82%D1%80%D0%BB%D1%80%D0%B5%D0%B5%D0%BD%D0%BD%D0%B2%D1%82%D0%B5%D1%8C%20%D1%81%D0%BC%D1%81%D0%B2%D0%BB%D1%87%D0%BF%D0%9F%D0%BD%D0%B5%D0%B6%D0%B8&ch=utf-8&sF=11%2C16629/0/&&puid1=f&puid1=f&puid2=4000000%2526bn%25253D62895%2C96279602213424166981%5D%5Bto%5D=City_id=921295%2C9258795&ch=UTF-8&sF=11%2C7%2C7%2C700&pt=b&pd=6&pv=11&bL=ru&cE=true&uA=Mozilla%2Fdlia-zhieniiaia&retpath=%2Fcategory_id=577&oki=1&op_category_name=%D0%BC%D0%B4&where=all&object=default4295&ch=UTF-8&sF=11%2C7%2C700&aN=Netscape&aV=5.0%20Dreams/%D0%BE%D0%B4%D0%BE%D0%BE%D0%BA%D0%BE%D0%B0%D1%80%D0%B4.)&op_uid=1068|150765879|0|0|0|0|0|5|2013-07-02 20:04:16|28|1|2|120|5|-1948918277|-1|-1|-1|S0|h1|||0|0|0|0|0|0|0|0||0||NH|0|||||||||||0|-5126477814378826427|-5647171006065326247|0
7200150188937649439|1||1|2013-07-02 20:53:36|2013-07-03|1634|2058317870|229|2616515319670565673|1|2|7|http://myloveplanety-dod/peugeot/photo.ria.ua/user_id=0&with_photo=0&is_hot=0&city=Москве все серия&where=all&text=черный%2Fчерный - bpc bonprix.ru/exp?sid=577&oki=1&op_page_type=product_price=290&int[3][to]=&input_bdsmpeople.ru/product_id=9781&pid=f8OqQqyx0Cw&where=all&filmId=MD9WOFpSiUw&where=all&film/45028392&state=0&engineVolumeFrom=last_auto_id=2385/?date=0&view&rid=0&page.google_grindex.php|https://googlead&32%2F&ei=dT_1UaykHfw&bvm=bv.49784469,d.bGE&cad=rjt&ss=98b0d3ae390d3f5baa976c4-7028.pl?bsa22197068/hero_subgroup_cod_1-u_1-tortivnyie-plata.ru/tablet/landirovanna000000|0|14272|20|12964|520|1638|1658|37|15|7|800.94|3|0|13|nA|1|1|0|0|||756406|2|0||27|0|167|461|135|2013-07-03 01:09:32|0|0|0|0|windows-1251;charset|1|0|0|0|5775033370606960488|http://video.yandex.ru/cars/pass%2526bt%253D213767436/room%252526bt%253D_blank%25253D728%25253A%2F%2Fwww.bonprix%20collect%5B2378%5D%5Bfrom%5D=&selection%5Bbrand=bpzjC9Os8gE&where=all&filmId=y7h9kbrt8gE&where=all&filmId=iiEditions%5B0%5D%5B%5D=0&sf=1&text=%D1%80%D0%B8%D0%BA%D1%85&ch=utf-8&sF=11%2C602%20Yx)&bL=ru&cE=true&uA=Mozilla%2F537.36&bL=ru&cE=true&uA=Mozilla%2Fnizhnie%5Bpropfilter%3DMAIL%26aktion_type%253DBbZjxG3eBUXI|836404773|0|0|0|0|0|5|2013-07-02 20:48:25|55|2|3|474|14|1331323892|-1|-1|-1|S0|�|||0|0|0|0|0|0|0|0||0||NH|0|||||||||||0|-1521508465884327039|-4643593983879210590|0
