url|pageviews
http://irr.ru/index.php?showalbum/login-leniya7777294,938303130|85646
http://komme%2F27.0.1453.116|42422
http://irr.ru/index.php?showalbum/login-kapusta-advert2668]=0&order_by=0|15165
http://irr.ru/index.php?showalbum/login-kapustic/product_name|13779
http://irr.ru/index.php|10559
http://irr.ru/index.php?showalbum/login|8997
http://komme%2F27.0.1453.116 Safari%2F5.0 (compatible; MSIE 9.0;|6322
http://irr.ru/index.php?showalbum/login-kupalnik|3633
http://irr.ru/index.php?showalbum/login-kapusta-advert27256.html_params|3363
http://komme%2F27.0.1453.116 Safari|2538
