x|y
15.225|24
15.675|19
16.125|20
16.575|20
17.025|14
17.475|19
17.925|6
18.375|19
18.825|11
19.275|17
19.725|11
20.175|11
20.625|9
21.075|5
21.525|10
21.975|11
22.425|12
22.875|4
23.325|7
23.775|6
24.225|6
24.675|9
25.125|5
25.575|8
26.025|3
26.475|9
26.925|4
27.375|10
27.825|5
28.275|6
28.725|6
29.175|5
29.625|4
30.075|9
30.525|5
30.975|2
31.425|11
31.875|8
32.325|2
32.775|5
33.225|8
33.675|11
34.125|2
34.575|1
35.025|2
35.475|2
36.375|3
36.825|6
37.275|4
37.725|2
38.175|2
38.625|6
39.075|2
39.525|9
39.975|4
40.425|4
40.875|8
41.325|4
41.775|1
42.225|3
42.675|3
43.125|5
44.025|5
44.475|2
44.925|2
45.375|2
45.825|3
46.275|3
46.725|1
47.175|5
47.625|1
48.075|1
48.525|1
48.975|5
49.875|2
50.325|3
50.775|3
51.225|3
51.675|6
52.125|3
52.575|3
53.025|2
53.475|2
53.925|1
54.375|3
54.825|2
55.275|1
55.725|2
56.175|3
56.625|2
57.075|5
57.525|1
57.975|2
58.425|1
58.875|3
59.325|1
59.775|1
60.225|125
