d_week_seq1|r1|r2|r3|r4|r5|r6|round((sat_sales1 / sat_sales2), 2)
5270|NULL|1.42|NULL|0.35|0.91|NULL|NULL
5270|NULL|1.42|NULL|0.35|0.91|NULL|NULL
5270|NULL|1.42|NULL|0.35|0.91|NULL|NULL
5270|NULL|1.42|NULL|0.35|0.91|NULL|NULL
5270|NULL|1.42|NULL|0.35|0.91|NULL|NULL
5270|NULL|1.42|NULL|0.35|0.91|NULL|NULL
5270|NULL|1.42|NULL|0.35|0.91|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5271|NULL|NULL|0.67|NULL|NULL|NULL|NULL
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5272|NULL|NULL|NULL|0.4|0.97|NULL|1.18
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5273|NULL|NULL|NULL|NULL|NULL|NULL|0.69
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
5274|NULL|NULL|NULL|NULL|0.08|NULL|NULL
