channel|i_brand_id|i_class_id|i_category_id|sum_sales|sum_number_sales
NULL|NULL|NULL|NULL|5632738.36|1320
catalog|NULL|NULL|NULL|858196.49|165
catalog|1001001|NULL|NULL|9285.68|1
catalog|1001001|7|NULL|9285.68|1
catalog|1001001|7|7|9285.68|1
catalog|1002001|NULL|NULL|41513.29|7
catalog|1002001|2|NULL|11357.73|3
catalog|1002001|2|6|11357.73|3
catalog|1002001|4|NULL|30155.56|4
catalog|1002001|4|5|30155.56|4
catalog|1002002|NULL|NULL|14426.13|4
catalog|1002002|3|NULL|14426.13|4
catalog|1002002|3|1|14426.13|4
catalog|1004001|NULL|NULL|19891.14|2
catalog|1004001|3|NULL|19891.14|2
catalog|1004001|3|5|19891.14|2
catalog|1004002|NULL|NULL|33646.49|7
catalog|1004002|3|NULL|14235.71|3
catalog|1004002|3|1|14235.71|3
catalog|1004002|4|NULL|19410.78|4
catalog|1004002|4|1|19410.78|4
catalog|2001002|NULL|NULL|8897.35|4
catalog|2001002|1|NULL|8897.35|4
catalog|2001002|1|2|8897.35|4
catalog|2002002|NULL|NULL|24274.37|8
catalog|2002002|2|NULL|24274.37|8
catalog|2002002|2|2|24274.37|8
catalog|2003002|NULL|NULL|8194.53|1
catalog|2003002|3|NULL|8194.53|1
catalog|2003002|3|2|8194.53|1
catalog|2004001|NULL|NULL|40410.12|12
catalog|2004001|2|NULL|7482.15|2
catalog|2004001|2|1|7482.15|2
catalog|2004001|4|NULL|26959.67|5
catalog|2004001|4|6|19716.98|4
catalog|2004001|4|10|7242.69|1
catalog|2004001|10|NULL|5968.30|5
catalog|2004001|10|6|5968.30|5
catalog|2004002|NULL|NULL|26641.23|8
catalog|2004002|4|NULL|26641.23|8
catalog|2004002|4|2|26641.23|8
catalog|3001001|NULL|NULL|4946.91|3
catalog|3001001|1|NULL|4946.91|3
catalog|3001001|1|2|4946.91|3
catalog|3002001|NULL|NULL|22220.93|2
catalog|3002001|10|NULL|22220.93|2
catalog|3002001|10|10|22220.93|2
catalog|3003001|NULL|NULL|10116.13|1
catalog|3003001|3|NULL|10116.13|1
catalog|3003001|3|1|10116.13|1
catalog|3003002|NULL|NULL|24783.26|5
catalog|3003002|3|NULL|5046.12|3
catalog|3003002|3|3|5046.12|3
catalog|3003002|4|NULL|19737.14|2
catalog|3003002|4|3|19737.14|2
catalog|3004002|NULL|NULL|24002.90|4
catalog|3004002|4|NULL|24002.90|4
catalog|3004002|4|3|24002.90|4
catalog|4001001|NULL|NULL|10631.79|2
catalog|4001001|1|NULL|10631.79|2
catalog|4001001|1|7|10631.79|2
catalog|4002001|NULL|NULL|29654.57|4
catalog|4002001|13|NULL|29654.57|4
catalog|4002001|13|9|29654.57|4
catalog|4003001|NULL|NULL|20869.08|4
catalog|4003001|3|NULL|20869.08|4
catalog|4003001|3|8|8220.42|1
catalog|4003001|3|10|12648.66|3
catalog|4004001|NULL|NULL|29287.30|5
catalog|4004001|4|NULL|29287.30|5
catalog|4004001|4|6|29287.30|5
catalog|5002002|NULL|NULL|26477.05|4
catalog|5002002|2|NULL|26477.05|4
catalog|5002002|2|5|26477.05|4
catalog|5003002|NULL|NULL|22716.10|4
catalog|5003002|3|NULL|22716.10|4
catalog|5003002|3|5|22716.10|4
catalog|6007005|NULL|NULL|16065.61|3
catalog|6007005|7|NULL|16065.61|3
catalog|6007005|7|5|16065.61|3
catalog|6011003|NULL|NULL|32243.50|5
catalog|6011003|4|NULL|32243.50|5
catalog|6011003|4|5|32243.50|5
catalog|6015002|NULL|NULL|18548.96|2
catalog|6015002|15|NULL|18548.96|2
catalog|6015002|15|6|18548.96|2
catalog|6016006|NULL|NULL|15571.64|3
catalog|6016006|3|NULL|15571.64|3
catalog|6016006|3|6|15571.64|3
catalog|7003008|NULL|NULL|15093.16|4
catalog|7003008|3|NULL|15093.16|4
catalog|7003008|3|7|15093.16|4
catalog|7008001|NULL|NULL|6440.50|3
catalog|7008001|8|NULL|6440.50|3
catalog|7008001|8|3|6440.50|3
catalog|7016006|NULL|NULL|10138.84|1
catalog|7016006|16|NULL|10138.84|1
catalog|7016006|16|7|10138.84|1
catalog|8004001|NULL|NULL|8254.55|2
catalog|8004001|4|NULL|8254.55|2
