i_product_name|i_brand|i_class|i_category|qoh
ationn st|NULL|NULL|NULL|416.4423076923076923
ationn st|scholarunivamalg #2|NULL|NULL|416.4423076923076923
ationn st|scholarunivamalg #2|fiction|NULL|416.4423076923076923
ationn st|scholarunivamalg #2|fiction|Books|416.4423076923076923
n steing|NULL|NULL|NULL|430.1346153846153846
n steing|amalgimporto #2|NULL|NULL|430.1346153846153846
n steing|amalgimporto #2|accessories|NULL|430.1346153846153846
n steing|amalgimporto #2|accessories|Men|430.1346153846153846
oughtpri|NULL|NULL|NULL|435.9807692307692308
oughtpri|scholarmaxi #2|NULL|NULL|435.9807692307692308
oughtpri|scholarmaxi #2|fishing|NULL|435.9807692307692308
oughtpri|scholarmaxi #2|fishing|Sports|435.9807692307692308
bareseought|NULL|NULL|NULL|438.0769230769230769
bareseought|importoscholar #1|NULL|NULL|438.0769230769230769
bareseought|importoscholar #1|country|NULL|438.0769230769230769
bareseought|importoscholar #1|country|Music|438.0769230769230769
antieseought|NULL|NULL|NULL|441.2884615384615385
antieseought|exportiunivamalg #2|NULL|NULL|441.2884615384615385
antieseought|exportiunivamalg #2|self-help|NULL|441.2884615384615385
antieseought|exportiunivamalg #2|self-help|Books|441.2884615384615385
oughtn st|NULL|NULL|NULL|448.6538461538461538
oughtn st|corpunivamalg #7|NULL|NULL|448.6538461538461538
oughtn st|corpunivamalg #7|musical|NULL|448.6538461538461538
oughtn st|corpunivamalg #7|musical|Electronics|448.6538461538461538
oughtableought|NULL|NULL|NULL|448.8461538461538462
oughtableought|exportiunivamalg #2|NULL|NULL|448.8461538461538462
oughtableought|exportiunivamalg #2|self-help|NULL|448.8461538461538462
oughtableought|exportiunivamalg #2|self-help|Books|448.8461538461538462
ablecally|NULL|NULL|NULL|450.2884615384615385
ablecally|edu packcorp #7|NULL|NULL|450.2884615384615385
ablecally|edu packcorp #7|bracelets|NULL|450.2884615384615385
ablecally|edu packcorp #7|bracelets|Jewelry|450.2884615384615385
priation|NULL|NULL|NULL|451.5192307692307692
priation|exportiamalg #2|NULL|NULL|451.5192307692307692
priation|exportiamalg #2|maternity|NULL|451.5192307692307692
priation|exportiamalg #2|maternity|Women|451.5192307692307692
n stese|NULL|NULL|NULL|453.3269230769230769
n stese|edu packexporti #2|NULL|NULL|453.3269230769230769
n stese|edu packexporti #2|school-uniforms|NULL|453.3269230769230769
n stese|edu packexporti #2|school-uniforms|Children|453.3269230769230769
ationcallyought|NULL|NULL|NULL|460.1538461538461538
ationcallyought|exporticorp #8|NULL|NULL|460.1538461538461538
ationcallyought|exporticorp #8|gold|NULL|460.1538461538461538
ationcallyought|exporticorp #8|gold|Jewelry|460.1538461538461538
pricallyought|NULL|NULL|NULL|461.2692307692307692
pricallyought|edu packimporto #2|NULL|NULL|461.2692307692307692
pricallyought|edu packimporto #2|sports-apparel|NULL|461.2692307692307692
pricallyought|edu packimporto #2|sports-apparel|Men|461.2692307692307692
prioughtought|NULL|NULL|NULL|461.9230769230769231
prioughtought|importomaxi #4|NULL|NULL|461.9230769230769231
prioughtought|importomaxi #4|guns|NULL|461.9230769230769231
prioughtought|importomaxi #4|guns|Sports|461.9230769230769231
bareing|NULL|NULL|NULL|464.6923076923076923
bareing|exportiedu pack #1|NULL|NULL|464.6923076923076923
bareing|exportiedu pack #1|kids|NULL|464.6923076923076923
bareing|exportiedu pack #1|kids|Shoes|464.6923076923076923
ation|NULL|NULL|NULL|465.0576923076923077
ation|amalgexporti #2|NULL|NULL|465.0576923076923077
ation|amalgexporti #2|newborn|NULL|465.0576923076923077
ation|amalgexporti #2|newborn|Children|465.0576923076923077
callyoughtought|NULL|NULL|NULL|465.7115384615384615
callyoughtought|brandcorp #5|NULL|NULL|465.7115384615384615
callyoughtought|brandcorp #5|pendants|NULL|465.7115384615384615
callyoughtought|brandcorp #5|pendants|Jewelry|465.7115384615384615
baranti|NULL|NULL|NULL|469.1923076923076923
baranti|edu packedu pack #1|NULL|NULL|469.1923076923076923
baranti|edu packedu pack #1|athletic|NULL|469.1923076923076923
baranti|edu packedu pack #1|athletic|Shoes|469.1923076923076923
prieing|NULL|NULL|NULL|470.1153846153846154
prieing|brandcorp #4|NULL|NULL|470.1153846153846154
prieing|brandcorp #4|pendants|NULL|470.1153846153846154
prieing|brandcorp #4|pendants|Jewelry|470.1153846153846154
ationation|NULL|NULL|NULL|470.3076923076923077
ationation|exportiexporti #2|NULL|NULL|470.3076923076923077
ationation|exportiexporti #2|toddlers|NULL|470.3076923076923077
ationation|exportiexporti #2|toddlers|Children|470.3076923076923077
callyanti|NULL|NULL|NULL|470.6923076923076923
callyanti|amalgamalgamalg #6|NULL|NULL|470.6923076923076923
callyanti|amalgamalgamalg #6|disk drives|NULL|470.6923076923076923
callyanti|amalgamalgamalg #6|disk drives|Electronics|470.6923076923076923
n stcallyought|NULL|NULL|NULL|471.0384615384615385
n stcallyought|amalgbrand #2|NULL|NULL|471.0384615384615385
n stcallyought|amalgbrand #2|semi-precious|NULL|471.0384615384615385
n stcallyought|amalgbrand #2|semi-precious|Jewelry|471.0384615384615385
n stoughtought|NULL|NULL|NULL|471.0576923076923077
n stoughtought|edu packimporto #2|NULL|NULL|471.0576923076923077
n stoughtought|edu packimporto #2|sports-apparel|NULL|471.0576923076923077
n stoughtought|edu packimporto #2|sports-apparel|Men|471.0576923076923077
priought|NULL|NULL|NULL|474.0000000000000000
priought|importobrand #6|NULL|NULL|474.0000000000000000
priought|importobrand #6|costume|NULL|474.0000000000000000
priought|importobrand #6|costume|Jewelry|474.0000000000000000
ablepri|NULL|NULL|NULL|476.8269230769230769
ablepri|edu packbrand #3|NULL|NULL|476.8269230769230769
ablepri|edu packbrand #3|curtains/drapes|NULL|476.8269230769230769
ablepri|edu packbrand #3|curtains/drapes|Home|476.8269230769230769
priable|NULL|NULL|NULL|478.4615384615384615
priable|scholarunivamalg #7|NULL|NULL|478.4615384615384615
priable|scholarunivamalg #7|karoke|NULL|478.4615384615384615
priable|scholarunivamalg #7|karoke|Electronics|478.4615384615384615
