ca_state|cd_gender|cd_marital_status|cd_dep_count|cnt1|min1|max1|avg1|cd_dep_employed_count|cnt2|min2|max2|avg2|cd_dep_college_count|cnt3|min(cd_dep_college_count)|max(cd_dep_college_count)|avg(cd_dep_college_count)
GA|F|M|2|1|2|2|2.0|0|1|0|0|0.0|0|1|0|0|0.0
GA|F|U|0|1|0|0|0.0|0|1|0|0|0.0|0|1|0|0|0.0
GA|M|D|0|1|0|0|0.0|0|1|0|0|0.0|0|1|0|0|0.0
IN|F|D|3|1|3|3|3.0|0|1|0|0|0.0|0|1|0|0|0.0
IN|F|S|2|1|2|2|2.0|0|1|0|0|0.0|0|1|0|0|0.0
IN|F|W|3|1|3|3|3.0|0|1|0|0|0.0|0|1|0|0|0.0
KS|F|M|1|1|1|1|1.0|0|1|0|0|0.0|0|1|0|0|0.0
MI|M|S|3|1|3|3|3.0|0|1|0|0|0.0|0|1|0|0|0.0
NV|F|S|0|1|0|0|0.0|0|1|0|0|0.0|0|1|0|0|0.0
TX|F|D|1|1|1|1|1.0|0|1|0|0|0.0|0|1|0|0|0.0
WI|F|U|1|1|1|1|1.0|0|1|0|0|0.0|0|1|0|0|0.0
WV|M|M|2|1|2|2|2.0|0|1|0|0|0.0|0|1|0|0|0.0
