i_category|i_brand|s_store_name|s_company_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Men|edu packimporto #1|ought|Unknown|1999|5|894.0016666666666667|214.31|357.90|562.90
Shoes|exportiedu pack #1|ought|Unknown|1999|5|780.1891666666666667|163.18|823.83|245.55
Shoes|edu packedu pack #1|ought|Unknown|1999|5|599.8350000000000000|54.02|199.22|646.45
Men|edu packimporto #1|ought|Unknown|1999|4|894.0016666666666667|357.90|592.99|214.31
Shoes|exportiedu pack #1|ought|Unknown|1999|6|780.1891666666666667|245.55|163.18|612.27
Children|amalgexporti #1|ought|Unknown|1999|2|537.5966666666666667|68.95|269.45|279.66
Shoes|edu packedu pack #1|ought|Unknown|1999|4|599.8350000000000000|199.22|472.58|54.02
Men|edu packimporto #1|ought|Unknown|1999|2|894.0016666666666667|495.81|958.15|592.99
Children|amalgexporti #1|ought|Unknown|1999|6|537.5966666666666667|153.48|279.03|262.85
Women|amalgamalg #1|ought|Unknown|1999|6|390.0891666666666667|7.23|191.09|236.55
Women|importoamalg #1|ought|Unknown|1999|3|420.8183333333333333|43.68|466.04|276.89
Books|scholarunivamalg #8|ought|Unknown|1999|5|383.8533333333333333|7.95|190.87|232.19
Children|exportiexporti #1|ought|Unknown|1999|4|406.4308333333333333|33.30|328.96|206.68
Children|exportiexporti #1|ought|Unknown|1999|6|406.4308333333333333|47.16|206.68|417.50
Men|edu packimporto #1|ought|Unknown|1999|6|894.0016666666666667|562.90|214.31|620.73
Women|edu packamalg #2|ought|Unknown|1999|5|360.8658333333333333|31.70|162.25|86.64
Shoes|exportiedu pack #1|ought|Unknown|1999|2|780.1891666666666667|457.69|649.87|526.15
Men|amalgimporto #2|ought|Unknown|1999|4|429.6091666666666667|114.18|190.98|150.52
Children|importoexporti #1|ought|Unknown|1999|6|335.7791666666666667|24.31|170.03|61.74
Children|exportiexporti #1|ought|Unknown|1999|2|406.4308333333333333|100.95|394.65|328.96
Men|edu packimporto #1|ought|Unknown|1999|3|894.0016666666666667|592.99|495.81|357.90
Men|edu packimporto #2|ought|Unknown|1999|6|352.0241666666666667|53.76|213.67|82.19
Books|exportiunivamalg #2|ought|Unknown|1999|6|336.4550000000000000|43.07|107.07|229.95
Men|edu packimporto #2|ought|Unknown|1999|2|352.0241666666666667|60.25|247.49|259.94
Books|exportiunivamalg #2|ought|Unknown|1999|2|336.4550000000000000|47.26|334.99|124.85
Men|amalgimporto #2|ought|Unknown|1999|5|429.6091666666666667|150.52|114.18|345.39
Children|amalgexporti #1|ought|Unknown|1999|7|537.5966666666666667|262.85|153.48|813.09
Music|amalgscholar #1|ought|Unknown|1999|2|353.5233333333333333|79.13|225.48|154.66
Women|edu packamalg #2|ought|Unknown|1999|6|360.8658333333333333|86.64|31.70|426.42
Children|importoexporti #1|ought|Unknown|1999|7|335.7791666666666667|61.74|24.31|287.41
Men|edu packimporto #1|ought|Unknown|1999|7|894.0016666666666667|620.73|562.90|1149.11
Men|edu packimporto #2|ought|Unknown|1999|7|352.0241666666666667|82.19|53.76|551.23
Children|amalgexporti #1|ought|Unknown|1999|1|537.5966666666666667|269.45|1228.72|68.95
Children|edu packexporti #2|ought|Unknown|1999|4|402.3009090909090909|136.04|249.07|212.15
Children|amalgexporti #1|ought|Unknown|1999|5|537.5966666666666667|279.03|532.39|153.48
Children|edu packexporti #2|ought|Unknown|1999|7|402.3009090909090909|144.07|212.15|179.49
Children|amalgexporti #1|ought|Unknown|1999|3|537.5966666666666667|279.66|68.95|532.39
Shoes|exportiedu pack #1|ought|Unknown|1999|3|780.1891666666666667|526.15|457.69|823.83
Books|scholarunivamalg #8|ought|Unknown|1999|2|383.8533333333333333|140.99|561.90|160.05
Jewelry|importocorp #7|ought|Unknown|1999|5|290.0654545454545455|50.14|288.32|242.33
Men|amalgimporto #2|ought|Unknown|1999|3|429.6091666666666667|190.98|263.18|114.18
Women|edu packamalg #1|ought|Unknown|1999|2|233.2563636363636364|1.66|257.88|19.52
Books|exportiunivamalg #2|ought|Unknown|1999|5|336.4550000000000000|107.07|388.34|43.07
Women|edu packamalg #2|ought|Unknown|1999|3|360.8658333333333333|136.72|234.52|162.25
Home|corpbrand #10|ought|Unknown|1999|1|234.8454545454545455|10.77|233.18|380.65
Books|scholarunivamalg #8|ought|Unknown|1999|3|383.8533333333333333|160.05|140.99|190.87
Children|edu packexporti #2|ought|Unknown|1999|8|402.3009090909090909|179.49|144.07|473.57
Men|amalgimporto #2|ought|Unknown|1999|1|429.6091666666666667|211.03|611.58|263.18
Music|amalgscholar #1|ought|Unknown|1999|4|353.5233333333333333|136.90|154.66|174.54
Jewelry|importobrand #6|ought|Unknown|1999|4|221.9683333333333333|5.60|100.34|9.71
Women|edu packamalg #1|ought|Unknown|1999|3|233.2563636363636364|19.52|1.66|144.69
Music|exportischolar #2|ought|Unknown|1999|6|398.8700000000000000|185.66|188.36|248.30
Women|amalgamalg #1|ought|Unknown|1999|1|390.0891666666666667|176.88|757.54|232.97
Music|exportischolar #2|ought|Unknown|1999|4|398.8700000000000000|185.68|222.77|188.36
Jewelry|importobrand #6|ought|Unknown|1999|5|221.9683333333333333|9.71|5.60|79.70
Books|exportiunivamalg #2|ought|Unknown|1999|3|336.4550000000000000|124.85|47.26|388.34
Music|exportischolar #2|ought|Unknown|1999|5|398.8700000000000000|188.36|185.68|185.66
Children|exportiexporti #1|ought|Unknown|1999|9|406.4308333333333333|205.50|443.05|811.52
Children|exportiexporti #1|ought|Unknown|1999|5|406.4308333333333333|206.68|33.30|47.16
Women|importoamalg #1|ought|Unknown|1999|6|420.8183333333333333|221.36|274.09|330.26
Women|amalgamalg #1|ought|Unknown|1999|5|390.0891666666666667|191.09|386.48|7.23
Music|amalgscholar #1|ought|Unknown|1999|3|353.5233333333333333|154.66|79.13|136.90
Women|edu packamalg #2|ought|Unknown|1999|4|360.8658333333333333|162.25|136.72|31.70
Electronics|brandunivamalg #1|ought|Unknown|1999|5|251.1658333333333333|55.86|97.39|181.07
Books|univunivamalg #8|ought|Unknown|1999|2|199.9972727272727273|4.78|230.21|201.85
Books|corpunivamalg #9|ought|Unknown|1999|6|202.2450000000000000|8.02|127.28|131.03
Jewelry|edu packcorp #7|ought|Unknown|1999|4|193.5741666666666667|0.53|63.03|183.70
Books|scholarunivamalg #8|ought|Unknown|1999|4|383.8533333333333333|190.87|160.05|7.95
Jewelry|importobrand #6|ought|Unknown|1999|9|221.9683333333333333|29.97|61.84|435.44
Sports|exportimaxi #1|ought|Unknown|1999|3|230.9854545454545455|39.32|135.81|196.27
Sports|maxinameless #3|ought|Unknown|1999|7|225.1308333333333333|34.68|119.62|217.50
Children|edu packexporti #2|ought|Unknown|1999|6|402.3009090909090909|212.15|136.04|144.07
Electronics|corpamalgamalg #12|ought|Unknown|1999|2|193.8550000000000000|4.69|129.91|127.90
Women|importoamalg #1|ought|Unknown|1999|1|420.8183333333333333|231.77|1008.38|466.04
Sports|exportimaxi #1|ought|Unknown|1999|6|230.9854545454545455|42.46|196.27|103.28
Sports|scholarmaxi #1|ought|Unknown|1999|5|188.1841666666666667|0.19|160.15|155.47
Shoes|edu packedu pack #1|ought|Unknown|1999|1|599.8350000000000000|413.31|1216.77|442.25
Jewelry|brandcorp #5|ought|Unknown|1999|4|189.6163636363636364|4.33|139.85|90.70
Shoes|edu packedu pack #1|ought|Unknown|1999|7|599.8350000000000000|415.05|646.45|668.13
Jewelry|importocorp #7|ought|Unknown|1999|1|290.0654545454545455|105.93|643.46|248.19
Books|corpunivamalg #9|ought|Unknown|1999|4|202.2450000000000000|18.61|229.14|127.28
Home|corpnameless #6|ought|Unknown|1999|6|196.0066666666666667|13.16|198.16|270.35
Music|amalgscholar #1|ought|Unknown|1999|5|353.5233333333333333|174.54|136.90|180.25
Home|edu packbrand #3|ought|Unknown|1999|1|197.3933333333333333|20.83|739.15|65.73
Music|exportischolar #2|ought|Unknown|1999|3|398.8700000000000000|222.77|369.30|185.68
Music|amalgscholar #1|ought|Unknown|1999|6|353.5233333333333333|180.25|174.54|241.10
Shoes|importoedu pack #1|ought|Unknown|1999|2|177.1975000000000000|4.51|216.44|84.30
Electronics|scholarunivamalg #6|ought|Unknown|1999|6|192.8427272727272727|20.31|164.25|128.36
Electronics|corpunivamalg #11|ought|Unknown|1999|8|208.7175000000000000|36.27|156.22|163.72
Children|importoexporti #1|ought|Unknown|1999|2|335.7791666666666667|163.57|189.20|166.74
Home|edu packbrand #3|ought|Unknown|1999|6|197.3933333333333333|25.99|64.80|211.20
Sports|scholarmaxi #2|ought|Unknown|1999|7|189.2272727272727273|18.07|22.69|202.72
Sports|maxinameless #5|ought|Unknown|1999|2|179.1645454545454545|8.84|180.87|179.40
Books|scholarunivamalg #8|ought|Unknown|1999|7|383.8533333333333333|213.62|232.19|256.80
Children|importoexporti #1|ought|Unknown|1999|3|335.7791666666666667|166.74|163.57|274.51
Sports|brandnameless #5|ought|Unknown|1999|6|171.6925000000000000|3.51|99.13|79.58
Shoes|exportiedu pack #1|ought|Unknown|1999|7|780.1891666666666667|612.27|245.55|1125.36
Sports|brandnameless #5|ought|Unknown|1999|2|171.6925000000000000|4.91|297.68|19.78
Sports|scholarmaxi #2|ought|Unknown|1999|6|189.2272727272727273|22.69|23.64|18.07
Men|amalgimporto #2|ought|Unknown|1999|2|429.6091666666666667|263.18|211.03|190.98
