item_sk|d_date|web_sales|store_sales|web_cumulative|store_cumulative
1|2000-01-03|49.67|0.20|49.67|0.20
7|2000-01-23|181.88|NULL|181.88|146.39
7|2000-02-04|239.65|NULL|239.65|230.60
8|2000-01-23|74.99|NULL|74.99|63.42
11|2000-01-23|223.53|NULL|223.53|100.29
11|2000-01-28|NULL|170.80|223.53|170.80
11|2000-02-04|278.55|NULL|278.55|170.80
11|2000-02-07|NULL|250.35|278.55|250.35
11|2000-02-27|NULL|263.55|278.55|263.55
11|2000-05-25|457.11|NULL|457.11|451.20
11|2000-05-30|516.04|NULL|516.04|451.20
11|2000-06-13|NULL|455.49|516.04|455.49
13|2000-01-06|NULL|38.27|215.37|38.27
13|2000-01-08|NULL|110.91|215.37|110.91
13|2000-01-12|NULL|153.25|215.37|153.25
13|2000-02-28|273.82|NULL|273.82|246.46
13|2000-03-01|NULL|256.92|273.82|256.92
19|2000-01-06|NULL|0.00|97.20|0.00
19|2000-01-13|NULL|45.54|97.20|45.54
19|2000-01-28|NULL|45.54|97.20|45.54
19|2000-02-07|NULL|55.97|97.20|55.97
19|2000-02-28|113.06|NULL|113.06|55.97
20|2000-01-23|77.39|NULL|77.39|29.75
20|2000-05-30|399.35|NULL|399.35|373.70
23|2000-02-02|14.07|NULL|14.07|3.21
23|2000-02-20|NULL|13.96|14.07|13.96
32|2000-02-04|126.47|NULL|126.47|52.95
38|2000-01-07|NULL|27.58|34.37|27.58
38|2000-01-17|NULL|30.75|34.37|30.75
38|2000-02-28|147.32|NULL|147.32|82.84
38|2000-03-11|NULL|107.74|147.32|107.74
44|2000-02-01|105.14|NULL|105.14|95.40
47|2000-01-03|204.35|NULL|204.35|122.62
47|2000-01-06|NULL|124.16|204.35|124.16
47|2000-01-13|NULL|124.98|204.35|124.98
47|2000-01-20|NULL|133.97|204.35|133.97
50|2000-01-06|NULL|97.72|148.98|97.72
50|2000-01-19|NULL|104.26|148.98|104.26
50|2000-01-29|169.86|NULL|169.86|104.26
50|2000-02-08|NULL|149.80|169.86|149.80
50|2000-02-16|NULL|151.55|169.86|151.55
50|2000-02-28|234.42|NULL|234.42|192.02
50|2000-03-01|NULL|193.26|234.42|193.26
50|2000-03-10|NULL|194.62|234.42|194.62
50|2000-04-19|NULL|216.06|234.42|216.06
50|2000-04-25|273.25|NULL|273.25|216.06
50|2000-04-29|NULL|217.00|273.25|217.00
50|2000-05-02|278.87|NULL|278.87|217.00
50|2000-05-15|433.18|NULL|433.18|291.83
50|2000-05-22|NULL|312.96|433.18|312.96
50|2000-06-10|NULL|321.30|433.18|321.30
50|2000-06-26|NULL|377.76|433.18|377.76
50|2000-06-30|NULL|404.21|433.18|404.21
53|2000-02-02|62.47|NULL|62.47|59.57
56|2000-01-06|NULL|11.41|110.40|11.41
62|2000-01-28|NULL|2.29|86.61|2.29
62|2000-01-29|177.44|NULL|177.44|2.29
62|2000-02-05|NULL|15.60|177.44|15.60
62|2000-02-07|NULL|28.81|177.44|28.81
62|2000-02-21|NULL|54.49|177.44|54.49
62|2000-02-24|NULL|58.26|177.44|58.26
62|2000-02-28|189.05|NULL|189.05|58.26
62|2000-03-05|NULL|63.19|189.05|63.19
62|2000-03-26|NULL|72.24|189.05|72.24
62|2000-04-22|NULL|76.07|189.05|76.07
62|2000-04-25|356.03|NULL|356.03|76.07
62|2000-04-28|NULL|159.79|356.03|159.79
62|2000-05-01|NULL|161.04|356.03|161.04
62|2000-05-02|365.24|NULL|365.24|161.04
62|2000-05-11|NULL|212.80|365.24|212.80
62|2000-05-15|393.79|NULL|393.79|212.80
62|2000-05-22|NULL|253.38|393.79|253.38
62|2000-06-19|NULL|355.16|393.79|355.16
62|2000-06-26|NULL|369.20|393.79|369.20
89|2000-01-03|156.24|NULL|156.24|47.35
89|2000-01-06|NULL|72.24|156.24|72.24
89|2000-01-13|NULL|142.00|156.24|142.00
91|2000-01-02|99.10|66.50|99.10|66.50
91|2000-01-06|NULL|96.22|99.10|96.22
92|2000-02-02|80.98|NULL|80.98|55.60
98|2000-02-28|180.36|NULL|180.36|166.58
103|2000-01-23|97.30|NULL|97.30|83.02
104|2000-02-01|52.42|NULL|52.42|19.47
107|2000-01-06|NULL|42.56|129.74|42.56
107|2000-01-08|NULL|68.81|129.74|68.81
107|2000-01-14|NULL|71.85|129.74|71.85
107|2000-03-02|148.85|77.43|148.85|77.43
107|2000-03-05|NULL|108.23|148.85|108.23
113|2000-01-06|NULL|29.89|86.14|29.89
113|2000-01-28|NULL|33.94|86.14|33.94
113|2000-02-05|NULL|38.93|86.14|38.93
113|2000-02-07|NULL|75.32|86.14|75.32
113|2000-02-28|122.39|NULL|122.39|103.94
113|2000-03-05|NULL|106.61|122.39|106.61
113|2000-03-26|NULL|108.17|122.39|108.17
121|2000-01-06|NULL|1.52|151.03|1.52
121|2000-01-12|NULL|23.71|151.03|23.71
121|2000-01-13|NULL|24.59|151.03|24.59
121|2000-01-21|NULL|104.74|151.03|104.74
121|2000-01-29|261.33|NULL|261.33|104.74
