i_category|i_brand|cc_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Shoes|exportiedu pack #1|NY Metro|1999|4|7.290833|3.16|5.52|7.88
Men|amalgimporto #2|NY Metro|1999|1|4.077500|0.30|7.40|1.58
Children|edu packexporti #2|NY Metro|1999|1|4.055833|0.30|4.19|1.42
Men|edu packimporto #1|NY Metro|1999|7|9.671667|6.25|7.79|10.19
Music|amalgscholar #1|NY Metro|1999|1|3.529167|0.19|9.18|4.97
Shoes|edu packedu pack #1|NY Metro|1999|9|6.640833|3.32|5.80|4.16
Children|amalgexporti #1|NY Metro|1999|8|5.212500|1.93|4.98|5.55
Shoes|exportiedu pack #1|NY Metro|1999|2|7.290833|4.06|8.04|5.52
Men|edu packimporto #1|NY Metro|1999|5|9.671667|6.56|7.76|7.79
Women|amalgamalg #1|NY Metro|1999|1|3.475000|0.49|7.89|4.73
Shoes|exportiedu pack #1|NY Metro|1999|6|7.290833|4.31|7.88|6.55
Women|importoamalg #1|NY Metro|1999|7|5.574167|2.61|4.18|5.53
Men|amalgimporto #2|NY Metro|1999|3|4.077500|1.15|1.58|4.89
Men|edu packimporto #1|NY Metro|1999|1|9.671667|6.78|21.47|9.68
Children|edu packexporti #2|NY Metro|1999|9|4.055833|1.23|5.08|4.52
Music|exportischolar #2|NY Metro|1999|4|5.000000|2.29|6.70|4.07
Music|amalgscholar #1|NY Metro|1999|10|3.529167|0.82|2.10|7.40
Men|amalgimporto #2|NY Metro|1999|6|4.077500|1.44|2.93|3.63
Children|edu packexporti #2|NY Metro|1999|2|4.055833|1.42|0.30|1.88
Children|edu packexporti #2|NY Metro|1999|5|4.055833|1.48|4.73|4.00
Women|importoamalg #1|NY Metro|1999|1|5.574167|3.06|8.48|4.92
Men|amalgimporto #2|NY Metro|1999|2|4.077500|1.58|0.30|1.15
Shoes|edu packedu pack #1|NY Metro|1999|10|6.640833|4.16|3.32|10.64
Shoes|importoedu pack #1|NY Metro|1999|6|2.844000|0.40|3.42|3.84
Books|scholarunivamalg #8|NY Metro|1999|6|2.851818|0.50|3.68|0.64
Children|amalgexporti #1|NY Metro|1999|4|5.212500|2.91|4.31|7.83
Children|importoexporti #1|NY Metro|1999|10|3.846667|1.55|5.26|4.65
Shoes|edu packedu pack #1|NY Metro|1999|2|6.640833|4.41|6.17|11.56
Books|scholarunivamalg #8|NY Metro|1999|7|2.851818|0.64|0.50|1.80
Women|edu packamalg #2|NY Metro|1999|10|3.438333|1.24|2.12|5.14
Men|edu packimporto #2|NY Metro|1999|3|4.079167|1.90|2.11|2.33
Children|edu packexporti #2|NY Metro|1999|3|4.055833|1.88|1.42|4.73
Books|exportiunivamalg #2|NY Metro|1999|7|3.945833|1.79|1.91|4.17
Electronics|maxiunivamalg #12|NY Metro|1999|10|2.228333|0.08|2.06|4.05
Women|amalgamalg #1|NY Metro|1999|4|3.475000|1.35|3.21|1.57
Sports|maxinameless #5|NY Metro|1999|6|2.644000|0.53|4.32|2.71
Children|exportiexporti #1|NY Metro|1999|5|2.930833|0.82|1.06|3.41
Children|amalgexporti #1|NY Metro|1999|10|5.212500|3.12|5.55|6.03
Books|brandmaxi #2|NY Metro|1999|4|2.165000|0.10|3.45|1.97
Books|brandmaxi #2|NY Metro|1999|10|2.165000|0.10|0.81|4.27
Books|exportiunivamalg #2|NY Metro|1999|6|3.945833|1.91|3.91|1.79
Electronics|corpamalgamalg #12|NY Metro|1999|6|2.014545|0.04|0.40|1.66
Men|edu packimporto #2|NY Metro|1999|2|4.079167|2.11|3.97|1.90
