i_category|i_class|i_brand|i_product_name|d_year|d_qoy|d_moy|s_store_id|sumsales|rk
Books|arts|amalgmaxi #12|antipri|2000|3|9|AAAAAAAABAAAAAAA|304.72|73
Books|arts|amalgmaxi #12|antipri|2000|3|9|NULL|304.72|73
Books|arts|amalgmaxi #12|antipri|2000|3|NULL|NULL|486.15|53
Books|arts|amalgmaxi #12|antipri|2000|4|NULL|NULL|403.46|61
Books|arts|amalgmaxi #12|antipri|2000|NULL|NULL|NULL|1081.05|25
Books|arts|amalgmaxi #12|antipri|NULL|NULL|NULL|NULL|1081.05|25
Books|arts|amalgmaxi #12|ationbarought|2000|4|NULL|NULL|378.44|65
Books|arts|amalgmaxi #12|ationbarought|2000|NULL|NULL|NULL|836.92|45
Books|arts|amalgmaxi #12|ationbarought|NULL|NULL|NULL|NULL|836.92|45
Books|arts|amalgmaxi #12|NULL|NULL|NULL|NULL|NULL|1917.97|6
Books|arts|NULL|NULL|NULL|NULL|NULL|NULL|1917.97|6
Books|fiction|scholarunivamalg #2|ationn st|2000|3|NULL|NULL|264.57|83
Books|fiction|scholarunivamalg #2|ationn st|2000|4|NULL|NULL|393.03|63
Books|fiction|scholarunivamalg #2|ationn st|2000|NULL|NULL|NULL|873.13|41
Books|fiction|scholarunivamalg #2|ationn st|NULL|NULL|NULL|NULL|873.13|41
Books|fiction|scholarunivamalg #2|NULL|NULL|NULL|NULL|NULL|873.13|41
Books|fiction|scholarunivamalg #8|ationcally|2000|3|8|AAAAAAAABAAAAAAA|288.34|79
Books|fiction|scholarunivamalg #8|ationcally|2000|3|8|NULL|288.34|79
Books|fiction|scholarunivamalg #8|ationcally|2000|3|9|AAAAAAAABAAAAAAA|243.64|91
Books|fiction|scholarunivamalg #8|ationcally|2000|3|9|NULL|243.64|91
Books|fiction|scholarunivamalg #8|ationcally|2000|3|NULL|NULL|599.87|49
Books|fiction|scholarunivamalg #8|ationcally|2000|4|11|AAAAAAAABAAAAAAA|238.25|95
Books|fiction|scholarunivamalg #8|ationcally|2000|4|11|NULL|238.25|95
Books|fiction|scholarunivamalg #8|ationcally|2000|4|12|AAAAAAAABAAAAAAA|360.61|68
Books|fiction|scholarunivamalg #8|ationcally|2000|4|12|NULL|360.61|68
Books|fiction|scholarunivamalg #8|ationcally|2000|4|NULL|NULL|768.05|47
Books|fiction|scholarunivamalg #8|ationcally|2000|NULL|NULL|NULL|1607.88|8
Books|fiction|scholarunivamalg #8|ationcally|NULL|NULL|NULL|NULL|1607.88|8
Books|fiction|scholarunivamalg #8|n stpriought|2000|4|12|AAAAAAAABAAAAAAA|346.92|70
Books|fiction|scholarunivamalg #8|n stpriought|2000|4|12|NULL|346.92|70
Books|fiction|scholarunivamalg #8|n stpriought|2000|4|NULL|NULL|562.62|50
Books|fiction|scholarunivamalg #8|n stpriought|2000|NULL|NULL|NULL|1084.68|23
Books|fiction|scholarunivamalg #8|n stpriought|NULL|NULL|NULL|NULL|1084.68|23
Books|fiction|scholarunivamalg #8|NULL|NULL|NULL|NULL|NULL|2692.56|4
Books|fiction|NULL|NULL|NULL|NULL|NULL|NULL|3565.69|2
Books|mystery|corpunivamalg #9|esebarought|2000|3|9|AAAAAAAABAAAAAAA|240.88|93
Books|mystery|corpunivamalg #9|esebarought|2000|3|9|NULL|240.88|93
Books|mystery|corpunivamalg #9|esebarought|2000|3|NULL|NULL|368.31|67
Books|mystery|corpunivamalg #9|esebarought|2000|4|11|AAAAAAAABAAAAAAA|295.19|75
