channel|col_name|d_year|d_qoy|i_category|sales_cnt|sales_amt
catalog|cs_ship_addr_sk|1998|1|Music|2|2289.60
catalog|cs_ship_addr_sk|1998|1|Sports|1|20528.20
catalog|cs_ship_addr_sk|1998|1|Women|1|NULL
catalog|cs_ship_addr_sk|1998|2|Books|1|1699.70
catalog|cs_ship_addr_sk|1998|2|Jewelry|1|NULL
catalog|cs_ship_addr_sk|1998|2|Music|1|7169.65
catalog|cs_ship_addr_sk|1998|2|Shoes|1|NULL
catalog|cs_ship_addr_sk|1998|2|Sports|1|5081.44
catalog|cs_ship_addr_sk|1998|2|Women|1|NULL
catalog|cs_ship_addr_sk|1998|3|Music|1|9168.75
catalog|cs_ship_addr_sk|1998|3|Sports|1|411.07
catalog|cs_ship_addr_sk|1998|4|Books|1|NULL
catalog|cs_ship_addr_sk|1998|4|Children|2|37.34
catalog|cs_ship_addr_sk|1998|4|Music|2|NULL
catalog|cs_ship_addr_sk|1998|4|Shoes|2|783.30
catalog|cs_ship_addr_sk|1998|4|Women|1|NULL
catalog|cs_ship_addr_sk|1999|1|Home|1|5616.97
catalog|cs_ship_addr_sk|1999|1|Jewelry|1|NULL
catalog|cs_ship_addr_sk|1999|1|Men|1|1739.66
catalog|cs_ship_addr_sk|1999|3|Men|1|NULL
catalog|cs_ship_addr_sk|1999|3|Music|1|988.68
catalog|cs_ship_addr_sk|1999|4|Electronics|2|NULL
catalog|cs_ship_addr_sk|1999|4|Jewelry|1|279.00
catalog|cs_ship_addr_sk|1999|4|Music|1|NULL
catalog|cs_ship_addr_sk|2000|1|Home|1|NULL
catalog|cs_ship_addr_sk|2000|1|Sports|1|2254.92
catalog|cs_ship_addr_sk|2000|2|Children|1|1485.80
catalog|cs_ship_addr_sk|2000|3|Books|2|5168.32
catalog|cs_ship_addr_sk|2000|3|Electronics|1|2587.99
catalog|cs_ship_addr_sk|2000|3|Jewelry|1|NULL
catalog|cs_ship_addr_sk|2000|3|Men|1|NULL
catalog|cs_ship_addr_sk|2000|4|Books|2|16150.28
catalog|cs_ship_addr_sk|2000|4|Children|1|NULL
catalog|cs_ship_addr_sk|2000|4|Jewelry|1|6325.48
catalog|cs_ship_addr_sk|2000|4|Women|1|264.06
catalog|cs_ship_addr_sk|2001|1|Home|1|NULL
catalog|cs_ship_addr_sk|2001|1|Jewelry|2|NULL
catalog|cs_ship_addr_sk|2001|2|Books|1|NULL
catalog|cs_ship_addr_sk|2001|2|Men|1|NULL
catalog|cs_ship_addr_sk|2001|3|Men|1|NULL
store|ss_store_sk|1998|1|Books|1|871.53
store|ss_store_sk|1998|1|Children|2|867.00
store|ss_store_sk|1998|1|Electronics|3|7282.98
store|ss_store_sk|1998|1|Home|1|NULL
store|ss_store_sk|1998|1|Jewelry|1|886.20
store|ss_store_sk|1998|1|Men|2|646.47
store|ss_store_sk|1998|1|Music|1|NULL
store|ss_store_sk|1998|1|Shoes|1|1343.70
store|ss_store_sk|1998|1|Sports|1|NULL
store|ss_store_sk|1998|1|Women|1|10.40
store|ss_store_sk|1998|2|Books|1|194.74
store|ss_store_sk|1998|2|Children|2|4729.52
store|ss_store_sk|1998|2|Electronics|3|5300.20
store|ss_store_sk|1998|2|Home|1|2103.30
store|ss_store_sk|1998|2|Jewelry|1|91.05
store|ss_store_sk|1998|2|Men|8|2556.76
store|ss_store_sk|1998|2|Music|1|NULL
store|ss_store_sk|1998|2|Shoes|2|1867.70
store|ss_store_sk|1998|2|Women|1|NULL
store|ss_store_sk|1998|3|Books|4|694.10
store|ss_store_sk|1998|3|Children|1|NULL
store|ss_store_sk|1998|3|Electronics|3|3678.07
store|ss_store_sk|1998|3|Jewelry|3|8157.96
store|ss_store_sk|1998|3|Men|3|NULL
store|ss_store_sk|1998|3|Music|3|271.86
store|ss_store_sk|1998|3|Shoes|4|660.66
store|ss_store_sk|1998|3|Sports|3|401.28
store|ss_store_sk|1998|3|Women|3|2010.66
store|ss_store_sk|1998|4|Books|1|NULL
store|ss_store_sk|1998|4|Children|4|2823.15
store|ss_store_sk|1998|4|Electronics|4|4038.10
store|ss_store_sk|1998|4|Home|7|15817.60
store|ss_store_sk|1998|4|Jewelry|8|7116.74
store|ss_store_sk|1998|4|Men|9|5740.95
store|ss_store_sk|1998|4|Music|5|2082.96
store|ss_store_sk|1998|4|Shoes|6|9341.28
store|ss_store_sk|1998|4|Sports|8|9498.25
store|ss_store_sk|1998|4|Women|5|3787.40
store|ss_store_sk|1999|1|Books|1|NULL
store|ss_store_sk|1999|1|Children|2|5272.61
store|ss_store_sk|1999|1|Home|3|8681.23
store|ss_store_sk|1999|1|Jewelry|1|6557.85
store|ss_store_sk|1999|1|Men|4|3310.64
store|ss_store_sk|1999|1|Music|2|NULL
store|ss_store_sk|1999|1|Shoes|1|328.32
store|ss_store_sk|1999|1|Sports|2|2195.20
store|ss_store_sk|1999|1|Women|4|1770.61
store|ss_store_sk|1999|2|Books|1|50.22
store|ss_store_sk|1999|2|Children|4|39.96
store|ss_store_sk|1999|2|Home|2|1047.48
store|ss_store_sk|1999|2|Jewelry|3|5094.80
store|ss_store_sk|1999|2|Men|2|1394.26
store|ss_store_sk|1999|2|Music|1|34.00
store|ss_store_sk|1999|2|Shoes|1|NULL
store|ss_store_sk|1999|2|Sports|4|2539.20
store|ss_store_sk|1999|2|Women|3|119.34
store|ss_store_sk|1999|3|Books|3|NULL
store|ss_store_sk|1999|3|Children|5|5431.18
store|ss_store_sk|1999|3|Electronics|2|5928.00
store|ss_store_sk|1999|3|Home|2|4870.41
