ss_sold_year|ss_item_sk|ss_customer_sk|ratio|store_qty|store_wholesale_cost|store_sales_price|other_chan_qty|other_chan_wholesale_cost|other_chan_sales_price
2000|1|17|1.84|92|42.04|46.49|50|97.29|79.40
2000|1|102|0.95|52|92.54|80.61|55|10.35|2.90
2000|1|656|0.21|7|90.00|67.12|34|37.40|37.09
2000|2|480|0.71|45|23.60|25.90|63|18.03|17.13
2000|5|99|0.09|8|49.55|32.85|92|134.71|163.29
2000|5|480|0.57|50|3.39|0.61|87|45.83|53.59
2000|7|912|0.68|66|41.64|63.70|97|59.16|130.04
2000|8|99|0.48|14|29.18|8.09|29|43.48|71.42
2000|8|325|0.86|54|83.44|44.68|63|37.87|50.55
2000|8|501|1.69|71|88.22|88.76|42|59.15|33.59
2000|8|568|5.69|91|106.86|72.31|16|88.70|22.13
2000|8|607|1.24|94|69.87|8.44|76|15.60|12.40
2000|8|937|4.00|32|28.49|43.91|8|35.73|79.14
2000|11|99|3.17|73|35.63|42.50|23|82.52|81.30
2000|11|344|0.98|79|55.29|9.50|81|60.39|6.55
2000|11|937|1.46|95|65.04|109.88|65|69.73|181.29
2000|14|107|0.56|56|14.00|3.35|100|88.42|44.86
2000|17|604|0.94|72|123.05|73.86|77|67.61|55.35
2000|17|665|0.34|10|54.29|71.17|29|29.05|6.83
2000|17|668|4.06|73|86.26|8.00|18|73.06|66.67
2000|17|710|0.23|15|58.10|48.10|65|96.14|100.82
2000|19|539|0.49|33|32.33|41.35|68|124.61|67.61
2000|19|566|0.61|53|80.97|85.69|87|80.36|84.40
2000|19|682|0.48|47|58.06|39.08|97|13.10|18.56
2000|19|922|26.50|53|32.46|10.43|2|36.78|51.51
2000|20|321|2.38|31|17.31|17.66|13|84.13|160.90
2000|20|501|0.30|10|4.27|1.33|33|12.91|0.30
2000|20|822|1.17|69|86.20|136.53|59|61.54|130.02
2000|25|665|0.11|7|31.24|17.68|65|85.15|143.04
2000|26|354|0.19|18|5.00|4.84|96|89.99|166.35
2000|26|498|0.40|24|57.11|26.55|60|85.59|76.73
2000|26|784|0.95|69|7.68|5.25|73|76.72|121.29
2000|26|878|2.07|58|7.20|4.41|28|53.28|28.79
2000|29|335|0.35|32|76.21|8.09|91|2.15|1.16
2000|29|501|1.76|86|37.64|18.80|49|95.25|65.69
2000|29|843|1.04|73|59.61|61.15|70|23.06|20.37
2000|29|994|0.53|16|94.38|60.13|30|1.47|1.36
2000|31|4|0.93|13|87.20|36.16|14|81.43|75.69
2000|31|182|0.38|29|66.79|45.75|77|51.10|66.77
2000|31|452|1.03|67|74.01|79.09|65|47.16|29.87
2000|31|797|1.17|68|54.67|16.40|58|83.23|74.15
2000|31|811|0.69|64|22.04|20.23|93|96.84|86.61
2000|31|847|0.85|39|5.06|2.09|46|39.69|11.38
2000|32|499|0.45|14|78.30|41.34|31|46.56|18.66
2000|32|526|3.38|98|73.01|12.70|29|37.96|72.46
2000|35|101|0.68|67|92.84|159.63|99|7.43|8.50
2000|37|434|0.66|35|66.97|50.92|53|56.72|83.66
2000|37|480|0.85|64|7.91|4.43|75|78.16|115.85
2000|38|393|0.89|51|59.78|39.21|57|51.37|21.18
2000|38|596|6.15|80|56.53|3.30|13|19.19|8.28
2000|41|101|0.91|70|61.92|99.52|77|51.86|50.65
2000|41|481|0.88|7|96.16|60.71|8|29.52|59.77
2000|43|603|0.55|42|96.87|4.01|76|44.44|45.68
2000|43|942|0.58|26|58.68|46.94|45|98.64|84.33
2000|44|382|6.21|87|6.91|1.38|14|81.32|40.08
2000|47|526|1.72|74|65.42|57.48|43|8.90|8.68
2000|49|354|0.61|60|75.68|67.84|99|48.12|60.79
2000|49|445|1.17|91|79.33|2.74|78|49.74|9.40
2000|50|193|2.41|94|63.22|32.52|39|1.80|1.71
2000|50|393|1.05|67|82.86|21.75|64|82.54|154.31
2000|50|985|0.26|24|17.04|8.34|93|20.29|33.41
2000|53|797|0.69|44|69.41|114.93|64|77.27|33.49
2000|53|811|1.18|84|78.58|75.59|71|23.80|18.35
2000|55|238|1.63|70|46.93|64.19|43|44.72|42.14
2000|55|370|1.34|82|1.44|1.00|61|97.61|137.03
2000|55|512|0.48|24|13.58|14.69|50|95.12|49.91
2000|55|684|0.07|2|79.29|46.31|28|46.22|36.24
2000|56|388|0.03|3|44.25|14.77|90|15.81|25.52
2000|56|638|1.37|59|76.30|33.13|43|4.27|7.88
2000|59|539|0.19|16|84.54|82.24|85|62.07|66.90
2000|61|495|1.44|49|84.29|47.34|34|56.10|52.30
2000|61|602|0.13|7|57.58|54.01|52|65.10|28.35
2000|61|684|0.53|51|5.35|1.50|97|63.81|16.25
2000|61|982|0.09|7|26.83|25.22|74|43.88|69.07
2000|62|498|0.30|27|55.17|36.57|89|2.42|2.17
2000|65|169|NULL|NULL|93.06|109.67|5|36.69|51.72
2000|65|182|4.67|56|19.06|12.63|12|98.17|137.55
2000|65|928|0.48|25|13.75|5.51|52|57.55|32.87
2000|65|933|0.86|79|86.28|132.10|92|94.69|187.89
2000|67|94|2.50|35|28.17|13.23|14|39.29|37.31
2000|67|761|12.20|61|20.72|9.13|5|27.61|25.35
2000|67|841|1.01|79|41.08|29.17|78|25.77|34.78
2000|67|878|0.83|76|22.82|14.77|92|82.50|100.75
2000|68|37|0.10|9|94.94|67.67|91|74.13|130.52
2000|68|65|2.76|69|15.89|4.09|25|25.80|22.95
2000|68|122|1.95|76|28.79|1.18|39|17.33|22.92
2000|68|375|2.88|95|30.91|20.69|33|84.01|46.92
2000|68|391|5.64|62|53.06|37.93|11|25.78|37.76
2000|68|808|2.28|41|25.44|0.45|18|89.72|117.53
2000|71|668|0.89|65|43.58|8.59|73|68.38|9.23
2000|73|596|3.70|74|69.38|6.32|20|88.71|1.33
2000|74|256|1.63|62|18.80|8.98|38|38.50|4.19
2000|74|377|0.81|42|27.94|3.13|52|79.76|147.75
2000|74|467|1.93|52|15.07|17.33|27|91.18|49.89
2000|74|537|0.84|51|8.83|1.23|61|28.28|34.82
2000|74|656|0.67|26|21.87|8.61|39|49.50|87.64
2000|74|666|2.83|85|77.46|80.86|30|33.16|25.38
2000|74|684|1.70|85|87.17|57.79|50|31.73|0.51
2000|74|802|1.23|43|67.60|1.52|35|43.76|24.83
2000|74|861|2.48|72|34.53|38.57|29|27.79|23.08
