c_last_name|c_first_name|main."substring"(s_city, 1, 30)|ss_ticket_number|amt|profit
NULL|NULL|Midway|471|2031.80|-8262.61
NULL|NULL|Midway|373|763.26|-6479.27
Adams|Matilde|Midway|1947|2358.31|-8518.66
Amos|Ima|Midway|1837|120.65|-5450.26
Ball|Steven|Midway|2238|98.71|-3467.89
Bass|Valerie|Midway|1411|0.00|-17016.07
Benitez|Michele|Midway|2008|628.35|-5026.60
Benitez|Michele|Midway|2008|447.93|-2761.02
Black|Margaret|Midway|952|10707.47|-13376.43
Bryant|Rosemary|Midway|534|79.68|-7065.29
Buchanan|Theresa|Midway|1558|9667.13|-9509.11
Burch|James|Midway|234|372.71|-2881.33
Butcher|Bruno|Midway|740|132.83|-7579.82
Butler|Claudia|Midway|187|319.98|2546.39
Carlson|Maxine|Midway|1256|632.52|-16983.12
Carlton|Gloria|Midway|362|545.72|-12767.12
Carter|Debra|Midway|62|6026.87|-10441.95
Child|Hellen|Midway|2076|2736.24|178.93
Contreras|Joni|Midway|485|5608.60|-13830.80
Crowley|Francis|Midway|221|6359.95|-7921.07
Cunningham|Bonnie|Midway|2267|1446.57|-9164.03
Davis|Chris|Midway|519|469.26|-10880.20
Davis|Chris|Midway|519|0.00|-270.57
Davis|Wanda|Midway|1152|60.78|-6788.81
Dawkins|Steven|Midway|2029|21.92|-12237.81
Delgado|Brenda|Midway|1891|3418.70|-6730.22
Derr|Joanne|Midway|1224|108.61|-14.40
Flores|William|Midway|576|2066.90|-5678.62
Foster|NULL|Midway|1167|6866.55|-16903.10
Godfrey|Cameron|Midway|2128|2836.93|-11398.40
Holden|Earl|Midway|1140|1252.70|-6093.26
Horn|Elizabeth|Midway|2388|1219.58|-671.84
Jackson|John|Midway|1057|7875.93|-27238.68
Johnson|Douglas|Midway|2394|636.78|-8155.32
Johnson|Rebecca|Midway|204|0.00|-12695.11
Kelly|Betty|Midway|156|8302.12|-16116.20
Kuhn|Annie|Midway|1531|4205.94|-23398.77
Labbe|Aaron|Midway|2326|2040.68|-15667.59
Larson|Kizzie|Midway|2223|845.08|-6192.22
Lee|NULL|Midway|313|92.88|-1384.59
Long|Angela|Midway|1127|528.78|-14016.69
Marsh|Ronald|Midway|2329|1138.92|-6770.09
Mason|Lance|Midway|1278|202.31|-15447.44
Mcdowell|Terry|Midway|1017|625.00|-7494.60
Moran|Robert|Midway|467|251.27|-5359.51
Muller|Yolonda|Midway|2375|0.00|-4221.55
Munoz|Leonard|Midway|1223|224.95|-14337.34
Neeley|David|Midway|2340|1403.37|-7752.96
Nelson|Eleanor|Midway|1066|1715.17|-15500.82
Palmer|Kevin|Midway|1089|4657.57|-7225.62
Patterson|Robert|Midway|2014|1790.50|-1705.46
Porter|Joseph|Midway|1019|17.10|95.62
Ramirez|Salvador|Midway|1889|4807.88|-8333.64
Robinson|Charles|Midway|979|5324.88|-20299.73
Rojas|Ida|Midway|1490|2776.33|-12473.60
Rojas|Ida|Midway|380|1352.01|1381.66
Roman|Karen|Midway|1666|1551.62|-19541.78
Ruffin|Stewart|Midway|2148|NULL|NULL
Ruffin|Stewart|Midway|2148|118.65|-2212.44
Ruiz|Robert|Midway|1335|644.03|-3151.38
Rutherford|Adela|Midway|955|2244.79|-19778.94
Sandlin|Eduardo|Midway|383|0.00|NULL
Sandlin|Eduardo|Midway|383|16.98|87.92
Saunders|David|Midway|2018|29.76|-22410.59
Schneider|Dwight|Midway|1385|4217.58|-17619.81
Shipley|Fred|Midway|2001|482.08|-4115.33
Silva|Anthony|Midway|1410|635.78|-8312.20
Smith|Marjorie|Midway|872|2513.29|-18806.37
Solomon|Sunshine|Midway|2308|32.70|-10588.31
Stephens|Max|Midway|830|93.69|1501.66
Thames|John|Midway|1235|2479.19|-8023.17
Thompson|Lan|Midway|621|0.86|-8725.23
Tiller|Noemi|Midway|2144|4597.72|-11403.56
Tillery|Cristy|Midway|511|5001.61|-11851.30
Warren|Amy|Midway|821|0.00|-13930.23
Warren|Thomas|Midway|661|0.00|-18863.32
Welch|Janet|Midway|1563|3118.81|-7490.53
Welsh|Cherise|Midway|1809|0.00|NULL
Welsh|Cherise|Midway|1809|8024.47|-13118.02
White|Alexander|Midway|349|386.87|-5326.56
White|Kevin|Midway|2114|4354.20|-1004.42
White|Michael|Midway|249|9.15|-4494.38
Wiles|Fonda|Midway|403|0.00|NULL
Wiles|Fonda|Midway|403|622.58|676.76
Wilkins|Jill|Midway|1574|8.71|-3718.25
Williams|Steven|Midway|798|10900.96|-30256.79
Wilson|Edna|Midway|1266|13.94|-580.15
Wilson|Joseph|Midway|1938|2779.54|-16354.87
Wright|Evelyn|Midway|361|122.23|-1519.66
