total_sum|i_category|i_class|lochierarchy|rank_within_parent
29338.91|NULL|NULL|2|1
4441.41|Men|NULL|1|1
4368.28|Women|NULL|1|2
4006.43|Books|NULL|1|3
3094.90|Music|NULL|1|4
3013.87|Jewelry|NULL|1|5
2835.64|Electronics|NULL|1|6
2171.52|Children|NULL|1|7
2039.95|Home|NULL|1|8
1849.71|Sports|NULL|1|9
1517.20|Shoes|NULL|1|10
1054.37|Books|self-help|0|1
989.35|Books|fiction|0|2
682.09|Books|arts|0|3
354.11|Books|parenting|0|4
318.41|Books|mystery|0|5
278.60|Books|reference|0|6
198.99|Books|travel|0|7
130.51|Books|sports|0|8
1048.59|Children|toddlers|0|1
692.30|Children|school-uniforms|0|2
430.63|Children|newborn|0|3
850.81|Electronics|musical|0|1
368.66|Electronics|wireless|0|2
368.47|Electronics|scanners|0|3
333.99|Electronics|televisions|0|4
250.13|Electronics|disk drives|0|5
246.55|Electronics|karoke|0|6
212.36|Electronics|memory|0|7
204.67|Electronics|dvd/vcr players|0|8
520.07|Home|curtains/drapes|0|1
385.61|Home|kids|0|2
337.72|Home|lighting|0|3
316.85|Home|bedding|0|4
251.63|Home|rugs|0|5
228.07|Home|furniture|0|6
613.56|Jewelry|estate|0|1
461.28|Jewelry|pendants|0|2
418.69|Jewelry|gold|0|3
374.59|Jewelry|diamonds|0|4
313.05|Jewelry|bracelets|0|5
312.86|Jewelry|semi-precious|0|6
293.58|Jewelry|jewelry boxes|0|7
226.26|Jewelry|costume|0|8
2315.04|Men|sports-apparel|0|1
1636.56|Men|accessories|0|2
288.25|Men|pants|0|3
201.56|Men|shirts|0|4
1390.67|Music|pop|0|1
762.00|Music|rock|0|2
530.99|Music|classical|0|3
411.24|Music|country|0|4
702.43|Shoes|womens|0|1
496.41|Shoes|kids|0|2
318.36|Shoes|athletic|0|3
533.59|Sports|hockey|0|1
451.89|Sports|outdoor|0|2
313.72|Sports|fishing|0|3
249.96|Sports|optics|0|4
189.33|Sports|guns|0|5
111.22|Sports|camping|0|6
1687.23|Women|swimwear|0|1
1116.49|Women|fragrances|0|2
978.59|Women|maternity|0|3
585.97|Women|dresses|0|4
