i_category|i_class|i_brand|s_store_name|s_company_name|d_moy|sum_sales|avg_monthly_sales
Women|dresses|amalgamalg #1|ought|Unknown|6|0.06|4.1725000000000000
Women|dresses|amalgamalg #1|ought|Unknown|1|1.74|4.1725000000000000
Women|dresses|amalgamalg #1|ought|Unknown|5|1.89|4.1725000000000000
Men|shirts|importoimporto #1|ought|Unknown|2|0.27|2.1145454545454545
Women|dresses|amalgamalg #1|ought|Unknown|7|2.34|4.1725000000000000
Women|dresses|amalgamalg #1|ought|Unknown|2|2.61|4.1725000000000000
Women|dresses|amalgamalg #1|ought|Unknown|3|2.83|4.1725000000000000
Women|dresses|amalgamalg #1|ought|Unknown|9|2.83|4.1725000000000000
Men|shirts|importoimporto #1|ought|Unknown|10|0.87|2.1145454545454545
Men|shirts|importoimporto #1|ought|Unknown|5|1.23|2.1145454545454545
Men|shirts|importoimporto #1|ought|Unknown|1|2.62|2.1145454545454545
Men|shirts|importoimporto #1|ought|Unknown|8|2.94|2.1145454545454545
Men|shirts|importoimporto #1|ought|Unknown|9|3.26|2.1145454545454545
Men|shirts|importoimporto #1|ought|Unknown|12|3.75|2.1145454545454545
Women|dresses|amalgamalg #1|ought|Unknown|8|6.98|4.1725000000000000
Women|dresses|amalgamalg #1|ought|Unknown|10|7.18|4.1725000000000000
Women|dresses|amalgamalg #1|ought|Unknown|11|8.84|4.1725000000000000
Women|dresses|amalgamalg #1|ought|Unknown|12|8.94|4.1725000000000000
