d_week_seq1|r1|r2|r3|r4|r5|r6|round
5270|3.52|2.20|1.74|1.60|3.01|3.89|3.47
5270|3.52|2.20|1.74|1.60|3.01|3.89|3.47
5270|3.52|2.20|1.74|1.60|3.01|3.89|3.47
5270|3.52|2.20|1.74|1.60|3.01|3.89|3.47
5270|3.52|2.20|1.74|1.60|3.01|3.89|3.47
5270|3.52|2.20|1.74|1.60|3.01|3.89|3.47
5270|3.52|2.20|1.74|1.60|3.01|3.89|3.47
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5271|1.07|0.89|0.93|1.14|1.34|1.07|1.22
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
5272|1.00|0.98|0.98|1.12|1.04|1.05|1.20
