d_year|brand_id|brand|sum_agg
1998|2001001|amalgimporto #1|60828.60
1998|5003001|exportischolar #1|50182.63
1998|3004001|edu packexporti #1|29036.38
1998|3001001|amalgexporti #1|28596.63
1998|1003001|exportiamalg #1|27087.35
1998|10010002|univamalgamalg #2|23921.88
1998|10001002|amalgunivamalg #2|23729.82
1998|7007010|brandbrand #10|22010.87
1998|5003002|exportischolar #2|21028.90
1998|1004001|edu packamalg #1|17509.46
1998|1001002|amalgamalg #2|17343.09
1998|5004001|edu packscholar #1|16821.72
1998|5001001|amalgscholar #1|15562.14
1998|3001002|amalgexporti #2|15324.42
1998|8001009|amalgnameless #9|12715.59
1998|7003009|exportibrand #9|12195.50
1998|6004008|edu packcorp #8|8227.95
1998|7009008|maxibrand #8|7927.26
1999|2001001|amalgimporto #1|50239.96
1999|10001002|amalgunivamalg #2|44299.74
1999|7003009|exportibrand #9|37320.24
1999|10010002|univamalgamalg #2|36264.59
1999|5003001|exportischolar #1|35395.69
1999|3001001|amalgexporti #1|34578.30
1999|3004001|edu packexporti #1|33844.98
1999|1004001|edu packamalg #1|33119.78
1999|1003001|exportiamalg #1|26393.05
1999|6004008|edu packcorp #8|25090.52
1999|7009008|maxibrand #8|19470.39
1999|1001002|amalgamalg #2|13937.28
1999|8001009|amalgnameless #9|11056.90
1999|5003002|exportischolar #2|10199.74
1999|3001002|amalgexporti #2|9441.01
1999|5004001|edu packscholar #1|9221.84
1999|5001001|amalgscholar #1|7284.55
1999|7007010|brandbrand #10|5907.19
2000|2001001|amalgimporto #1|33656.34
2000|3004001|edu packexporti #1|30286.46
2000|10008017|namelessunivamalg #17|24716.92
2000|5004001|edu packscholar #1|24124.11
2000|1001002|amalgamalg #2|23019.46
2000|1003001|exportiamalg #1|22118.29
2000|5003001|amalgunivamalg #2|21993.81
2000|8001009|importoexporti #2|20854.44
2000|3001002|amalgexporti #2|20722.82
2000|10001002|amalgunivamalg #2|19996.20
2000|7009008|maxibrand #8|18286.83
2000|7007010|brandbrand #10|15821.14
2000|6004008|edu packcorp #8|12630.70
2000|7003009|exportibrand #9|11507.62
2000|5003002|exportischolar #2|11218.38
2000|3001001|amalgexporti #1|8357.04
2000|1004001|edu packamalg #1|4689.54
2001|8001009|importoexporti #2|38858.06
2001|1001002|amalgamalg #2|37170.41
2001|3001002|amalgexporti #2|27291.55
2001|7007010|brandbrand #10|27050.79
2001|1003001|exportiamalg #2|25119.87
2001|10008017|namelessunivamalg #17|24395.94
2001|5003002|exportischolar #2|21633.46
2001|7011010|amalgnameless #10|20242.84
2001|5003001|amalgunivamalg #2|19480.04
2001|8004010|edu packnameless #10|16726.15
2001|6005001|edu packimporto #2|16009.26
2001|1004001|exportiexporti #2|15110.66
2001|5004001|edu packunivamalg #8|13565.13
2001|7009008|maxibrand #8|10468.51
2001|6004008|edu packcorp #8|9395.71
2001|2001001|exportischolar #2|6962.60
2001|4001001|scholaramalgamalg #15|6567.13
2001|3001001|importoscholar #2|4972.21
2002|3001002|amalgexporti #2|51572.97
2002|1001002|amalgamalg #2|42920.29
2002|7007010|brandbrand #10|30924.90
2002|4001001|scholaramalgamalg #15|30203.38
2002|2001001|exportischolar #2|28348.98
2002|10013016|exportiamalgamalg #16|26943.48
2002|7011010|amalgnameless #10|24795.77
2002|1004001|exportiexporti #2|24114.32
2002|8004010|edu packnameless #10|24049.49
2002|6005001|edu packimporto #2|23710.11
2002|10008017|amalgedu pack #1|22201.50
2002|5004001|edu packunivamalg #8|20416.83
2002|7009008|maxibrand #8|15793.33
2002|5003002|exportischolar #2|15697.35
2002|1003001|exportiamalg #2|14803.58
2002|5001001|amalgscholar #1|13457.88
2002|6004008|edu packcorp #8|13049.22
2002|3001001|importoscholar #2|9886.23
