channel|i_brand_id|i_class_id|i_category_id|sum_sales|number_sales
NULL|NULL|NULL|NULL|7055070.25|160457
catalog|NULL|NULL|NULL|2377309.99|46750
catalog|1001001|NULL|NULL|15722.68|347
catalog|1001001|1|NULL|7580.69|167
catalog|1001001|1|1|875.22|20
catalog|1001001|1|2|1129.86|27
catalog|1001001|1|3|69.56|3
catalog|1001001|1|4|1215.94|23
catalog|1001001|1|5|1101.22|25
catalog|1001001|1|6|52.68|3
catalog|1001001|1|7|455.36|9
catalog|1001001|1|8|716.90|13
catalog|1001001|1|9|1058.94|21
catalog|1001001|1|10|905.01|23
catalog|1001001|2|NULL|1549.18|25
catalog|1001001|2|2|344.07|7
catalog|1001001|2|3|1128.68|15
catalog|1001001|2|5|76.43|3
catalog|1001001|3|NULL|2180.44|45
catalog|1001001|3|1|116.72|5
catalog|1001001|3|2|459.22|14
catalog|1001001|3|4|168.32|4
catalog|1001001|3|5|63.60|1
catalog|1001001|3|6|340.45|7
catalog|1001001|3|7|561.94|7
catalog|1001001|3|8|310.24|4
catalog|1001001|3|9|159.95|3
catalog|1001001|4|NULL|1075.63|31
catalog|1001001|4|2|543.03|13
catalog|1001001|4|3|235.03|8
catalog|1001001|4|4|297.57|10
catalog|1001001|5|NULL|838.86|17
catalog|1001001|5|9|555.20|12
catalog|1001001|5|10|283.66|5
catalog|1001001|7|NULL|63.09|3
catalog|1001001|7|7|63.09|3
catalog|1001001|8|NULL|494.18|13
catalog|1001001|8|7|189.48|7
catalog|1001001|8|10|304.70|6
catalog|1001001|9|NULL|284.21|5
catalog|1001001|9|6|284.21|5
catalog|1001001|11|NULL|663.65|12
catalog|1001001|11|9|663.65|12
catalog|1001001|12|NULL|289.65|9
catalog|1001001|12|10|289.65|9
catalog|1001001|15|NULL|703.10|20
catalog|1001001|15|9|321.66|7
catalog|1001001|15|10|381.44|13
catalog|1001002|NULL|NULL|34533.90|715
catalog|1001002|1|NULL|25507.06|536
catalog|1001002|1|1|25507.06|536
catalog|1001002|2|NULL|1294.35|29
catalog|1001002|2|1|1294.35|29
catalog|1001002|3|NULL|4005.29|68
catalog|1001002|3|1|4005.29|68
catalog|1001002|4|NULL|959.22|21
catalog|1001002|4|1|959.22|21
catalog|1001002|5|NULL|403.26|9
catalog|1001002|5|1|403.26|9
catalog|1001002|6|NULL|80.65|4
catalog|1001002|6|1|80.65|4
catalog|1001002|7|NULL|439.79|10
catalog|1001002|7|1|439.79|10
catalog|1001002|8|NULL|538.52|13
catalog|1001002|8|1|538.52|13
catalog|1001002|9|NULL|152.60|4
catalog|1001002|9|1|152.60|4
catalog|1001002|12|NULL|512.28|7
catalog|1001002|12|1|512.28|7
catalog|1001002|15|NULL|239.05|6
catalog|1001002|15|1|239.05|6
catalog|1001002|16|NULL|401.83|8
catalog|1001002|16|1|401.83|8
catalog|1002001|NULL|NULL|19442.21|386
catalog|1002001|1|NULL|3190.63|55
catalog|1002001|1|1|495.21|14
catalog|1002001|1|2|1247.12|21
catalog|1002001|1|4|443.56|5
catalog|1002001|1|5|156.72|4
catalog|1002001|1|6|262.66|3
catalog|1002001|1|9|298.73|4
catalog|1002001|1|10|286.63|4
catalog|1002001|2|NULL|11420.11|225
catalog|1002001|2|1|2541.94|51
catalog|1002001|2|2|1515.41|26
catalog|1002001|2|3|845.73|17
catalog|1002001|2|4|481.81|13
catalog|1002001|2|5|595.03|10
catalog|1002001|2|6|1399.71|20
catalog|1002001|2|7|738.05|16
catalog|1002001|2|8|1176.80|24
catalog|1002001|2|9|1964.91|38
catalog|1002001|2|10|160.72|10
catalog|1002001|3|NULL|714.42|17
catalog|1002001|3|2|193.35|6
catalog|1002001|3|7|102.84|3
catalog|1002001|3|8|418.23|8
catalog|1002001|4|NULL|1830.81|37
catalog|1002001|4|1|942.09|15
catalog|1002001|4|3|284.56|7
