ca_zip|sum
30059|14.27
30069|5.43
30150|5.95
30162|19.40
30169|13.63
30191|3.57
30194|1.51
30309|1.49
30330|5.06
30399|2.10
30411|7.30
30492|2.30
30499|12.31
30525|3.17
30534|14.05
30587|1.57
31087|2.16
31289|6.27
31387|15.67
31675|2.82
31692|2.32
31711|2.99
31749|3.62
31757|18.45
31838|8.86
31952|10.20
32219|9.08
32293|6.07
32477|3.25
32565|2.83
32724|2.97
32739|9.75
32812|15.68
32898|10.80
33003|4.62
33075|2.01
33394|2.11
33451|16.58
33511|3.84
33604|22.29
33683|5.63
33951|10.54
34027|7.86
34062|5.16
34092|5.55
34098|9.65
34107|17.19
34136|3.98
34190|2.19
34244|11.45
34289|6.85
34338|17.12
34466|21.44
34536|3.73
34593|9.51
34854|7.05
34975|4.21
35038|3.48
35115|3.93
35124|12.06
35281|5.31
35413|2.94
35508|3.41
35709|6.87
35752|4.57
35804|9.56
35817|23.96
35867|9.19
36060|0.78
36074|2.28
36098|9.39
36115|5.85
36192|8.56
36523|3.81
36534|18.40
36557|17.58
36614|20.07
36668|5.77
36719|9.75
36787|4.18
36867|9.50
36871|7.80
36971|8.53
37057|25.53
37683|7.86
37746|21.27
37838|12.61
38014|3.08
38048|12.04
38054|13.84
38075|8.90
38119|1.97
38222|26.27
38354|29.03
38370|16.57
38371|5.29
38579|5.42
38605|2.47
38721|28.17
38828|2.99
