i_item_id|ca_country|ca_state|ca_county|agg1|agg2|agg3|agg4|agg5|agg6|agg7
AAAAAAAAAABAAAAA|United States|MS|Holmes County|64.0|146.03|0.0|106.6|1715.2|1930.0|0.0
AAAAAAAAAABAAAAA|United States|MS|NULL|64.0|146.03|0.0|106.6|1715.2|1930.0|0.0
AAAAAAAAAABAAAAA|United States|NULL|NULL|64.0|146.03|0.0|106.6|1715.2|1930.0|0.0
AAAAAAAAAABAAAAA|NULL|NULL|NULL|64.0|146.03|0.0|106.6|1715.2|1930.0|0.0
AAAAAAAAAABDAAAA|United States|NM|San Juan County|27.0|176.57|421.88|104.17|335.74|1937.0|5.0
AAAAAAAAAABDAAAA|United States|NM|NULL|27.0|176.57|421.88|104.17|335.74|1937.0|5.0
AAAAAAAAAABDAAAA|United States|VA|Lancaster County|45.0|98.9|0.0|67.25|778.5|1970.0|1.0
AAAAAAAAAABDAAAA|United States|VA|NULL|45.0|98.9|0.0|67.25|778.5|1970.0|1.0
AAAAAAAAAABDAAAA|United States|NULL|NULL|36.0|137.735|210.94|85.71|557.12|1953.5|3.0
AAAAAAAAAABDAAAA|NULL|NULL|NULL|36.0|137.735|210.94|85.71|557.12|1953.5|3.0
AAAAAAAAAADBAAAA|United States|MS|Lamar County|97.0|16.11|0.0|14.01|369.57|1949.0|6.0
AAAAAAAAAADBAAAA|United States|MS|NULL|97.0|16.11|0.0|14.01|369.57|1949.0|6.0
AAAAAAAAAADBAAAA|United States|NULL|NULL|97.0|16.11|0.0|14.01|369.57|1949.0|6.0
AAAAAAAAAADBAAAA|NULL|NULL|NULL|97.0|16.11|0.0|14.01|369.57|1949.0|6.0
AAAAAAAAAADCAAAA|United States|OK|Johnston County|35.0|157.65|0.0|50.44|-1233.4|1925.0|5.0
AAAAAAAAAADCAAAA|United States|OK|NULL|35.0|157.65|0.0|50.44|-1233.4|1925.0|5.0
AAAAAAAAAADCAAAA|United States|NULL|NULL|35.0|157.65|0.0|50.44|-1233.4|1925.0|5.0
AAAAAAAAAADCAAAA|NULL|NULL|NULL|35.0|157.65|0.0|50.44|-1233.4|1925.0|5.0
AAAAAAAAAAJBAAAA|United States|MS|Hancock County|65.0|47.3|0.0|35.94|155.35|1935.0|3.0
AAAAAAAAAAJBAAAA|United States|MS|NULL|65.0|47.3|0.0|35.94|155.35|1935.0|3.0
AAAAAAAAAAJBAAAA|United States|NULL|NULL|65.0|47.3|0.0|35.94|155.35|1935.0|3.0
AAAAAAAAAAJBAAAA|NULL|NULL|NULL|65.0|47.3|0.0|35.94|155.35|1935.0|3.0
AAAAAAAAAAKDAAAA|United States|OK|Payne County|90.0|25.98|0.0|13.5|290.7|1938.0|6.0
AAAAAAAAAAKDAAAA|United States|OK|NULL|90.0|25.98|0.0|13.5|290.7|1938.0|6.0
AAAAAAAAAAKDAAAA|United States|VA|Highland County|67.0|113.55|0.0|10.21|-2334.95|1959.0|4.0
AAAAAAAAAAKDAAAA|United States|VA|NULL|67.0|113.55|0.0|10.21|-2334.95|1959.0|4.0
AAAAAAAAAAKDAAAA|United States|NULL|NULL|78.5|69.765|0.0|11.855|-1022.125|1948.5|5.0
AAAAAAAAAAKDAAAA|NULL|NULL|NULL|78.5|69.765|0.0|11.855|-1022.125|1948.5|5.0
AAAAAAAAAAMBAAAA|United States|OK|Major County|99.0|201.1|0.0|176.96|8630.82|1962.0|0.0
AAAAAAAAAAMBAAAA|United States|OK|NULL|99.0|201.1|0.0|176.96|8630.82|1962.0|0.0
AAAAAAAAAAMBAAAA|United States|NULL|NULL|99.0|201.1|0.0|176.96|8630.82|1962.0|0.0
AAAAAAAAAAMBAAAA|NULL|NULL|NULL|99.0|201.1|0.0|176.96|8630.82|1962.0|0.0
AAAAAAAAAAODAAAA|United States|VA|Warren County|100.0|71.33|0.0|53.49|1936.0|1968.0|3.0
AAAAAAAAAAODAAAA|United States|VA|NULL|100.0|71.33|0.0|53.49|1936.0|1968.0|3.0
AAAAAAAAAAODAAAA|United States|NULL|NULL|100.0|71.33|0.0|53.49|1936.0|1968.0|3.0
AAAAAAAAAAODAAAA|NULL|NULL|NULL|100.0|71.33|0.0|53.49|1936.0|1968.0|3.0
AAAAAAAAABADAAAA|United States|VA|Warren County|36.0|161.51|0.0|6.46|-3334.68|1968.0|3.0
AAAAAAAAABADAAAA|United States|VA|NULL|36.0|161.51|0.0|6.46|-3334.68|1968.0|3.0
AAAAAAAAABADAAAA|United States|NULL|NULL|36.0|161.51|0.0|6.46|-3334.68|1968.0|3.0
AAAAAAAAABADAAAA|NULL|NULL|NULL|36.0|161.51|0.0|6.46|-3334.68|1968.0|3.0
AAAAAAAAABCBAAAA|United States|IN|Washington County|11.0|250.19|0.0|97.57|97.35|1937.0|0.0
AAAAAAAAABCBAAAA|United States|IN|NULL|11.0|250.19|0.0|97.57|97.35|1937.0|0.0
AAAAAAAAABCBAAAA|United States|NULL|NULL|11.0|250.19|0.0|97.57|97.35|1937.0|0.0
AAAAAAAAABCBAAAA|NULL|NULL|NULL|11.0|250.19|0.0|97.57|97.35|1937.0|0.0
AAAAAAAAABDAAAAA|United States|MS|Monroe County|68.0|31.04|237.45|23.28|-539.37|1940.0|2.0
AAAAAAAAABDAAAAA|United States|MS|NULL|68.0|31.04|237.45|23.28|-539.37|1940.0|2.0
AAAAAAAAABDAAAAA|United States|NULL|NULL|68.0|31.04|237.45|23.28|-539.37|1940.0|2.0
AAAAAAAAABDAAAAA|NULL|NULL|NULL|68.0|31.04|237.45|23.28|-539.37|1940.0|2.0
AAAAAAAAABEAAAAA|United States|VA|Bedford County|96.0|70.97|0.0|18.45|-1152.96|1959.0|6.0
AAAAAAAAABEAAAAA|United States|VA|NULL|96.0|70.97|0.0|18.45|-1152.96|1959.0|6.0
AAAAAAAAABEAAAAA|United States|NULL|NULL|96.0|70.97|0.0|18.45|-1152.96|1959.0|6.0
AAAAAAAAABEAAAAA|NULL|NULL|NULL|96.0|70.97|0.0|18.45|-1152.96|1959.0|6.0
AAAAAAAAABFEAAAA|United States|VA|Montgomery County|66.0|78.52|0.0|51.82|1479.06|1935.0|6.0
AAAAAAAAABFEAAAA|United States|VA|NULL|66.0|78.52|0.0|51.82|1479.06|1935.0|6.0
AAAAAAAAABFEAAAA|United States|NULL|NULL|66.0|78.52|0.0|51.82|1479.06|1935.0|6.0
AAAAAAAAABFEAAAA|NULL|NULL|NULL|66.0|78.52|0.0|51.82|1479.06|1935.0|6.0
AAAAAAAAABJBAAAA|United States|OK|Washita County|62.0|51.08|0.0|29.11|636.12|1980.0|5.0
AAAAAAAAABJBAAAA|United States|OK|NULL|62.0|51.08|0.0|29.11|636.12|1980.0|5.0
AAAAAAAAABJBAAAA|United States|NULL|NULL|62.0|51.08|0.0|29.11|636.12|1980.0|5.0
AAAAAAAAABJBAAAA|NULL|NULL|NULL|62.0|51.08|0.0|29.11|636.12|1980.0|5.0
AAAAAAAAABMDAAAA|United States|OK|Seminole County|81.0|69.59|0.0|22.96|-1730.97|1943.0|0.0
AAAAAAAAABMDAAAA|United States|OK|NULL|81.0|69.59|0.0|22.96|-1730.97|1943.0|0.0
AAAAAAAAABMDAAAA|United States|NULL|NULL|81.0|69.59|0.0|22.96|-1730.97|1943.0|0.0
AAAAAAAAABMDAAAA|NULL|NULL|NULL|81.0|69.59|0.0|22.96|-1730.97|1943.0|0.0
AAAAAAAAABPBAAAA|United States|ND|Griggs County|59.0|73.07|0.0|53.34|778.21|1940.0|2.0
