brand_id|brand|i_manufact_id|i_manufact|ext_price
1001001|amalgamalg #1|257|ationantiable|487.83
10015008|scholaramalgamalg #8|839|n stprieing|422.49
7001002|amalgbrand #2|122|ableableought|396.49
9013005|exportiunivamalg #5|362|ablecallypri|389.35
5002002|importoscholar #2|503|pribaranti|389.28
6009001|maxicorp #1|609|n stbarcally|382.98
8011003|amalgmaxi #3|683|prieingcally|379.02
3002002|importoexporti #2|581|oughteinganti|355.60
5004001|edu packscholar #1|361|oughtcallypri|354.35
7001007|amalgbrand #7|39|n stpri|350.40
2002001|importoimporto #1|229|n stableable|343.15
2004001|edu packimporto #1|5|anti|335.59
5002001|importoscholar #1|202|ablebarable|332.45
5004002|edu packscholar #2|168|eingcallyought|326.34
7008009|namelessbrand #9|540|bareseanti|312.79
2003001|exportiimporto #1|288|eingeingable|304.41
8001009|amalgnameless #9|21|oughtable|303.66
4003002|exportiedu pack #2|117|ationoughtought|300.57
5002001|importoscholar #1|442|ableeseese|287.03
2004001|edu packimporto #1|584|eseeinganti|285.94
4001001|amalgedu pack #1|379|n stationpri|282.78
5003002|exportischolar #2|531|oughtprianti|280.89
6013004|exportibrand #4|520|barableanti|280.84
6006004|corpcorp #4|27|ationable|280.23
10006012|corpunivamalg #12|166|callycallyought|277.66
4002001|importoedu pack #1|101|oughtbarought|277.40
6011005|amalgbrand #5|373|priationpri|276.79
8003007|exportinameless #7|85|antieing|269.86
5004001|edu packscholar #1|595|antin stanti|267.68
10006011|corpunivamalg #11|328|eingablepri|262.84
6010005|univbrand #5|271|oughtationable|258.91
8007009|brandnameless #9|34|esepri|257.67
5002001|importoscholar #1|376|callyationpri|255.40
9005009|scholarmaxi #9|255|antiantiable|255.04
4004001|edu packedu pack #1|257|ationantiable|254.93
8006008|corpnameless #8|605|antibarcally|251.33
4001001|amalgedu pack #1|236|callypriable|251.32
5003001|exportischolar #1|224|eseableable|251.19
1001001|amalgamalg #1|346|callyesepri|249.75
10009003|maxiunivamalg #3|389|n steingpri|248.74
6010003|univbrand #3|165|anticallyought|248.69
7005004|scholarbrand #4|641|oughtesecally|247.49
9012003|importounivamalg #3|818|eingoughteing|246.85
7014001|edu packnameless #1|23|priable|239.41
9004011|edu packmaxi #11|241|oughteseable|238.33
3002001|importoexporti #1|889|n steingeing|237.14
1002002|importoamalg #2|94|esen st|234.49
10004013|edu packunivamalg #13|764|esecallyation|230.42
8016009|corpmaxi #9|734|esepriation|229.15
10005003|scholarunivamalg #3|337|ationpripri|228.86
10001009|amalgunivamalg #9|414|eseoughtese|225.45
6007007|brandcorp #7|47|ationese|224.37
10013006|exportiamalgamalg #6|461|oughtcallyese|222.52
4002002|importoedu pack #2|615|antioughtcally|219.24
1002001|importoamalg #1|184|eseeingought|217.04
9016003|corpunivamalg #3|51|oughtanti|216.79
9014008|edu packunivamalg #8|606|callybarcally|216.09
6013003|exportibrand #3|16|callyought|216.08
4001002|amalgedu pack #2|149|n steseought|214.00
1003002|exportiamalg #2|483|prieingese|213.53
10015010|scholaramalgamalg #10|550|barantianti|212.82
6009005|maxicorp #5|619|n stoughtcally|211.24
5003002|exportischolar #2|50|baranti|209.25
9011008|amalgunivamalg #8|93|prin st|208.90
4003001|exportiedu pack #1|239|n stpriable|208.78
4002001|importoedu pack #1|96|callyn st|207.10
7009009|maxibrand #9|10|barought|206.85
9001009|amalgmaxi #9|408|eingbarese|206.00
9007011|brandmaxi #11|238|eingpriable|205.98
4001001|amalgedu pack #1|599|n stn stanti|205.06
2002001|importoimporto #1|134|esepriought|204.41
5003001|exportischolar #1|457|ationantiese|204.39
10010005|univamalgamalg #5|684|eseeingcally|202.63
9009011|maximaxi #11|117|ationoughtought|200.65
2002001|importoimporto #1|525|antiableanti|198.52
3001001|amalgexporti #1|24|eseable|197.69
2001001|amalgimporto #1|219|n stoughtable|196.96
1004001|edu packamalg #1|594|esen stanti|195.76
8003003|exportinameless #3|85|antieing|193.72
5002002|importoscholar #2|245|antieseable|193.51
5003002|exportischolar #2|162|ablecallyought|193.20
3002001|importoexporti #1|462|ablecallyese|193.02
6015001|scholarbrand #1|543|prieseanti|190.88
1002002|importoamalg #2|489|n steingese|190.73
1003002|exportiamalg #2|400|barbarese|187.69
8012001|importomaxi #1|277|ationationable|186.84
10011013|amalgamalgamalg #13|551|oughtantianti|184.87
8014009|edu packmaxi #9|214|eseoughtable|184.33
5004001|edu packscholar #1|191|oughtn stought|179.16
4001001|amalgedu pack #1|106|callybarought|179.12
8011001|amalgmaxi #1|380|bareingpri|173.38
9004003|edu packmaxi #3|191|oughtn stought|168.25
9004002|edu packmaxi #2|216|callyoughtable|163.97
4003001|exportiedu pack #1|640|baresecally|162.55
10010013|univamalgamalg #13|656|callyantically|161.99
1002002|importoamalg #2|504|esebaranti|159.13
5003001|exportischolar #1|306|callybarpri|157.71
6009001|maxicorp #1|66|callycally|157.39
5004002|edu packscholar #2|427|ationableese|155.89
1003001|exportiamalg #1|162|ablecallyought|153.60
