ca_state|cd_gender|cd_marital_status|cd_dep_count|cnt1|min1|max1|avg1|cd_dep_employed_count|cnt2|min2|max2|avg2|cd_dep_college_count|cnt3|min|max|avg
NULL|F|D|0|1|0|0|0.00000000000000000000|1|1|1|1|1.00000000000000000000|2|1|2|2|2.0000000000000000
NULL|F|D|0|1|0|0|0.00000000000000000000|5|1|5|5|5.0000000000000000|0|1|0|0|0.00000000000000000000
NULL|F|D|0|1|0|0|0.00000000000000000000|6|1|6|6|6.0000000000000000|0|1|0|0|0.00000000000000000000
NULL|F|D|1|1|1|1|1.00000000000000000000|1|1|1|1|1.00000000000000000000|1|1|1|1|1.00000000000000000000
NULL|F|D|1|1|1|1|1.00000000000000000000|5|1|5|5|5.0000000000000000|3|1|3|3|3.0000000000000000
NULL|F|D|2|1|2|2|2.0000000000000000|2|1|2|2|2.0000000000000000|6|1|6|6|6.0000000000000000
NULL|F|D|3|1|3|3|3.0000000000000000|0|1|0|0|0.00000000000000000000|5|1|5|5|5.0000000000000000
NULL|F|D|3|1|3|3|3.0000000000000000|5|1|5|5|5.0000000000000000|4|1|4|4|4.0000000000000000
NULL|F|D|4|1|4|4|4.0000000000000000|2|1|2|2|2.0000000000000000|5|1|5|5|5.0000000000000000
NULL|F|D|4|1|4|4|4.0000000000000000|3|1|3|3|3.0000000000000000|4|1|4|4|4.0000000000000000
NULL|F|D|4|1|4|4|4.0000000000000000|4|1|4|4|4.0000000000000000|4|1|4|4|4.0000000000000000
NULL|F|D|6|1|6|6|6.0000000000000000|0|1|0|0|0.00000000000000000000|6|1|6|6|6.0000000000000000
NULL|F|D|6|1|6|6|6.0000000000000000|5|1|5|5|5.0000000000000000|4|1|4|4|4.0000000000000000
NULL|F|M|1|2|1|1|1.00000000000000000000|1|2|1|1|1.00000000000000000000|0|2|0|0|0.00000000000000000000
NULL|F|M|1|1|1|1|1.00000000000000000000|2|1|2|2|2.0000000000000000|4|1|4|4|4.0000000000000000
NULL|F|M|1|1|1|1|1.00000000000000000000|3|1|3|3|3.0000000000000000|3|1|3|3|3.0000000000000000
NULL|F|M|1|1|1|1|1.00000000000000000000|4|1|4|4|4.0000000000000000|2|1|2|2|2.0000000000000000
NULL|F|M|2|1|2|2|2.0000000000000000|1|1|1|1|1.00000000000000000000|0|1|0|0|0.00000000000000000000
NULL|F|M|2|1|2|2|2.0000000000000000|5|1|5|5|5.0000000000000000|4|1|4|4|4.0000000000000000
NULL|F|M|3|1|3|3|3.0000000000000000|2|1|2|2|2.0000000000000000|5|1|5|5|5.0000000000000000
