i_category|i_brand|s_store_name|s_company_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Music|edu packscholar #1|ought|Unknown|1999|7|5745.6591666666666667|2329.79|3841.30|7603.84
Men|importoimporto #1|able|Unknown|1999|2|5093.8950000000000000|1772.88|3116.20|3266.72
Children|exportiexporti #1|bar|Unknown|1999|7|5267.4866666666666667|1975.77|2675.84|6728.11
Men|importoimporto #1|ese|Unknown|1999|3|5324.9850000000000000|2070.55|3451.18|2997.82
Men|importoimporto #1|eing|Unknown|1999|5|5231.4508333333333333|2008.09|3047.30|2616.86
Men|importoimporto #1|ation|Unknown|1999|6|5357.3991666666666667|2155.81|2861.47|3041.18
Men|edu packimporto #1|ought|Unknown|1999|7|4997.0350000000000000|1903.29|3232.74|5722.81
Men|importoimporto #1|ation|Unknown|1999|3|5357.3991666666666667|2279.03|2920.44|3082.54
Music|amalgscholar #1|eing|Unknown|1999|2|4318.7325000000000000|1242.03|2766.78|2134.99
Shoes|exportiedu pack #1|ation|Unknown|1999|7|4870.8258333333333333|1821.49|3289.91|6349.02
Men|importoimporto #1|ought|Unknown|1999|5|4807.8050000000000000|1790.23|2612.50|2776.98
Music|exportischolar #1|ation|Unknown|1999|2|5283.7225000000000000|2273.13|3820.76|3160.44
Music|edu packscholar #1|bar|Unknown|1999|3|5421.8675000000000000|2431.81|2774.63|3048.41
Music|exportischolar #1|eing|Unknown|1999|2|4917.6316666666666667|1928.42|4227.39|2665.45
Shoes|exportiedu pack #1|ation|Unknown|1999|3|4870.8258333333333333|1888.87|3078.66|2207.54
Shoes|exportiedu pack #1|ation|Unknown|1999|5|4870.8258333333333333|1922.98|2207.54|3289.91
Music|edu packscholar #1|ese|Unknown|1999|4|5295.9650000000000000|2349.53|3154.39|3029.84
Shoes|edu packedu pack #1|eing|Unknown|1999|5|4618.3650000000000000|1679.26|3202.40|2321.17
Shoes|exportiedu pack #1|bar|Unknown|1999|3|5063.8641666666666667|2128.09|2884.00|3525.59
Shoes|importoedu pack #1|eing|Unknown|1999|2|4729.3783333333333333|1806.06|2922.67|2976.73
Music|exportischolar #1|eing|Unknown|1999|5|4917.6316666666666667|2002.55|2988.01|3153.85
Children|exportiexporti #1|eing|Unknown|1999|4|4983.6825000000000000|2073.91|2996.10|2758.06
Men|edu packimporto #1|able|Unknown|1999|2|5258.3591666666666667|2350.61|3816.41|2902.31
Shoes|exportiedu pack #1|eing|Unknown|1999|2|4893.8975000000000000|2002.67|3843.82|3520.85
Women|edu packamalg #1|ation|Unknown|1999|4|4449.2816666666666667|1565.76|3392.29|1936.75
Women|importoamalg #1|ation|Unknown|1999|5|4402.6316666666666667|1551.84|2316.85|2011.79
Women|importoamalg #1|ese|Unknown|1999|3|4512.6516666666666667|1676.35|2479.90|3029.36
Music|amalgscholar #1|able|Unknown|1999|2|4695.4500000000000000|1866.93|2998.54|2960.37
Music|exportischolar #1|bar|Unknown|1999|7|5250.5808333333333333|2422.85|3875.33|7576.74
