d_year|brand_id|brand|ext_price
2000|2001002|amalgimporto #2|138459.58
2000|4001002|amalgedu pack #2|75172.77
2000|2002001|importoimporto #1|73490.38
2000|4003001|exportiedu pack #1|61509.01
2000|3004002|edu packexporti #2|61120.99
2000|1003002|exportiamalg #2|56170.77
2000|5004002|edu packscholar #2|55076.09
2000|3002002|importoexporti #2|52911.02
2000|1001002|amalgamalg #2|51877.12
2000|1003001|exportiamalg #1|48861.72
2000|3003001|exportiexporti #1|45246.85
2000|2003002|exportiimporto #2|43945.64
2000|9015009|scholarunivamalg #9|43704.15
2000|4004001|edu packedu pack #1|43088.86
2000|3003002|exportiexporti #2|42719.95
2000|10003016|exportiunivamalg #16|41753.35
2000|2004002|edu packimporto #2|39517.75
2000|1002002|importoamalg #2|39419.83
2000|3002001|importoexporti #1|38871.89
2000|4004002|edu packedu pack #2|38072.09
2000|5002002|importoscholar #2|38060.78
2000|7007004|brandbrand #4|36477.79
2000|1004001|edu packamalg #1|36350.41
2000|1001001|amalgamalg #1|36345.46
2000|7016001|corpnameless #1|34544.09
2000|5001002|amalgscholar #2|33793.09
2000|6005005|edu packnameless #8|32571.40
2000|10004012|edu packunivamalg #12|32058.36
2000|2001001|importoimporto #2|30821.82
2000|7016009|univnameless #10|29684.96
2000|4004001|maxinameless #8|29269.48
2000|10009015|maxiunivamalg #15|29165.03
2000|8003007|edu packnameless #8|28318.21
2000|3001002|amalgexporti #2|27584.44
2000|7016006|corpnameless #6|27388.85
2000|1004002|edu packamalg #2|27124.55
2000|7009004|maxibrand #4|26544.02
2000|10015013|scholaramalgamalg #13|25248.49
2000|8010003|namelessunivamalg #5|24899.59
2000|8005009|corpnameless #10|24700.60
2000|7001005|amalgbrand #5|24643.27
2000|6003008|exporticorp #8|24281.04
2000|7015007|scholarnameless #7|24149.00
2000|3001001|maxibrand #8|23990.68
2000|6008005|namelesscorp #5|23906.07
2000|5001001|exportinameless #8|22759.54
2000|4003001|exportischolar #2|22259.72
2000|8002009|importonameless #9|22126.82
2000|7010003|univnameless #3|21935.06
2000|7016007|corpnameless #7|21816.23
2000|6008002|namelesscorp #2|21660.16
2000|3001001|amalgexporti #1|21172.86
2000|7010005|corpunivamalg #6|21141.43
2000|8016004|corpmaxi #4|20392.12
2000|5003002|exportischolar #2|19612.23
2000|3004001|edu packexporti #1|19591.45
2000|10004005|importounivamalg #6|19502.05
2000|2004001|importoexporti #2|19015.37
2000|2002002|importoimporto #2|18846.67
2000|2004001|edu packunivamalg #8|18819.94
2000|7006007|edu packamalg #2|18743.32
2000|7009009|exportibrand #10|18605.36
2000|9013009|exportiunivamalg #9|18194.26
2000|2003001|exportiimporto #1|18014.42
2000|6015006|scholarbrand #6|17773.90
2000|7010009|univnameless #9|17706.30
2000|3003001|exportiedu pack #2|17678.84
2000|7008004|namelessbrand #4|17456.32
2000|7012010|importonameless #10|17372.08
2000|9008002|namelessmaxi #2|17142.75
2000|8003010|exportinameless #10|16621.72
2000|10013013|exportiamalgamalg #13|16594.79
2000|10004004|edu packunivamalg #4|15815.23
2000|7008009|namelessbrand #9|15632.83
2000|6005001|scholarcorp #1|15610.67
2000|4002001|importoedu pack #1|15190.13
2000|5003001|exportischolar #1|15073.50
2000|10012004|importoamalgamalg #4|14931.88
2000|7009010|maxibrand #10|14472.63
2000|9012008|importounivamalg #8|14402.56
2000|9015011|exportiamalg #2|14378.69
2000|4002001|scholarmaxi #6|14255.80
2000|6011008|amalgbrand #8|14226.75
2000|8005008|scholarnameless #8|13986.82
2000|9014006|edu packunivamalg #6|13872.29
2000|9016003|corpunivamalg #3|13762.79
2000|5001001|edu packexporti #2|13155.80
2000|6004002|edu packcorp #2|12929.70
2000|7004009|importoimporto #2|11986.16
2000|4001001|amalgedu pack #1|11745.30
2000|8010004|univmaxi #4|11439.12
2000|5001001|brandunivamalg #11|11304.58
2000|1002001|importoamalg #1|11120.60
2000|10002012|importounivamalg #12|10832.02
2000|10010013|univamalgamalg #13|10393.90
2000|7010004|univnameless #4|10121.63
2000|10014001|maxibrand #4|9023.14
2000|7014001|edu packnameless #1|8929.20
2000|6010005|univbrand #5|8870.65
2000|7013007|exportinameless #7|8789.20
