i_manufact_id|sum_sales|avg_quarterly_sales
827|86.44|284.6175000000000000
827|349.77|284.6175000000000000
827|417.55|284.6175000000000000
360|131.29|370.0250000000000000
360|198.02|370.0250000000000000
360|266.37|370.0250000000000000
360|884.42|370.0250000000000000
812|257.48|378.6275000000000000
812|300.17|378.6275000000000000
812|310.62|378.6275000000000000
812|646.24|378.6275000000000000
247|197.83|381.1150000000000000
247|289.54|381.1150000000000000
247|478.79|381.1150000000000000
247|558.30|381.1150000000000000
134|225.26|391.3175000000000000
134|240.65|391.3175000000000000
134|449.77|391.3175000000000000
134|649.59|391.3175000000000000
554|79.27|402.7125000000000000
554|213.69|402.7125000000000000
554|293.41|402.7125000000000000
554|1024.48|402.7125000000000000
411|161.47|403.7325000000000000
411|254.01|403.7325000000000000
411|781.15|403.7325000000000000
147|181.75|407.7025000000000000
147|195.77|407.7025000000000000
147|514.21|407.7025000000000000
147|739.08|407.7025000000000000
384|243.55|418.4125000000000000
384|335.90|418.4125000000000000
384|539.46|418.4125000000000000
384|554.74|418.4125000000000000
272|198.52|422.9925000000000000
272|251.97|422.9925000000000000
272|533.33|422.9925000000000000
272|708.15|422.9925000000000000
621|274.67|424.1250000000000000
621|290.96|424.1250000000000000
621|326.67|424.1250000000000000
621|804.20|424.1250000000000000
619|193.92|428.6825000000000000
619|359.91|428.6825000000000000
619|689.55|428.6825000000000000
141|197.58|428.9925000000000000
141|321.08|428.9925000000000000
141|794.81|428.9925000000000000
440|83.69|431.7800000000000000
440|246.92|431.7800000000000000
440|632.40|431.7800000000000000
440|764.11|431.7800000000000000
70|145.64|432.4275000000000000
70|359.22|432.4275000000000000
70|529.47|432.4275000000000000
70|695.38|432.4275000000000000
159|120.70|432.8925000000000000
159|353.38|432.8925000000000000
159|511.45|432.8925000000000000
159|746.04|432.8925000000000000
507|230.77|433.1225000000000000
507|363.83|433.1225000000000000
507|698.57|433.1225000000000000
860|164.90|434.2675000000000000
860|380.73|434.2675000000000000
860|524.21|434.2675000000000000
860|667.23|434.2675000000000000
39|94.42|435.0150000000000000
39|479.18|435.0150000000000000
39|534.58|435.0150000000000000
39|631.88|435.0150000000000000
362|245.25|441.2500000000000000
362|327.74|441.2500000000000000
362|567.34|441.2500000000000000
362|624.67|441.2500000000000000
278|186.10|441.5425000000000000
278|274.39|441.5425000000000000
278|595.33|441.5425000000000000
278|710.35|441.5425000000000000
636|136.44|444.3350000000000000
636|284.75|444.3350000000000000
636|877.04|444.3350000000000000
251|114.98|444.4250000000000000
251|266.16|444.4250000000000000
251|619.22|444.4250000000000000
251|777.34|444.4250000000000000
648|110.80|446.3900000000000000
648|208.38|446.3900000000000000
648|698.37|446.3900000000000000
648|768.01|446.3900000000000000
242|206.99|447.0750000000000000
242|237.00|447.0750000000000000
242|346.94|447.0750000000000000
242|997.37|447.0750000000000000
332|228.43|451.6175000000000000
332|373.65|451.6175000000000000
332|560.44|451.6175000000000000
332|643.95|451.6175000000000000
441|66.59|452.8125000000000000
441|281.62|452.8125000000000000
