i_category|i_brand|cc_name|d_year|d_moy|avg_monthly_sales|sum_sales|psum|nsum
Men|edu packimporto #1|Mid Atlantic|1999|1|7702.3550000000000000|2855.43|15735.10|4586.13
Music|exportischolar #1|Mid Atlantic|1999|2|7365.1058333333333333|2862.84|3746.83|4756.00
Shoes|amalgedu pack #1|NY Metro|1999|7|7013.1458333333333333|2543.72|4859.64|8957.52
Men|amalgimporto #1|NY Metro|1999|7|6951.9250000000000000|2759.95|4699.60|8311.15
Music|edu packscholar #1|Mid Atlantic|1999|1|8003.0958333333333333|3817.58|15032.95|4740.46
Children|exportiexporti #1|Mid Atlantic|1999|2|7725.3241666666666667|3548.75|3889.16|5145.36
Men|edu packimporto #1|NY Metro|1999|7|7657.9783333333333333|3489.15|3555.20|11273.75
Music|edu packscholar #1|North Midwest|1999|5|7935.0191666666666667|3788.27|4783.23|4717.90
Music|exportischolar #1|North Midwest|1999|2|7725.8775000000000000|3621.47|6319.82|4205.89
Men|edu packimporto #1|NY Metro|1999|6|7657.9783333333333333|3555.20|4890.94|3489.15
Children|amalgexporti #1|North Midwest|1999|4|6588.0516666666666667|2542.30|3609.09|3219.98
Men|importoimporto #1|Mid Atlantic|1999|2|7357.8141666666666667|3323.24|4358.89|4926.22
Children|exportiexporti #1|NY Metro|1999|3|7692.4725000000000000|3665.09|4232.64|4206.09
Men|importoimporto #1|North Midwest|1999|5|7580.2641666666666667|3595.76|4971.00|3726.76
Children|importoexporti #1|NY Metro|1999|4|6878.2625000000000000|2896.51|5840.07|3426.78
Shoes|importoedu pack #1|North Midwest|1999|4|7487.3666666666666667|3514.14|3686.27|4683.61
Women|amalgamalg #1|Mid Atlantic|1999|2|7066.7283333333333333|3113.12|3808.26|4355.36
Men|amalgimporto #1|North Midwest|1999|1|6853.4625000000000000|2917.39|12139.91|4158.23
Shoes|amalgedu pack #1|North Midwest|1999|6|7161.7633333333333333|3233.38|3675.93|6067.30
Music|edu packscholar #1|Mid Atlantic|1999|7|8003.0958333333333333|4077.68|4415.43|11149.74
Shoes|edu packedu pack #1|NY Metro|1999|5|6633.0225000000000000|2715.72|3842.02|4494.57
Shoes|importoedu pack #1|North Midwest|1999|1|7487.3666666666666667|3581.35|14403.79|4898.02
Shoes|importoedu pack #1|Mid Atlantic|1999|3|6918.6008333333333333|3019.19|4003.60|3592.21
Shoes|exportiedu pack #1|NY Metro|1999|2|6953.4050000000000000|3091.93|3797.32|3333.08
Children|exportiexporti #1|North Midwest|1999|3|7123.2891666666666667|3263.51|4985.40|3888.79
Women|amalgamalg #1|Mid Atlantic|1999|5|7066.7283333333333333|3212.82|5203.35|4474.02
Men|importoimporto #1|North Midwest|1999|6|7580.2641666666666667|3726.76|3595.76|4896.37
Children|exportiexporti #1|Mid Atlantic|1999|5|7725.3241666666666667|3877.81|5488.11|5087.60
Shoes|edu packedu pack #1|NY Metro|1999|2|6633.0225000000000000|2791.95|4304.68|3822.87
Men|edu packimporto #1|Mid Atlantic|1999|7|7702.3550000000000000|3862.52|4542.06|10950.84
Children|exportiexporti #1|Mid Atlantic|1999|1|7725.3241666666666667|3889.16|14280.17|3548.75
Children|amalgexporti #1|NY Metro|1999|7|6568.0733333333333333|2743.73|3759.59|8546.30
Music|edu packscholar #1|NY Metro|1999|3|7719.1258333333333333|3913.83|5444.08|4030.26
Shoes|importoedu pack #1|North Midwest|1999|3|7487.3666666666666667|3686.27|4898.02|3514.14
Children|importoexporti #1|Mid Atlantic|1999|2|6669.9866666666666667|2872.68|3245.57|4152.56
Men|edu packimporto #1|North Midwest|1999|7|7590.9066666666666667|3794.75|4927.61|7983.95
Music|edu packscholar #1|Mid Atlantic|1999|5|8003.0958333333333333|4222.18|4744.83|4415.43
Shoes|edu packedu pack #1|NY Metro|1999|7|6633.0225000000000000|2860.88|4494.57|10245.56
Women|importoamalg #1|NY Metro|1999|2|6617.0608333333333333|2871.61|4816.30|4012.52
Children|amalgexporti #1|Mid Atlantic|1999|2|6395.5608333333333333|2657.28|3506.94|3589.34
Children|exportiexporti #1|NY Metro|1999|5|7692.4725000000000000|3960.48|4206.09|5591.01
Music|amalgscholar #1|Mid Atlantic|1999|4|6595.6141666666666667|2878.47|4428.12|3762.29
Music|amalgscholar #1|Mid Atlantic|1999|1|6595.6141666666666667|2880.07|14947.07|2884.32
Women|amalgamalg #1|North Midwest|1999|2|6983.2616666666666667|3268.54|4739.63|4026.10
Children|importoexporti #1|North Midwest|1999|3|6668.4975000000000000|2954.35|3456.31|4807.28
Music|amalgscholar #1|NY Metro|1999|4|6848.6666666666666667|3135.57|4047.75|3689.15
Music|amalgscholar #1|Mid Atlantic|1999|2|6595.6141666666666667|2884.32|2880.07|4428.12
Men|amalgimporto #1|NY Metro|1999|4|6951.9250000000000000|3243.06|4155.88|5533.21
Music|amalgscholar #1|North Midwest|1999|1|7157.5825000000000000|3456.97|14119.38|3877.52
Music|edu packscholar #1|North Midwest|1999|1|7935.0191666666666667|4242.48|17169.65|4843.12
Men|amalgimporto #1|Mid Atlantic|1999|1|6687.6258333333333333|2997.53|11312.04|3585.32
Music|edu packscholar #1|NY Metro|1999|4|7719.1258333333333333|4030.26|3913.83|4912.72
Music|edu packscholar #1|Mid Atlantic|1999|3|8003.0958333333333333|4316.31|4740.46|4744.83
Men|importoimporto #1|Mid Atlantic|1999|7|7357.8141666666666667|3698.98|4397.12|9038.86
Shoes|amalgedu pack #1|NY Metro|1999|1|7013.1458333333333333|3370.16|15710.38|3426.53
Women|importoamalg #1|NY Metro|1999|7|6617.0608333333333333|2996.45|3782.17|8579.64
Shoes|exportiedu pack #1|NY Metro|1999|3|6953.4050000000000000|3333.08|3091.93|5413.27
Music|exportischolar #1|Mid Atlantic|1999|1|7365.1058333333333333|3746.83|13883.99|2862.84
Shoes|amalgedu pack #1|NY Metro|1999|5|7013.1458333333333333|3410.36|4413.60|4859.64
Shoes|exportiedu pack #1|Mid Atlantic|1999|4|7175.3441666666666667|3577.64|4220.40|3978.50
Children|edu packexporti #1|Mid Atlantic|1999|5|6334.2625000000000000|2739.57|3340.04|3186.45
Music|edu packscholar #1|Mid Atlantic|1999|6|8003.0958333333333333|4415.43|4222.18|4077.68
Shoes|amalgedu pack #1|NY Metro|1999|2|7013.1458333333333333|3426.53|3370.16|4449.10
Men|edu packimporto #1|North Midwest|1999|3|7590.9066666666666667|4005.83|4495.72|4856.96
Women|importoamalg #1|Mid Atlantic|1999|1|6501.9891666666666667|2918.56|12433.95|3441.14
Children|edu packexporti #1|Mid Atlantic|1999|3|6334.2625000000000000|2760.86|3480.23|3340.04
Shoes|exportiedu pack #1|North Midwest|1999|2|6619.4250000000000000|3046.29|4298.34|4695.91
Music|exportischolar #1|Mid Atlantic|1999|4|7365.1058333333333333|3816.88|4756.00|4932.50
Men|edu packimporto #1|NY Metro|1999|1|7657.9783333333333333|4134.67|17694.68|4735.25
Music|exportischolar #1|North Midwest|1999|3|7725.8775000000000000|4205.89|3621.47|4931.39
Women|amalgamalg #1|NY Metro|1999|6|6812.6441666666666667|3295.98|3810.92|3421.56
Children|exportiexporti #1|NY Metro|1999|4|7692.4725000000000000|4206.09|3665.09|3960.48
Shoes|amalgedu pack #1|North Midwest|1999|5|7161.7633333333333333|3675.93|3885.42|3233.38
Music|edu packscholar #1|North Midwest|1999|3|7935.0191666666666667|4451.65|4843.12|4783.23
Children|amalgexporti #1|NY Metro|1999|3|6568.0733333333333333|3088.82|4844.96|3211.37
Women|importoamalg #1|Mid Atlantic|1999|4|6501.9891666666666667|3029.66|4113.00|4473.93
Women|edu packamalg #1|North Midwest|1999|7|6439.6516666666666667|2968.63|3860.53|8772.65
Children|exportiexporti #1|NY Metro|1999|2|7692.4725000000000000|4232.64|4950.22|3665.09
Women|importoamalg #1|NY Metro|1999|5|6617.0608333333333333|3159.58|3352.17|3782.17
Children|importoexporti #1|NY Metro|1999|5|6878.2625000000000000|3426.78|2896.51|3468.20
Shoes|exportiedu pack #1|NY Metro|1999|7|6953.4050000000000000|3513.24|4324.92|8995.99
Music|importoscholar #1|Mid Atlantic|1999|2|5930.2100000000000000|2490.51|3128.09|3883.31
Shoes|exportiedu pack #1|Mid Atlantic|1999|7|7175.3441666666666667|3739.28|4939.19|10018.74
Men|exportiimporto #1|NY Metro|1999|4|6181.2683333333333333|2745.68|3632.31|3946.78
Men|exportiimporto #1|NY Metro|1999|2|6181.2683333333333333|2749.45|3614.00|3632.31
Shoes|importoedu pack #1|North Midwest|1999|6|7487.3666666666666667|4057.57|4683.61|4869.02
Women|exportiamalg #1|Mid Atlantic|1999|4|6096.0816666666666667|2670.88|4149.15|3432.85
Children|importoexporti #1|Mid Atlantic|1999|1|6669.9866666666666667|3245.57|13182.07|2872.68
Music|amalgscholar #1|North Midwest|1999|3|7157.5825000000000000|3744.51|3877.52|4069.92
Music|exportischolar #1|Mid Atlantic|1999|6|7365.1058333333333333|3952.34|4932.50|4716.68
Children|importoexporti #1|NY Metro|1999|6|6878.2625000000000000|3468.20|3426.78|3933.33
Music|amalgscholar #1|Mid Atlantic|1999|7|6595.6141666666666667|3186.10|3666.22|9787.30
Music|exportischolar #1|NY Metro|1999|6|7158.0750000000000000|3757.26|4382.77|4167.99
Women|amalgamalg #1|North Midwest|1999|6|6983.2616666666666667|3591.83|4745.95|5052.51
