i_category|i_class|i_brand|i_product_name|d_year|d_qoy|d_moy|s_store_id|sumsales|rk
NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1112061003.60|1
Books|NULL|NULL|NULL|NULL|NULL|NULL|NULL|111172839.67|1
Books|arts|NULL|NULL|NULL|NULL|NULL|NULL|5406237.29|17
Books|arts|amalgmaxi #12|NULL|NULL|NULL|NULL|NULL|1713760.68|24
Books|arts|amalgmaxi #2|NULL|NULL|NULL|NULL|NULL|852004.32|93
Books|arts|amalgmaxi #3|NULL|NULL|NULL|NULL|NULL|833997.85|96
Books|arts|amalgmaxi #9|NULL|NULL|NULL|NULL|NULL|835783.52|95
Books|business|NULL|NULL|NULL|NULL|NULL|NULL|6273133.48|12
Books|business|importomaxi #12|NULL|NULL|NULL|NULL|NULL|1210196.33|55
Books|business|importomaxi #2|NULL|NULL|NULL|NULL|NULL|1032866.23|75
Books|business|importomaxi #6|NULL|NULL|NULL|NULL|NULL|954905.08|81
Books|business|importomaxi #8|NULL|NULL|NULL|NULL|NULL|1043575.02|74
Books|business|importomaxi #9|NULL|NULL|NULL|NULL|NULL|1362991.94|42
Books|computers|NULL|NULL|NULL|NULL|NULL|NULL|7794398.72|5
Books|computers|exportimaxi #12|NULL|NULL|NULL|NULL|NULL|1489234.06|35
Books|computers|exportimaxi #2|NULL|NULL|NULL|NULL|NULL|1896609.33|21
Books|computers|exportimaxi #3|NULL|NULL|NULL|NULL|NULL|1025228.83|76
Books|computers|exportimaxi #6|NULL|NULL|NULL|NULL|NULL|977045.91|78
Books|computers|exportimaxi #8|NULL|NULL|NULL|NULL|NULL|1248154.58|53
Books|computers|exportimaxi #9|NULL|NULL|NULL|NULL|NULL|1148637.22|64
Books|cooking|NULL|NULL|NULL|NULL|NULL|NULL|5947960.72|14
Books|cooking|amalgunivamalg #12|NULL|NULL|NULL|NULL|NULL|1198169.56|57
Books|cooking|amalgunivamalg #3|NULL|NULL|NULL|NULL|NULL|1192230.28|59
Books|cooking|amalgunivamalg #6|NULL|NULL|NULL|NULL|NULL|841910.61|94
Books|cooking|amalgunivamalg #8|NULL|NULL|NULL|NULL|NULL|1052687.33|73
