brand_id|brand|t_hour|t_minute|ext_price
6008005|namelesscorp #5|17|47|205.98
7004009|edu packbrand #9|19|36|183.57
1003002|exportiamalg #2|18|35|170.42
1001001|amalgamalg #1|19|54|167.28
2004002|edu packimporto #2|19|14|152.48
6003008|exporticorp #8|6|32|144.09
4003001|exportiedu pack #1|18|33|141.48
1004002|edu packamalg #2|9|55|141.16
1003001|exportiamalg #1|7|23|139.07
2004001|edu packimporto #1|19|33|131.65
9014011|edu packunivamalg #11|8|40|123.75
6005001|scholarcorp #1|6|58|123.61
3002001|importoexporti #1|8|1|119.91
6011005|amalgbrand #5|18|33|118.36
1002001|importoamalg #1|19|53|117.61
8005005|scholarnameless #5|9|15|117.25
6011008|amalgbrand #8|9|33|115.27
6006007|corpcorp #7|18|53|115.06
4001002|amalgedu pack #2|6|3|110.67
1002002|importoamalg #2|9|36|109.97
10003016|exportiunivamalg #16|18|20|107.89
4001001|amalgedu pack #1|19|43|104.49
4001001|amalgedu pack #1|19|13|100.67
10012004|importoamalgamalg #4|8|8|100.00
9016003|corpunivamalg #3|8|42|98.66
5001001|amalgscholar #1|9|28|97.93
7010003|univnameless #3|19|49|97.73
9013009|exportiunivamalg #9|17|42|97.73
8005005|scholarnameless #5|17|31|95.78
4004002|edu packedu pack #2|18|18|95.16
2003001|exportiimporto #1|9|59|93.48
2002001|importoimporto #1|9|31|91.99
4001001|amalgedu pack #1|9|12|90.74
7016001|corpnameless #1|19|50|90.26
6016003|corpbrand #3|19|19|89.94
2001002|amalgimporto #2|17|12|89.11
5004002|edu packscholar #2|19|2|88.01
5003001|exportischolar #1|8|50|84.58
2004001|edu packimporto #1|18|4|84.49
1004001|edu packamalg #1|19|26|84.40
1001002|amalgamalg #2|9|46|82.88
1001001|amalgamalg #1|9|18|81.66
4001001|amalgedu pack #1|17|55|80.76
5004002|edu packscholar #2|18|35|80.67
9015009|scholarunivamalg #9|18|18|80.36
4004001|edu packedu pack #1|18|30|80.20
2004002|edu packimporto #2|9|3|78.98
6016003|corpbrand #3|17|58|78.55
4001001|amalgedu pack #1|17|28|78.53
3001001|amalgexporti #1|17|33|78.26
10012011|importoamalgamalg #11|17|9|78.05
7016007|corpnameless #7|18|45|77.82
6012008|importobrand #8|9|10|77.53
9012005|importounivamalg #5|18|4|77.03
3003001|exportiexporti #1|17|21|75.19
8005005|scholarnameless #5|19|55|74.77
7012010|importonameless #10|7|19|73.57
4004002|edu packedu pack #2|17|57|73.34
5002002|importoscholar #2|17|27|72.87
8004003|edu packnameless #3|18|21|72.03
5003001|exportischolar #1|18|14|71.93
9013009|exportiunivamalg #9|18|51|71.74
8011009|amalgmaxi #9|19|26|70.39
4003001|exportiedu pack #1|19|39|69.74
2001002|amalgimporto #2|19|25|69.41
2001002|amalgimporto #2|19|47|69.30
9008002|namelessmaxi #2|17|41|68.75
6011001|amalgbrand #1|19|21|68.28
6003008|exporticorp #8|17|43|68.01
9012008|importounivamalg #8|18|56|67.78
6016003|corpbrand #3|19|59|67.46
1002002|importoamalg #2|8|13|67.32
3004001|edu packexporti #1|9|36|67.04
6010005|univbrand #5|7|17|66.62
1001001|amalgamalg #1|19|53|66.54
2004001|edu packimporto #1|19|4|65.93
10004001|edu packunivamalg #1|18|49|65.80
5001001|amalgscholar #1|17|19|65.48
2001002|amalgimporto #2|9|36|65.11
9012003|importounivamalg #3|17|2|64.95
10002012|importounivamalg #12|17|1|64.77
5002001|importoscholar #1|18|53|64.19
10010013|univamalgamalg #13|18|32|63.99
6005001|scholarcorp #1|18|43|63.87
6008007|namelesscorp #7|17|2|63.84
3003002|exportiexporti #2|7|31|63.80
2002001|importoimporto #1|18|34|63.71
7010003|univnameless #3|18|35|63.50
8013009|exportimaxi #9|19|26|62.90
4004001|edu packedu pack #1|17|18|62.70
1003001|exportiamalg #1|9|44|62.61
4001002|amalgedu pack #2|19|51|62.56
3001001|amalgexporti #1|19|1|62.37
6012008|importobrand #8|18|58|62.04
8003010|exportinameless #10|18|27|61.99
6011001|amalgbrand #1|6|46|61.63
9014011|edu packunivamalg #11|17|3|61.17
1004002|edu packamalg #2|7|41|60.87
3002001|importoexporti #1|6|40|60.62
2004002|edu packimporto #2|18|57|60.56
3003002|exportiexporti #2|18|29|60.21
5001001|amalgscholar #1|19|57|59.10
3002001|importoexporti #1|17|1|58.94
7004007|edu packbrand #7|7|19|58.79
3002001|importoexporti #1|17|0|58.60
10012004|importoamalgamalg #4|17|24|58.40
7004007|edu packbrand #7|9|23|58.20
7015007|scholarnameless #7|18|47|57.42
9014011|edu packunivamalg #11|19|9|57.24
6011008|amalgbrand #8|9|39|56.87
2001002|amalgimporto #2|17|32|56.82
8013007|exportimaxi #7|19|3|56.78
9012003|importounivamalg #3|8|59|56.24
8014005|edu packmaxi #5|19|7|55.50
10003016|exportiunivamalg #16|19|4|55.38
3004001|edu packexporti #1|19|14|55.36
7014001|edu packnameless #1|9|55|55.14
3002001|importoexporti #1|18|39|55.04
6010005|univbrand #5|17|3|54.82
7010003|univnameless #3|17|11|54.64
6008007|namelesscorp #7|18|16|54.44
1003001|exportiamalg #1|17|37|54.33
6005001|scholarcorp #1|17|14|54.21
7012010|importonameless #10|18|40|54.14
8005005|scholarnameless #5|17|19|53.89
3003001|exportiexporti #1|19|53|53.83
10012011|importoamalgamalg #11|18|17|53.80
10009015|maxiunivamalg #15|9|58|53.79
9012005|importounivamalg #5|17|45|53.67
9012005|importounivamalg #5|9|12|53.64
5003002|exportischolar #2|9|47|53.55
3004001|edu packexporti #1|9|31|53.45
6016003|corpbrand #3|9|9|52.37
2001002|amalgimporto #2|18|4|52.01
6008002|namelesscorp #2|9|3|51.98
5002002|importoscholar #2|17|52|51.92
2002001|importoimporto #1|19|10|51.76
6005001|scholarcorp #1|9|25|51.73
6003008|exporticorp #8|17|56|51.38
1002002|importoamalg #2|17|0|51.08
10012011|importoamalgamalg #11|19|27|51.06
5003002|exportischolar #2|19|6|50.98
1003001|exportiamalg #1|18|21|50.66
6008007|namelesscorp #7|17|20|50.65
9013009|exportiunivamalg #9|9|8|50.54
1002002|importoamalg #2|9|42|50.50
7010004|univnameless #4|8|21|50.14
5001001|amalgscholar #1|18|40|50.11
9015009|scholarunivamalg #9|17|52|49.82
6016003|corpbrand #3|9|41|49.58
6010005|univbrand #5|9|8|48.82
7016007|corpnameless #7|19|53|48.76
7015007|scholarnameless #7|17|8|47.67
1002001|importoamalg #1|19|21|47.66
3003001|exportiexporti #1|17|6|47.66
7016007|corpnameless #7|9|54|47.48
3002001|importoexporti #1|8|52|47.41
5001002|amalgscholar #2|17|44|47.11
1002001|importoamalg #1|8|24|46.81
9012005|importounivamalg #5|8|34|46.12
7010004|univnameless #4|18|41|45.95
9015011|scholarunivamalg #11|19|54|45.83
3003001|exportiexporti #1|9|22|45.66
3002001|importoexporti #1|17|40|45.53
2003002|exportiimporto #2|19|52|45.52
8013007|exportimaxi #7|18|32|45.48
3002002|importoexporti #2|18|24|45.06
7008009|namelessbrand #9|19|39|45.04
5003002|exportischolar #2|17|37|45.00
2004002|edu packimporto #2|18|28|44.70
7004009|edu packbrand #9|17|42|44.29
9016003|corpunivamalg #3|9|42|44.24
6008007|namelesscorp #7|18|47|44.18
3002001|importoexporti #1|17|33|44.03
2001002|amalgimporto #2|18|21|43.83
10010013|univamalgamalg #13|9|26|43.81
2001002|amalgimporto #2|19|9|43.75
3001001|amalgexporti #1|17|10|43.59
5003001|exportischolar #1|17|28|43.19
3002002|importoexporti #2|18|21|42.98
5001001|amalgscholar #1|18|27|42.89
4003001|exportiedu pack #1|17|4|42.76
10013013|exportiamalgamalg #13|7|33|42.59
6007003|brandcorp #3|17|49|42.57
10013013|exportiamalgamalg #13|17|44|42.55
5002001|importoscholar #1|17|38|42.34
3002002|importoexporti #2|6|41|42.33
3003002|exportiexporti #2|19|37|42.32
4004001|edu packedu pack #1|7|34|42.15
10012017|importoamalgamalg #17|18|26|42.14
7012010|importonameless #10|18|37|42.06
6016003|corpbrand #3|8|54|41.93
10004004|edu packunivamalg #4|19|59|41.87
7016007|corpnameless #7|17|42|41.83
9008005|namelessmaxi #5|9|52|41.66
10012017|importoamalgamalg #17|17|29|41.66
4003001|exportiedu pack #1|9|51|41.55
9012003|importounivamalg #3|8|13|41.54
6002005|importocorp #5|18|4|41.47
10010013|univamalgamalg #13|8|30|41.35
5002001|importoscholar #1|17|58|41.32
5003001|exportischolar #1|9|43|41.22
2002001|importoimporto #1|19|47|41.02
2004002|edu packimporto #2|18|46|40.83
1003001|exportiamalg #1|19|52|40.53
6006007|corpcorp #7|18|59|40.46
10013013|exportiamalgamalg #13|8|0|40.46
3003001|exportiexporti #1|7|23|40.13
6002003|importocorp #3|19|26|39.83
7013007|exportinameless #7|19|42|39.52
3001001|amalgexporti #1|17|18|39.35
6011008|amalgbrand #8|18|29|38.95
9012008|importounivamalg #8|18|22|38.80
5003001|exportischolar #1|17|25|38.71
7012010|importonameless #10|19|42|38.70
1003001|exportiamalg #1|19|50|38.62
6007003|brandcorp #3|17|33|38.49
8004003|edu packnameless #3|18|52|38.49
6015006|scholarbrand #6|19|50|38.39
6002003|importocorp #3|17|39|37.76
3003001|exportiexporti #1|19|40|37.69
6002005|importocorp #5|8|27|37.35
3002001|importoexporti #1|9|59|37.28
8014005|edu packmaxi #5|19|38|37.01
10009015|maxiunivamalg #15|8|32|36.98
2003002|exportiimporto #2|18|26|36.87
3002002|importoexporti #2|9|28|36.69
6002003|importocorp #3|7|2|36.58
2004002|edu packimporto #2|9|28|36.37
3002002|importoexporti #2|17|18|36.37
6007003|brandcorp #3|17|26|36.00
6005001|scholarcorp #1|9|9|35.92
3002001|importoexporti #1|19|35|35.79
5003002|exportischolar #2|9|29|35.78
3002001|importoexporti #1|9|41|35.48
4001002|amalgedu pack #2|7|45|35.48
2002001|importoimporto #1|19|51|35.38
7001005|amalgbrand #5|17|4|35.29
9008002|namelessmaxi #2|17|4|35.24
3002002|importoexporti #2|19|13|35.23
4001002|amalgedu pack #2|17|53|35.04
6003008|exporticorp #8|18|47|34.64
1004002|edu packamalg #2|19|26|33.99
4004001|edu packedu pack #1|17|5|33.90
8014005|edu packmaxi #5|17|40|33.90
3003001|exportiexporti #1|19|38|33.85
8005005|scholarnameless #5|6|50|33.52
6002003|importocorp #3|19|52|33.30
3002001|importoexporti #1|17|13|33.17
2004001|edu packimporto #1|19|45|33.14
8004003|edu packnameless #3|9|44|33.12
8005008|scholarnameless #8|8|19|33.01
10012004|importoamalgamalg #4|19|4|32.63
10015013|scholaramalgamalg #13|9|34|32.57
3003002|exportiexporti #2|9|42|32.56
5003001|exportischolar #1|8|1|32.51
8004003|edu packnameless #3|8|39|32.06
9014011|edu packunivamalg #11|19|18|31.83
4001001|amalgedu pack #1|6|45|31.68
3002001|importoexporti #1|18|34|31.59
10013015|exportiamalgamalg #15|8|30|31.59
7014001|edu packnameless #1|17|56|31.41
4003001|exportiedu pack #1|17|45|31.35
4001002|amalgedu pack #2|17|14|31.22
7012003|importonameless #3|18|18|31.20
8016004|corpmaxi #4|18|43|31.17
6012005|importobrand #5|19|25|30.86
1002002|importoamalg #2|19|42|30.85
3003001|exportiexporti #1|17|42|30.75
10012011|importoamalgamalg #11|9|19|30.64
5003001|exportischolar #1|17|46|30.58
6015006|scholarbrand #6|18|23|30.58
9015011|scholarunivamalg #11|18|55|30.52
1001002|amalgamalg #2|19|31|30.02
5002002|importoscholar #2|19|27|29.99
2001002|amalgimporto #2|18|24|29.69
5001001|amalgscholar #1|19|51|29.67
1003002|exportiamalg #2|9|49|29.53
9015009|scholarunivamalg #9|19|3|29.48
3002002|importoexporti #2|8|51|29.47
1003001|exportiamalg #1|17|16|29.46
5002001|importoscholar #1|18|2|29.28
7015007|scholarnameless #7|18|44|29.26
9008005|namelessmaxi #5|17|42|29.21
5001002|amalgscholar #2|18|35|29.20
3004001|edu packexporti #1|18|4|29.07
7010009|univnameless #9|8|48|28.96
5002001|importoscholar #1|18|32|28.94
4004001|edu packedu pack #1|19|50|28.91
5002001|importoscholar #1|18|38|28.90
7010004|univnameless #4|19|4|28.90
3002001|importoexporti #1|17|51|28.85
7010003|univnameless #3|18|37|28.72
4003001|exportiedu pack #1|8|33|28.70
5003002|exportischolar #2|8|54|28.64
7012003|importonameless #3|9|2|28.21
2003002|exportiimporto #2|6|17|28.16
3002001|importoexporti #1|6|50|28.15
5001002|amalgscholar #2|19|51|28.11
2001002|amalgimporto #2|17|11|28.09
4004001|edu packedu pack #1|17|35|28.06
4001002|amalgedu pack #2|19|19|27.99
7007004|brandbrand #4|9|31|27.91
10002012|importounivamalg #12|19|19|27.56
9012005|importounivamalg #5|7|0|27.55
