prev_year|year_|i_brand_id|i_class_id|i_category_id|i_manufact_id|prev_yr_cnt|curr_yr_cnt|sales_cnt_diff|sales_amt_diff
2001|2002|9011010|11|9|254|8230|5756|-2474|-1208.78
2001|2002|9016002|16|9|761|6284|4208|-2076|-731.17
2001|2002|9006002|6|9|903|5845|3911|-1934|-612.70
2001|2002|9010008|10|9|621|6252|4387|-1865|-944.95
2001|2002|2001001|7|9|85|6025|4184|-1841|-1070.94
2001|2002|9013010|12|9|28|6147|4306|-1841|-779.25
2001|2002|8015003|4|9|289|6486|4705|-1781|-530.36
2001|2002|9006010|6|9|373|6394|4627|-1767|-518.30
2001|2002|1003001|3|9|242|6482|4794|-1688|-297.59
2001|2002|9009010|1|9|311|7179|5500|-1679|-969.53
2001|2002|9009008|9|9|3|6282|4607|-1675|-545.41
2001|2002|9006006|6|9|36|6368|4707|-1661|-441.79
2001|2002|9006010|3|9|99|6099|4455|-1644|-701.41
2001|2002|9002002|2|9|556|6289|4655|-1634|-710.49
2001|2002|5003001|3|9|92|6095|4471|-1624|-217.38
2001|2002|9011002|11|9|390|6707|5086|-1621|-1410.51
2001|2002|9004008|4|9|454|6270|4757|-1513|-467.33
2001|2002|9002008|2|9|202|6240|4729|-1511|-654.31
2001|2002|9011004|11|9|730|6021|4533|-1488|-1272.63
2001|2002|9014010|14|9|31|6499|5024|-1475|-168.18
2001|2002|9013002|13|9|161|6088|4663|-1425|-617.93
2001|2002|1001001|5|9|172|6016|4592|-1424|-987.31
2001|2002|2001001|1|9|177|6339|4919|-1420|-705.45
2001|2002|9009002|9|9|633|5975|4578|-1397|-385.31
2001|2002|1002001|10|9|238|5507|4140|-1367|-244.53
2001|2002|9005008|5|9|557|5732|4405|-1327|-767.54
2001|2002|9014002|14|9|304|6265|4939|-1326|-557.33
2001|2002|7007001|12|9|221|6393|5096|-1297|-581.99
2001|2002|9003002|3|9|1000|6307|5011|-1296|-31.75
2001|2002|9008008|8|9|535|6198|4907|-1291|-787.48
2001|2002|9016010|16|9|140|6208|4918|-1290|-414.72
2001|2002|9003004|3|9|25|6606|5323|-1283|-609.67
2001|2002|9004002|4|9|55|5979|4711|-1268|-937.32
2001|2002|4004001|10|9|105|6372|5110|-1262|-259.95
2001|2002|4004001|4|9|138|6353|5096|-1257|-561.02
2001|2002|9011008|11|9|77|5858|4602|-1256|-904.75
2001|2002|6015001|15|9|543|5454|4230|-1224|-791.46
