ss_customer_sk|sumsales
268|0.00
452|0.00
527|0.00
875|0.00
923|0.00
983|0.00
1454|0.00
1489|0.00
1837|0.00
1838|0.00
1849|0.00
2256|0.00
2570|0.00
2825|0.00
2997|0.00
3030|0.00
3177|0.00
3222|0.00
3309|0.00
3322|0.00
3339|0.00
3374|0.00
3488|0.00
3668|0.00
3720|0.00
4413|0.00
4696|0.00
4819|0.00
5347|0.00
5377|0.00
5443|0.00
5852|0.00
5951|0.00
6411|0.00
6754|0.00
7153|0.00
7212|0.00
7319|0.00
7321|0.00
7747|0.00
7776|0.00
8122|0.00
8388|0.00
8556|0.00
8687|0.00
8741|0.00
8887|0.00
8978|0.00
9198|0.00
9207|0.00
9422|0.00
10284|0.00
10317|0.00
10351|0.00
10695|0.00
11051|0.00
11209|0.00
11801|0.00
11846|0.00
12228|0.00
12576|0.00
13093|0.00
13119|0.00
13188|0.00
13652|0.00
13921|0.00
14187|0.00
14202|0.00
14223|0.00
14449|0.00
14620|0.00
14675|0.00
14714|0.00
14798|0.00
14901|0.00
15221|0.00
15353|0.00
15369|0.00
15682|0.00
15746|0.00
15868|0.00
15894|0.00
15930|0.00
16144|0.00
16216|0.00
16408|0.00
16556|0.00
16809|0.00
16813|0.00
17790|0.00
17844|0.00
18148|0.00
18470|0.00
18488|0.00
18602|0.00
18670|0.00
18829|0.00
18839|0.00
18917|0.00
19553|0.00
