w_substr|sm_type|cc_name_lower|30 days|31-60 days|61-90 days|91-120 days|>120 days
Conventional childr|EXPRESS|mid atlantic|1303|1279|1284|0|0
Conventional childr|EXPRESS|north midwest|1159|1259|1304|0|0
Conventional childr|EXPRESS|ny metro|1269|1356|1366|0|0
Conventional childr|LIBRARY|mid atlantic|911|980|973|0|0
Conventional childr|LIBRARY|north midwest|989|913|972|0|0
Conventional childr|LIBRARY|ny metro|951|955|1017|0|0
Conventional childr|NEXT DAY|mid atlantic|1237|1380|1323|0|0
Conventional childr|NEXT DAY|north midwest|1223|1258|1263|0|0
Conventional childr|NEXT DAY|ny metro|1296|1343|1346|0|0
Conventional childr|OVERNIGHT|mid atlantic|940|926|989|0|0
Conventional childr|OVERNIGHT|north midwest|935|945|960|0|0
Conventional childr|OVERNIGHT|ny metro|937|1040|1004|0|0
Conventional childr|REGULAR|mid atlantic|964|929|976|0|0
Conventional childr|REGULAR|north midwest|887|946|971|0|0
Conventional childr|REGULAR|ny metro|933|943|977|0|0
Conventional childr|TWO DAY|mid atlantic|958|966|1025|0|0
Conventional childr|TWO DAY|north midwest|880|1007|985|0|0
Conventional childr|TWO DAY|ny metro|996|999|1008|0|0
Detailed, literary t|EXPRESS|mid atlantic|1234|1334|1312|0|0
Detailed, literary t|EXPRESS|north midwest|1244|1276|1254|0|0
Detailed, literary t|EXPRESS|ny metro|1204|1389|1320|0|0
Detailed, literary t|LIBRARY|mid atlantic|951|1073|940|0|0
Detailed, literary t|LIBRARY|north midwest|903|947|936|0|0
Detailed, literary t|LIBRARY|ny metro|963|978|992|0|0
Detailed, literary t|NEXT DAY|mid atlantic|1295|1326|1190|0|0
Detailed, literary t|NEXT DAY|north midwest|1220|1228|1263|0|0
Detailed, literary t|NEXT DAY|ny metro|1243|1321|1339|0|0
Detailed, literary t|OVERNIGHT|mid atlantic|943|987|974|0|0
Detailed, literary t|OVERNIGHT|north midwest|942|951|940|0|0
Detailed, literary t|OVERNIGHT|ny metro|998|1042|997|0|0
Detailed, literary t|REGULAR|mid atlantic|1011|994|920|0|0
Detailed, literary t|REGULAR|north midwest|945|965|950|0|0
Detailed, literary t|REGULAR|ny metro|936|967|953|0|0
Detailed, literary t|TWO DAY|mid atlantic|927|985|942|0|0
Detailed, literary t|TWO DAY|north midwest|931|914|1007|0|0
Detailed, literary t|TWO DAY|ny metro|994|1011|929|0|0
Of course ot|EXPRESS|mid atlantic|1263|1316|1349|0|0
Of course ot|EXPRESS|north midwest|1253|1265|1317|0|0
Of course ot|EXPRESS|ny metro|1261|1313|1365|0|0
Of course ot|LIBRARY|mid atlantic|970|1047|957|0|0
Of course ot|LIBRARY|north midwest|981|995|925|0|0
Of course ot|LIBRARY|ny metro|971|1001|953|0|0
Of course ot|NEXT DAY|mid atlantic|1262|1271|1330|0|0
Of course ot|NEXT DAY|north midwest|1188|1299|1263|0|0
Of course ot|NEXT DAY|ny metro|1266|1344|1307|0|0
Of course ot|OVERNIGHT|mid atlantic|906|957|952|0|0
Of course ot|OVERNIGHT|north midwest|959|960|977|0|0
Of course ot|OVERNIGHT|ny metro|944|960|980|0|0
Of course ot|REGULAR|mid atlantic|964|985|1006|0|0
Of course ot|REGULAR|north midwest|917|994|1014|0|0
Of course ot|REGULAR|ny metro|928|974|953|0|0
Of course ot|TWO DAY|mid atlantic|980|919|1009|0|0
Of course ot|TWO DAY|north midwest|948|975|982|0|0
