d_week_seq1|r1|r2|r3|r4|r5|r6|round((sat_sales1 / sat_sales2), 2)
5270|3.44|1.82|1.9|1.64|3.38|3.49|3.59
5270|3.44|1.82|1.9|1.64|3.38|3.49|3.59
5270|3.44|1.82|1.9|1.64|3.38|3.49|3.59
5270|3.44|1.82|1.9|1.64|3.38|3.49|3.59
5270|3.44|1.82|1.9|1.64|3.38|3.49|3.59
5270|3.44|1.82|1.9|1.64|3.38|3.49|3.59
5270|3.44|1.82|1.9|1.64|3.38|3.49|3.59
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5271|1.02|0.99|0.98|1.0|1.07|1.0|1.01
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5272|0.93|0.95|0.95|0.97|1.1|0.98|1.04
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5273|0.93|1.05|1.02|1.0|0.9|0.93|1.08
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
5274|1.01|1.01|0.94|0.97|0.93|1.0|0.92
