ca_zip|sum(cs_sales_price)
NULL|30926.85
30008|619.22
30059|7636.28
30069|7042.75
30116|516.62
30125|828.74
30141|795.76
30150|2538.96
30162|7701.02
30169|5599.81
30191|10954.83
30194|732.02
30262|447.54
30309|704.49
30319|930.40
30348|931.73
30369|765.08
30382|514.13
30399|10005.69
30408|584.76
30411|4808.06
30418|1307.78
30419|1184.13
30492|187.67
30499|7422.32
30525|389.98
30534|10268.06
30540|1662.42
30573|1927.12
30587|7714.23
30589|667.73
30634|1166.75
30636|236.19
30732|319.12
30894|1365.08
30919|547.94
30965|469.32
31083|591.14
31087|9447.47
31143|655.60
31160|1423.85
31204|1824.72
31209|1874.47
31216|531.93
31218|242.65
31229|869.57
31289|11847.93
31387|10997.29
31398|932.55
31423|793.60
31521|11626.35
31529|392.00
31654|165.30
31669|560.22
31675|7219.76
31692|1376.79
31711|11758.63
31732|440.24
31749|8656.80
31757|14632.66
31792|217.15
31824|191.24
31838|825.88
31844|524.20
31854|666.26
31904|4761.37
31933|7236.69
31934|376.74
31944|592.24
31952|11633.83
32037|287.46
32105|973.83
32106|528.98
32123|512.93
32150|1772.75
32205|649.36
32219|495.68
32244|673.07
32276|694.82
32284|1218.79
32293|9364.52
32297|580.25
32366|325.04
32477|6378.83
32503|661.86
32562|575.67
32565|297.93
32629|1233.21
32686|165.38
32738|366.50
32808|10200.17
32812|8089.12
32819|440.06
32898|4544.84
32924|1955.48
32935|304.55
33003|6897.96
33027|1687.43
33075|1001.53
33094|576.06
