ca_zip|ca_city|sum(ws_sales_price)
09532|Lakeside|45.86
11387|Greenville|152.70
13604|Pleasant Hill|10.63
16871|Wildwood|204.49
20162|Stringtown|28.00
20534|Crossroads|7.20
20587|Hopewell|0.51
22812|Shady Grove|31.84
27683|Green Acres|187.90
28252|Maple Grove|3.65
35817|Bridgeport|4.78
45281|Bethel|70.97
47537|Forest|79.16
48059|Mount Olive|5.55
49391|Riverdale|23.90
49584|Oakdale|1.69
50399|Marion|18.19
52898|Lebanon|56.40
53951|Glendale|183.24
55804|Harmony|74.99
60191|Belmont|67.18
61087|Macedonia|125.29
61749|Newtown|83.11
63394|Florence|124.12
69454|Highland|76.33
69584|Oakdale|28.53
70150|Bunker Hill|34.94
73451|Liberty|29.32
73683|Plainview|3.05
74244|Ashland|120.06
74466|Mountain View|5.75
75752|Buena Vista|29.92
76594|Hartland|4.63
76614|Providence|137.47
77752|Walnut Grove|73.36
78059|Mount Olive|47.94
78354|Sulphur Springs|58.86
79003|Riverview|194.85
80411|Cedar Grove|36.12
80499|Summit|33.91
84289|Woodville|105.82
90162|Stringtown|6.80
91387|Greenville|14.94
92565|Colfax|113.82
95709|Fairview|107.94
97752|Walnut Grove|33.83
98828|Greenwood|85.52
NULL|Edgewood|60.58
NULL|NULL|137.95
