channel|item|return_ratio|return_rank|currency_rank
catalog|6727|0.0|1|276
catalog|87925|0.0|1|342
catalog|72551|0.46464646464646464|3|1
catalog|88855|0.46938775510204084|4|2
catalog|69349|0.494949494949495|5|6
catalog|67167|0.5|6|3
catalog|73|0.5053763440860215|7|379
catalog|19633|0.5172413793103449|8|4
catalog|86793|0.5194805194805194|9|5
catalog|67623|0.5306122448979592|10|8
catalog|38699|0.5434782608695652|11|7
catalog|69395|0.5604395604395604|13|9
catalog|61713|0.5638297872340425|14|10
store|71637|0.0|1|83
store|53513|0.0|1|94
store|55395|0.6326530612244898|3|2
store|5537|0.6494845360824743|4|1
store|75185|0.6666666666666666|5|3
store|89355|0.69|6|4
store|41171|0.6907216494845361|7|5
store|95569|0.71875|8|6
store|31977|0.7216494845360825|9|7
store|24977|0.7303370786516854|10|8
store|39281|0.7564102564102564|12|9
store|17351|0.7604166666666666|13|10
web|58855|0.0|1|70
web|14389|0.0|1|120
web|50407|0.0|1|136
web|50483|0.0|1|156
web|38325|0.4943820224719101|5|1
web|13859|0.5051546391752577|6|19
web|49003|0.5052631578947369|7|2
web|22133|0.5054945054945055|8|3
web|57141|0.5494505494505495|9|155
web|28181|0.5656565656565656|10|4
web|44085|0.5694444444444444|11|5
web|48333|0.5769230769230769|12|6
web|41151|0.5862068965517241|13|7
web|10919|0.59|14|8
web|99283|0.5975609756097561|15|9
web|18939|0.6145833333333334|16|10
