product_name|store_name|store_zip|b_street_number|b_street_name|b_city|b_zip|c_street_number|c_street_name|c_city|c_zip|cs1syear|cs1cnt|s11|s21|s31|s12|s22|s32|syear|cnt
ableeseablebarpri|able|39231|959|Valley Jackson|Elba|70262|253|Lake |Spring Hill|66787|1999|1|94.58|162.67|0.00|85.83|148.48|0.00|2000|1
ablen stn stbarpri|ation|38370|895|Main |Providence|56614|458|Main Hill|Oak Grove|28370|1999|1|5.84|6.30|0.00|88.31|166.90|0.00|2000|1
ablen stn stbarpri|cally|33604|563|Mill South|Payne|76134|796|6th South|Glendale|73951|1999|1|40.24|73.63|0.00|87.26|119.54|0.00|2000|1
ablen stn stbarpri|ese|36098|344|Elm |Fairfield|86192|513|Oak Tenth|Woodlawn|64098|1999|1|25.14|37.20|0.00|42.35|45.73|0.00|2000|1
ableoughtprieseation|eing|31904|622|Washington |Georgetown|37057|642|9th |Buena Vista|15752|1999|1|18.07|33.42|0.00|64.63|69.15|154.96|2000|1
antiantiantioughtpri|eing|59231|257|Maple Johnson|Summit|10499|396|1st Woodland|Riverview|19003|1999|1|86.49|141.84|0.00|22.88|34.77|0.00|2000|1
antioughtn stableeing|n st|39231|94|Main |Bayside|79550|953|8th |Shiloh|79275|1999|1|42.40|60.63|0.00|6.22|6.96|13.66|2000|1
antioughtn stableeing|n st|39231|94|Main |Bayside|79550|953|8th |Shiloh|79275|1999|1|42.40|60.63|0.00|76.04|88.20|0.00|2000|1
antioughtn stableeing|pri|31904|722|Forest |Spring Hill|56787|44|Miller Davis|Hillcrest|23003|1999|1|92.37|145.94|0.00|89.25|169.57|0.00|2000|1
ationcallyoughtablepri|ese|36098|101|Washington Hickory|Ashland|14244|421|8th 11th|Oakwood|10169|1999|1|2.42|3.79|0.00|98.84|146.28|1704.59|2000|1
ationcallyoughtablepri|ese|36098|213|View |Oak Grove|48370|483|Meadow |Lakewood|38877|1999|1|4.52|8.40|0.00|98.84|146.28|1704.59|2000|1
ationcallyoughtablepri|pri|53604|84|NULL|Freeport|NULL|668|2nd |Green Acres|27683|1999|1|74.11|94.86|0.00|21.25|31.87|0.00|2000|1
ationn stesebaranti|able|36098|791|Church |Highland|19454|35|Hickory |Antioch|38605|1999|1|39.11|63.74|0.00|86.53|135.85|0.00|2000|1
ationn stesebaranti|able|36098|764|Valley |Floyd|33235|924|Maple |White Oak|66668|1999|1|72.67|79.21|0.00|86.53|135.85|0.00|2000|1
ationn stesebaranti|anti|38370|191|North |Concord|74107|598|3rd |Stringtown|80162|1999|1|17.97|34.50|0.00|87.70|105.24|375.69|2000|1
ationn stesebaranti|anti|38370|787|Highland Fifth|Sulphur Springs|48354|772|Ridge 14th|Green Acres|67683|1999|1|71.30|96.96|0.00|87.70|105.24|375.69|2000|1
barableeseoughtbarought|eing|33604|49|Jackson |Lakeview|28579|458|15th Maple|Woodlawn|64098|1999|1|84.24|115.40|0.00|78.45|88.64|0.00|2000|1
bareingantiationpri|able|51904|490|Elm Chestnut|Rankin|92621|503|6th |Riverside|89231|1999|1|3.16|3.47|0.00|47.80|59.75|0.00|2000|1
bareingantiationpri|ation|38370|55|12th Cedar|Newtown|71749|406|Third |Valley View|15124|1999|1|22.48|32.37|0.00|2.09|3.80|48.88|2000|1
bareingantiationpri|ation|58370|278|Railroad Sycamore|Edgewood|60069|596|Second Main|Marion|20399|1999|1|65.08|100.87|0.00|25.15|45.77|0.00|2000|1
bareingantiationpri|bar|33604|714|View Wilson|Pleasant Hill|33604|896|Jackson |Union|09321|1999|1|7.37|11.20|0.00|27.60|42.50|0.00|2000|1
bareingantiationpri|bar|33604|714|View Wilson|Pleasant Hill|33604|896|Jackson |Union|09321|1999|1|7.37|11.20|0.00|40.14|48.97|229.18|2000|1
baroughtprioughtpri|ese|35709|94|Laurel |Forest Hills|19237|361|Hillcrest Park|Seneca|59726|1999|1|38.61|74.13|143.76|14.62|29.09|0.00|2000|1
callyoughtprin stese|bar|33604|92|Sycamore Washington|Macedonia|51087|727|Highland |Deerfield|99840|1999|1|52.66|95.31|0.00|24.51|35.04|245.28|2000|1
callyoughtprin stese|ese|58370|349|Sycamore |Red Oak|65018|649|Woodland Fifth|Bunker Hill|40150|1999|1|45.39|57.64|223.64|2.73|3.71|0.00|2000|1
callypriationesen st|n st|39231|701|Walnut Cedar|Oak Park|78593|348|Green Mill|Waterloo|31675|1999|1|33.71|43.82|0.00|96.26|113.58|476.41|2000|1
eingbareingeingeing|eing|39231|401|Laurel |Mount Vernon|98482|701|Meadow Laurel|Hyde Park|48239|1999|1|93.45|126.15|0.00|61.40|75.52|0.00|2000|1
n stableableeseanti|bar|56098|698|2nd 10th|Brownsville|59310|193|Hillcrest |Sunnyside|81952|1999|1|88.30|154.52|0.00|58.00|109.62|338.34|2000|1
n stprioughtantiation|eing|55709|52|Jefferson |Harmon|55623|389|Park |Bridgeport|45817|1999|1|5.07|5.12|0.00|57.38|100.41|0.00|2000|1
oughtablebaresepri|ation|58370|480|Fourth Main|Crossroads|80534|45|First |Wilson|86971|1999|1|2.61|3.23|0.00|24.77|47.55|0.00|2000|1
prioughtoughteingcally|able|38370|925|Hill Broadway|NULL|NULL|24|Oak |Wildwood|16871|1999|1|58.23|111.80|0.00|33.08|41.68|768.73|2000|1
prioughtoughteingcally|able|39231|990|Meadow Adams|Oak Grove|28370|547|Laurel |Greenfield|35038|1999|1|69.52|114.01|0.00|95.22|140.92|1988.32|2000|1
prioughtoughteingcally|eing|59231|246|Johnson |Galena|14369|71|Valley |Plainview|23683|1999|1|82.22|87.97|1017.84|78.31|97.10|0.00|2000|1
