w_warehouse_name|w_warehouse_sq_ft|w_city|w_county|w_state|w_country|ship_carriers|year_|jan_sales|feb_sales|mar_sales|apr_sales|may_sales|jun_sales|jul_sales|aug_sales|sep_sales|oct_sales|nov_sales|dec_sales|jan_sales_per_sq_foot|feb_sales_per_sq_foot|mar_sales_per_sq_foot|apr_sales_per_sq_foot|may_sales_per_sq_foot|jun_sales_per_sq_foot|jul_sales_per_sq_foot|aug_sales_per_sq_foot|sep_sales_per_sq_foot|oct_sales_per_sq_foot|nov_sales_per_sq_foot|dec_sales_per_sq_foot|jan_net|feb_net|mar_net|apr_net|may_net|jun_net|jul_net|aug_net|sep_net|oct_net|nov_net|dec_net
NULL|NULL|Riverside|Walker County|AL|United States|DHL,BARIAN|2001|55942592.65|41446448.36|44104756.98|49302001.90|48601501.13|56609154.34|44924986.55|97883128.34|111134912.53|108549772.89|158690420.74|159647011.80|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|118524811.01|114569483.23|129851722.55|119698973.98|132054129.55|145983332.81|137491521.58|284322218.62|278530660.66|280285432.24|427974786.51|446291860.83
Bad cards must make.|621234|Fairview|Ziebach County|SD|United States|DHL,BARIAN|2001|50245229.07|44522328.96|45106909.01|53369493.13|42874501.42|40086542.89|52779884.70|113965611.75|99447970.47|105104464.41|157348669.19|170326451.29|80.87971532466027|71.66756642424593|72.6085645827498|85.90884132227147|69.01505941400504|64.5272842278433|84.95974898347484|183.45037739402542|160.0813388674799|169.18659379557462|253.28405913069793|274.17438725182456|130149612.54|119802737.53|115610589.87|136697255.54|114232025.62|115777768.10|120376036.20|300511508.71|290806802.86|276591729.58|403129867.70|443317206.16
Conventional childr|977787|Riverside|Ziebach County|SD|United States|DHL,BARIAN|2001|58304123.84|43675923.62|39844135.23|50449781.21|47059732.17|41341025.57|54393771.96|102755119.03|109103398.21|102924237.20|170017089.75|157280769.76|59.6286551570025|44.668136945981075|40.7492994179714|51.595880503627065|48.128817595243135|42.28019555383739|55.62946936295941|105.08947145953054|111.58196847575188|105.26243159297474|173.87947451745626|160.85381556514866|135737818.70|119318404.82|120447165.90|129200274.88|124473781.45|118921604.72|142571975.08|291545629.24|286038500.48|279337149.66|422242850.85|407178432.18
Doors canno|294242|Riverside|Ziebach County|SD|United States|DHL,BARIAN|2001|51951871.60|51050486.34|51132702.33|56507448.24|48889434.70|43968976.53|49309667.52|122302793.25|105673760.51|101116584.33|163715285.61|149761277.52|176.5617131476812|173.4982984754046|173.77771470422306|192.0441277587836|166.15382814146182|149.43134063118114|167.58201589168098|415.6537586408467|359.13894178941143|343.651091040708|556.3967265380197|508.9731497202983|123679124.60|125775695.43|124658561.12|133303008.74|131937410.88|117048108.56|136421058.32|295249408.51|291618594.01|302406192.42|445625761.08|438182505.54
Important issues liv|138504|Fairview|Walker County|AL|United States|DHL,BARIAN|2001|47960866.86|44946755.77|49082395.34|46633161.17|55950974.13|48573134.58|69212550.19|101526547.61|98867375.89|119361622.54|156146232.34|158687013.36|346.2778465603881|324.5159401172529|354.37529125512617|336.69180074221686|403.9664856610639|350.69842444983533|499.7151720527927|733.0224947293941|713.8232534078438|861.7918799457055|1127.3770601571073|1145.721519667302|116799728.37|120387597.46|129772499.11|118874343.04|137099030.34|114314614.30|153790609.62|270359290.03|267896545.88|297552921.43|436704377.31|443404632.31
Local, mass universi|838797|Riverside|Ziebach County|SD|United States|DHL,BARIAN|2001|57041060.34|45714991.76|51407235.74|53441297.17|44430560.81|51082592.67|43138653.27|105275962.88|98231974.45|100194821.05|150749152.10|166872361.40|68.00341481908018|54.50066197184778|61.28686170789834|63.71183632034926|52.96938449946769|60.89982757449061|51.42919355934749|125.50827301480572|117.1105457577936|119.45061922014503|179.72066197184776|198.94248715720252|134670793.79|133094070.80|131582081.85|130557546.12|129792086.59|130082385.85|117695258.43|289979536.13|290764465.76|304251917.87|407609369.50|449650761.74
National, comple|914242|Pleasant Hill|Ziebach County|SD|United States|DHL,BARIAN|2001|43208595.93|30719861.80|45485208.58|45423441.71|52577300.80|47632536.13|36304256.16|88530181.33|116878175.06|111108959.56|141397908.64|168865642.23|47.2616614966278|33.60145541333695|49.75182564353858|49.684264899228|57.50917240730572|52.100577451046874|39.709678794017336|96.83451572997083|127.8416163991591|121.53123523093447|154.6613573211469|184.70562742687383|122908857.59|112025873.34|127320938.82|118978564.63|145291481.59|126724342.84|113967507.35|264115190.59|275722979.10|289458539.87|404005811.92|452816754.84
Plain, reluctant|514427|Riverside|Ziebach County|SD|United States|DHL,BARIAN|2001|45483620.74|43755833.22|40434607.87|47112938.21|46084467.37|54653279.22|44112069.43|104802065.05|94201746.38|111566452.55|157441662.96|163949535.63|88.41608379808991|85.05741965332301|78.60125512463381|91.58333098768145|89.58407581639378|106.24107836486031|85.74991093002505|203.72582514137088|183.11975533943593|216.8751884135164|306.0524874471986|318.7032088712296|121039992.59|112526710.61|126428049.32|115785678.94|124633047.72|133639821.21|122730634.95|285982660.86|276026044.29|295629353.89|414194763.26|431218365.15
Quite effectiv|662475|Pleasant Hill|Ziebach County|SD|United States|DHL,BARIAN|2001|56355315.58|46274102.08|46769578.67|41085049.68|49816841.95|57921507.44|45634425.44|95793886.96|109177695.90|116864225.70|142628409.10|193430050.72|85.06783739763765|69.8503371146081|70.59825453035964|62.01750961168346|75.19807079512434|87.43198979584135|68.88475103211442|144.6000029586022|164.80274108456925|176.40548805615308|215.29628906751196|291.9809060266425|140471839.62|124742194.38|133154797.43|104558084.05|136505981.77|144979976.32|141978403.19|269753807.64|272791049.10|289820342.38|398901259.71|486251285.53
Rooms cook |73065|Oak Grove|Ziebach County|SD|United States|DHL,BARIAN|2001|50230294.43|41074650.34|47853810.08|45280271.87|36875579.46|46347546.65|47916805.18|89884556.05|98635271.48|104025377.29|148924984.34|170153223.48|687.4740906042565|562.1658843495517|654.9484716348458|619.7258861287894|504.69553767193594|634.3330821870937|655.8106505166633|1230.199904879217|1349.966077875864|1423.7374569219187|2038.2533954697872|2328.7924927119684|130454064.21|121733311.26|126365217.35|132736468.04|116245676.25|126831050.74|146071944.73|279411801.75|270504002.48|284027899.81|392102840.84|437557199.90
