ss_sold_year|ss_item_sk|ss_customer_sk|ratio|store_qty|store_wholesale_cost|store_sales_price|other_chan_qty|other_chan_wholesale_cost|other_chan_sales_price
2000|146|131762|0.76|29|75.04|16.80|38|12.22|1.15
2000|245|216774|6.55|72|6.02|1.11|11|75.43|30.66
2000|401|418388|0.94|94|35.56|4.86|100|90.07|198.51
2000|415|347438|1.17|90|87.18|28.47|77|63.11|20.75
2000|782|313069|5.76|98|21.60|21.84|17|25.80|33.66
2000|799|193671|8.22|74|3.06|4.86|9|61.82|2.55
2000|1244|13268|0.37|30|80.90|56.56|82|96.96|56.96
2000|1367|359518|1.03|65|98.18|111.77|63|93.30|203.20
2000|1393|269022|0.61|11|3.41|1.10|18|98.67|7.25
2000|1423|203600|3.32|73|93.09|121.64|22|55.14|60.65
2000|1478|182440|0.43|39|20.61|14.95|90|36.61|8.72
2000|1511|205067|1.0|97|53.45|49.83|97|75.34|102.59
2000|1531|28649|1.14|57|5.23|2.21|50|73.26|31.86
2000|1543|246330|2.13|34|52.36|45.36|16|16.15|30.52
2000|1649|464393|6.67|100|69.65|36.85|15|63.72|89.76
2000|1655|1984|0.12|8|34.15|54.41|69|13.20|7.54
2000|1679|436073|4.79|67|3.69|0.83|14|21.55|1.39
2000|1766|64453|0.31|15|30.38|11.84|49|60.34|42.86
2000|1795|26110|0.36|25|53.83|74.16|69|68.16|69.44
2000|1967|301031|1.28|86|85.81|30.85|67|20.65|16.38
2000|2408|402595|0.92|69|87.22|146.04|75|17.98|0.00
2000|2495|419244|0.25|21|13.55|9.16|83|8.10|13.97
2000|3119|322125|0.26|26|24.80|9.00|100|63.73|126.38
2000|3845|282083|0.28|28|88.99|88.54|99|80.36|34.93
2000|4045|288308|0.46|12|NULL|59.50|26|55.99|81.57
2000|4094|206640|5.25|84|21.27|6.85|16|16.89|6.05
2000|4439|42248|0.24|18|34.16|18.64|74|58.42|47.02
2000|4502|316593|3.86|54|62.26|27.73|14|3.73|4.32
2000|4535|27081|0.67|58|81.68|103.22|86|82.47|65.05
2000|4595|120289|2.24|56|60.70|77.25|25|89.48|260.43
2000|4685|102075|2.06|99|95.02|23.26|48|80.59|89.32
2000|4807|421845|0.26|18|68.95|8.31|69|49.00|90.40
2000|4922|287923|23.0|92|53.31|54.32|4|38.06|76.76
2000|4985|400314|2.07|56|89.16|98.05|27|53.78|20.78
2000|5327|413102|1.03|91|69.10|28.85|88|35.37|64.09
2000|5659|277102|4.0|28|66.76|79.79|7|25.62|39.41
2000|5792|64050|0.7|62|34.80|28.06|89|14.27|21.96
2000|5906|5400|0.98|78|59.15|33.27|80|57.06|37.61
2000|5948|50349|1.32|54|60.87|83.83|41|9.50|9.63
2000|6116|284143|0.69|66|8.09|8.85|96|20.97|20.71
2000|6344|102728|0.51|18|59.85|10.03|35|22.14|16.57
2000|6596|399122|1.16|58|75.46|29.33|50|94.03|130.70
2000|6655|492721|0.5|30|16.00|3.94|60|9.55|20.55
2000|6716|392926|0.03|1|63.15|8.73|40|98.41|88.56
2000|6925|398636|0.07|5|47.59|9.82|67|85.75|181.42
2000|6925|460925|0.51|44|16.73|3.31|87|36.31|53.19
2000|7013|40691|3.0|84|54.51|6.14|28|72.16|118.79
2000|7213|426941|1.09|58|68.99|56.36|53|71.98|132.49
2000|7328|387623|1.64|92|2.40|0.00|56|20.76|6.88
2000|7505|115851|15.33|92|84.31|30.14|6|48.50|26.88
2000|7517|479521|0.67|36|95.19|11.49|54|74.54|30.73
2000|7661|260490|0.55|43|50.80|54.92|78|41.79|42.62
2000|7967|347179|1.03|66|50.82|56.40|64|3.10|2.38
2000|8227|36425|0.47|44|27.10|23.85|94|66.08|52.53
2000|8306|257219|1.13|81|74.55|0.81|72|65.18|5.27
