i_category|i_class|i_brand|s_store_name|s_company_name|d_moy|sum_sales|avg_monthly_sales
Women|dresses|amalgamalg #1|able|Unknown|4|18707.14|38549.21
Men|shirts|importoimporto #1|able|Unknown|6|18864.48|37432.59
Men|shirts|importoimporto #1|ese|Unknown|2|20911.91|39339.64916666667
Women|dresses|amalgamalg #1|able|Unknown|5|20259.65|38549.21
Women|dresses|amalgamalg #1|ese|Unknown|2|20875.53|38997.91416666667
Men|shirts|importoimporto #1|ese|Unknown|4|21226.22|39339.64916666667
Women|dresses|amalgamalg #1|eing|Unknown|2|20443.89|38539.45583333333
Women|dresses|amalgamalg #1|eing|Unknown|4|20571.07|38539.45583333333
Men|shirts|importoimporto #1|ese|Unknown|3|21393.06|39339.64916666667
Men|shirts|importoimporto #1|eing|Unknown|4|20857.94|38650.2625
Women|dresses|amalgamalg #1|ese|Unknown|4|21247.56|38997.91416666667
Men|shirts|importoimporto #1|ese|Unknown|6|21655.67|39339.64916666667
Men|shirts|importoimporto #1|eing|Unknown|2|21306.22|38650.2625
Men|shirts|importoimporto #1|bar|Unknown|5|20723.72|38049.47583333333
Women|dresses|amalgamalg #1|bar|Unknown|2|21166.18|38259.79416666667
Women|dresses|amalgamalg #1|bar|Unknown|6|21244.33|38259.79416666667
Men|shirts|importoimporto #1|eing|Unknown|6|21819.11|38650.2625
Women|dresses|amalgamalg #1|able|Unknown|6|21781.21|38549.21
Women|dresses|amalgamalg #1|ese|Unknown|5|22283.04|38997.91416666667
Men|shirts|importoimporto #1|able|Unknown|7|20829.14|37432.59
Women|dresses|amalgamalg #1|bar|Unknown|4|21675.12|38259.79416666667
Men|shirts|importoimporto #1|eing|Unknown|3|22086.51|38650.2625
Women|dresses|amalgamalg #1|able|Unknown|3|21996.23|38549.21
Women|dresses|amalgamalg #1|eing|Unknown|6|22069.21|38539.45583333333
Men|shirts|importoimporto #1|ese|Unknown|7|22884.97|39339.64916666667
Men|shirts|importoimporto #1|able|Unknown|2|20994.54|37432.59
Men|shirts|importoimporto #1|able|Unknown|4|21115.84|37432.59
Women|dresses|amalgamalg #1|able|Unknown|7|22274.36|38549.21
Men|shirts|importoimporto #1|bar|Unknown|7|21781.28|38049.47583333333
Women|dresses|amalgamalg #1|eing|Unknown|7|22419.36|38539.45583333333
Women|dresses|amalgamalg #1|bar|Unknown|3|22209.60|38259.79416666667
Women|dresses|amalgamalg #1|ese|Unknown|3|23129.32|38997.91416666667
Women|dresses|amalgamalg #1|bar|Unknown|7|22470.49|38259.79416666667
Women|dresses|amalgamalg #1|eing|Unknown|3|22820.70|38539.45583333333
Women|dresses|amalgamalg #1|bar|Unknown|5|22554.03|38259.79416666667
Men|shirts|importoimporto #1|bar|Unknown|3|22369.78|38049.47583333333
Women|dresses|amalgamalg #1|eing|Unknown|5|22945.28|38539.45583333333
Men|shirts|importoimporto #1|eing|Unknown|7|23275.91|38650.2625
Women|dresses|amalgamalg #1|cally|Unknown|3|18309.44|33616.40833333333
Men|shirts|importoimporto #1|bar|Unknown|4|22781.06|38049.47583333333
Men|shirts|importoimporto #1|ese|Unknown|5|24087.34|39339.64916666667
Men|shirts|importoimporto #1|bar|Unknown|2|22797.47|38049.47583333333
Men|shirts|importoimporto #1|bar|Unknown|6|22840.89|38049.47583333333
Men|shirts|importoimporto #1|able|Unknown|3|22243.60|37432.59
Women|dresses|amalgamalg #1|able|Unknown|2|23408.84|38549.21
Men|shirts|importoimporto #1|cally|Unknown|2|18544.52|33592.87666666666
Men|shirts|importoimporto #1|able|Unknown|5|22496.04|37432.59
Women|dresses|amalgamalg #1|ese|Unknown|6|24129.90|38997.91416666667
Men|shirts|importoimporto #1|cally|Unknown|3|18936.10|33592.87666666666
Women|dresses|amalgamalg #1|cally|Unknown|6|18973.36|33616.40833333333
Women|dresses|amalgamalg #1|cally|Unknown|5|19120.17|33616.40833333333
Women|dresses|amalgamalg #1|ese|Unknown|7|24513.34|38997.91416666667
