c_last_name|c_first_name|sales
NULL|NULL|635358362.16
NULL|NULL|1278105629.86
NULL|Aaron|1992083.07
NULL|Aaron|2758890.89
NULL|Abraham|2654041.77
NULL|Adalberto|1558434.86
NULL|Adam|1042432.08
NULL|Adolfo|569607.22
NULL|Adrian|723175.45
NULL|Agustin|2755375.27
NULL|Alberto|1475823.35
NULL|Alda|1749264.07
NULL|Alejandro|974005.76
NULL|Alexander|967304.87
NULL|Alfonzo|1127566.23
NULL|Alisa|676143.79
NULL|Alisha|2806767.56
NULL|Alma|427642.05
NULL|Amanda|3489524.77
NULL|Amber|4622495.75
NULL|Amy|846206.24
NULL|Amy|9034890.00
NULL|Ana|624309.76
NULL|Andre|339179.65
NULL|Andre|2947237.84
NULL|Andrea|4137936.69
NULL|Andrew|3591826.72
NULL|Andrew|4354291.70
NULL|Andy|1296909.58
NULL|Angie|2185989.98
NULL|Anita|3951748.23
NULL|Ann|2300502.38
NULL|Ann|6814966.62
NULL|Anna|3497965.96
NULL|Anne|2049813.19
NULL|Anthony|3915961.36
NULL|Antonia|1376952.80
NULL|Ariana|976721.39
NULL|Armando|2338439.59
NULL|Arthur|1884523.06
NULL|Arturo|907711.68
NULL|Ashley|1984632.43
NULL|Audrey|1511816.64
NULL|Babara|1651427.77
NULL|Barbara|2739313.57
NULL|Barbara|8391922.28
NULL|Barton|1238449.56
NULL|Beatrice|575129.98
NULL|Beatrice|1733347.63
NULL|Belva|1681613.76
NULL|Benjamin|2439300.41
NULL|Benny|2012122.49
NULL|Bernadette|2941299.77
NULL|Berneice|2312953.04
NULL|Bethany|1932537.51
NULL|Betty|5215945.20
NULL|Betty|6833210.56
NULL|Beulah|1766118.43
NULL|Beverly|881753.95
NULL|Beverly|3107336.02
NULL|Bill|1590752.43
NULL|Billy|2088585.65
NULL|Blanca|970532.79
NULL|Bobby|2387616.84
NULL|Boris|1206958.50
NULL|Boyd|1963436.59
NULL|Boyd|2198641.52
NULL|Brad|3457504.69
NULL|Brandon|1930532.66
NULL|Brandy|1428970.80
NULL|Brenda|2812537.80
NULL|Brent|290636.32
NULL|Brian|2614256.30
NULL|Brian|8197273.74
NULL|Brook|1260448.80
NULL|Brooke|2354593.01
NULL|Bruce|2732544.69
NULL|Bryan|924772.08
NULL|Bryan|1907316.90
NULL|Bryant|353797.06
NULL|Caitlin|878051.78
NULL|Caitlin|1393006.44
NULL|Carey|1495363.02
NULL|Carissa|1013960.00
NULL|Carl|1337222.92
NULL|Carole|2543860.24
NULL|Caroline|998705.95
NULL|Carolyn|547942.61
NULL|Carrie|1977750.08
NULL|Carrie|2177176.23
NULL|Carson|2827055.23
NULL|Catherine|2214204.59
NULL|Catherine|2359968.14
NULL|Cecilia|1656252.83
NULL|Cedric|1731570.77
NULL|Cedric|1800353.81
NULL|Celia|742431.74
NULL|Chad|4729869.75
NULL|Charity|1570556.93
NULL|Charlene|1829718.39
