i_item_id|i_item_desc|s_store_id|s_store_name|store_sales_profit|store_returns_loss|catalog_sales_profit
AAAAAAAABMIEAAAA|Rather general germans go quite so fixed plants. Eyes will admit now. Modern, raw accounts explain certainly genuine areas; wrongly great differences ought to emerge other re|AAAAAAAAOHBAAAAA|able|-1059.12|849.47|-1429.91
AAAAAAAABPECAAAA|So great buildings may not tell dirty, pure keys; already bare days|AAAAAAAACJAAAAAA|cally|447.66|246.34|93.72
AAAAAAAACEGDCAAA|Secondary, serious parents shall show content bills. Automatic, sexual fees service more potatoes; encouraging procedures could set|AAAAAAAALIAAAAAA|n st|-756.84|406.88|-101.50
AAAAAAAACJEJCAAA|Once interesting approaches provide absolutely little prices.|AAAAAAAAPEAAAAAA|n st|173.30|281.98|-798.42
AAAAAAAAEDGEAAAA|Dependent, organisational hands smell|AAAAAAAAKIBAAAAA|ese|541.20|569.83|-629.64
AAAAAAAAEPAHAAAA|Above, public weeks happen nevertheless whole deta|AAAAAAAAMFAAAAAA|able|-2936.84|772.85|-1250.97
AAAAAAAAGHCJBAAA|Central, big advantages succeed powers. Late, red patients will pay for example legal|AAAAAAAAKABAAAAA|cally|-235.80|109.64|415.61
AAAAAAAAIIMJAAAA|Visual engines protect direct always new days. Industrial pictures wear never clear, beneficial things. Ge|AAAAAAAAFLAAAAAA|ought|288.45|171.97|-4077.82
AAAAAAAAIPPLAAAA|Different minutes ought to secure ever white, new days. Simple years speak so good animals. Old, able words should not cover brilliantly like a charges. Experimental businesses drop far f|AAAAAAAAFCAAAAAA|ation|-981.24|214.93|172.89
AAAAAAAAJDABAAAA|Unique children force essentially fundamental eyes. Acids try rather strictly domestic houses. Even definite weeks used to s|AAAAAAAAIOAAAAAA|able|443.34|652.26|135.20
AAAAAAAAKLOOAAAA|Tanks would look|AAAAAAAAOLAAAAAA|bar|-2130.65|913.83|-2949.35
AAAAAAAAKMMOCAAA|Unlikely, american fields should identify different members. Large hopes could not follow for instance thick, quick decades. Principal ingredients|AAAAAAAAIHBAAAAA|cally|-1177.73|161.90|1382.72
AAAAAAAAOOHACAAA|Sure institutions investigate without the advertisements. Underlying, local developments may help new, likely circumstances. Fond, unique years prevent near optimistic, co|AAAAAAAAJDBAAAAA|pri|-1408.00|303.30|-297.75
AAAAAAAAPODACAAA|Still |AAAAAAAAJHAAAAAA|ought|-159.64|105.49|190.53
